,how,much,of,the,sun,is,made,up,of,oxygen,?
is,0.22544461488723755,0.3156087100505829,0.4854315221309662,0.5823672413825989,0.19175934791564941,1.0,0.29543453454971313,0.2853454053401947,0.4854315221309662,0.21825239062309265,0.22961433231830597
the,0.33890387415885925,0.35023224353790283,0.733189046382904,1.0,0.258540540933609,0.5823672413825989,0.3885267674922943,0.38423117995262146,0.733189046382904,0.20428593456745148,0.22068053483963013
third,0.14508451521396637,0.18641111254692078,0.30602210760116577,0.4229298532009125,0.23451022803783417,0.31551501154899597,0.1515323519706726,0.17968502640724182,0.30602210760116577,0.1117219552397728,0.15394791960716248
most,0.311336874961853,0.4205867648124695,0.4178851246833801,0.47635307908058167,0.1857568472623825,0.41165053844451904,0.3095383644104004,0.1990664303302765,0.4178851246833801,0.21728017926216125,0.2107497900724411
abundant,0.16567765176296234,0.37100011110305786,0.24499425292015076,0.24729062616825104,0.15491804480552673,0.28058749437332153,0.16157735884189606,0.22567600011825562,0.24499425292015076,0.4410693645477295,0.13836130499839783
chemical,0.2860504388809204,0.17869994044303894,0.22874756157398224,0.18641819059848785,0.14814460277557373,0.2387559562921524,0.215946763753891,0.16076362133026123,0.22874756157398224,0.46001601219177246,0.2040288895368576
element,0.23025715351104736,0.22256402671337128,0.21102571487426758,0.2041647583246231,0.20075413584709167,0.3385811448097229,0.1519227772951126,0.17869918048381805,0.21102571487426758,0.35867807269096375,0.18393386900424957
in,0.2601168751716614,0.2725222110748291,0.5696388483047485,0.6662389636039734,0.16873624920845032,0.5394441485404968,0.25271502137184143,0.3120773434638977,0.5696388483047485,0.1672476977109909,0.20430970191955566
the,0.33890387415885925,0.35023224353790283,0.733189046382904,1.0,0.258540540933609,0.5823672413825989,0.3885267674922943,0.38423117995262146,0.733189046382904,0.20428593456745148,0.22068053483963013
universe,0.25177112221717834,0.23449182510375977,0.2241278737783432,0.23688684403896332,0.33222195506095886,0.22245483100414276,0.1659591645002365,0.23056703805923462,0.2241278737783432,0.173919215798378,0.22314924001693726
",",0.22659391164779663,0.36182254552841187,0.4946078956127167,0.4933079481124878,0.27459269762039185,0.4691906273365021,0.32507219910621643,0.34193792939186096,0.4946078956127167,0.21812842786312103,0.31091248989105225
after,0.23871733248233795,0.19944456219673157,0.3867455720901489,0.4565047025680542,0.13943743705749512,0.2835143506526947,0.26259806752204895,0.3247016668319702,0.3867455720901489,0.16113509237766266,0.16608688235282898
hydrogen,0.23238429427146912,0.23395395278930664,0.2024032324552536,0.20406323671340942,0.2467072755098343,0.24001643061637878,0.22509507834911346,0.22509631514549255,0.2024032324552536,0.571098268032074,0.14590126276016235
and,0.33647966384887695,0.38395699858665466,0.5116966962814331,0.5171257257461548,0.22661687433719635,0.3859752118587494,0.34954607486724854,0.4032393991947174,0.5116966962814331,0.22261030972003937,0.20544172823429108
helium,0.23304013907909393,0.2522171437740326,0.17627575993537903,0.20720821619033813,0.3365591764450073,0.20972669124603271,0.18948198854923248,0.3038212060928345,0.17627575993537903,0.47678452730178833,0.1527850180864334
.,0.3287222981452942,0.3374604284763336,0.5352458953857422,0.5934505462646484,0.20861375331878662,0.4569662809371948,0.4032190144062042,0.351434588432312,0.5352458953857422,0.2554275095462799,0.4130953550338745
