,what,percentage,of,the,u.s.,population,self-identify,with,umc,?
u.s,-0.04298092797398567,-0.14405742287635803,0.01289863046258688,0.0010489047272130847,0.28212520480155945,0.08112284541130066,-0.07239791750907898,-0.051441363990306854,-0.17318598926067352,-0.03245445340871811
population,0.2000674307346344,0.35606327652931213,0.3060894012451172,0.32044094800949097,0.04565044865012169,1.0,0.20177295804023743,0.15404780209064484,0.15839162468910217,0.14449454843997955
",",0.3087472915649414,0.21945469081401825,0.4946078956127167,0.4933079481124878,0.030410487204790115,0.2967977225780487,0.22771771252155304,0.4120737314224243,0.1953766793012619,0.31091248989105225
or,0.33867141604423523,0.29796382784843445,0.3792596757411957,0.4174870550632477,-0.04699208214879036,0.17320232093334198,0.41317689418792725,0.38158315420150757,0.2574913501739502,0.32389625906944275
9,-0.048040688037872314,-0.06228327378630638,0.01387986820191145,0.023652536794543266,-0.029997341334819794,0.038978539407253265,-0.025109518319368362,-0.08176597207784653,-0.029649892821907997,-0.026682810857892036
million,0.22197039425373077,0.25275081396102905,0.21686489880084991,0.277012437582016,0.023086054250597954,0.3087695837020874,0.21636562049388885,0.1677010953426361,0.13582287728786469,0.23092924058437347
adult,0.2068360149860382,0.21217036247253418,0.2112857699394226,0.22542093694210052,-0.06388621032238007,0.15849356353282928,0.23902298510074615,0.13665634393692017,0.1857001781463623,0.14439715445041656
adherents,0.32679039239883423,0.21469515562057495,0.28977349400520325,0.1907312124967575,-0.057885777205228806,0.2559506595134735,0.35849839448928833,0.20513418316841125,0.2673112154006958,0.24220485985279083
",",0.3087472915649414,0.21945469081401825,0.4946078956127167,0.4933079481124878,0.030410487204790115,0.2967977225780487,0.22771771252155304,0.4120737314224243,0.1953766793012619,0.31091248989105225
self-identify,0.32365337014198303,0.24639436602592468,0.2877925634384155,0.30089977383613586,-0.08812941610813141,0.20177295804023743,1.0,0.3179440498352051,0.28899359703063965,0.2679152488708496
with,0.2464839518070221,0.18467122316360474,0.41827285289764404,0.4223487675189972,0.045639924705028534,0.15404780209064484,0.3179440498352051,0.9999999403953552,0.11891178786754608,0.2433311939239502
the,0.42745697498321533,0.2736506462097168,0.733189046382904,1.0,0.06592652946710587,0.32044094800949097,0.30089977383613586,0.4223487675189972,0.21262750029563904,0.22068053483963013
united,0.20036718249320984,0.14304271340370178,0.3187655806541443,0.34367692470550537,-0.016844162717461586,0.28376269340515137,0.27178969979286194,0.19869105517864227,0.1928277611732483,0.17266890406608582
methodist,0.17637217044830322,0.2153891921043396,0.28458893299102783,0.21922016143798828,0.022758852690458298,0.20914572477340698,0.24018163979053497,0.17456914484500885,0.2650960683822632,0.1436992734670639
church,0.1944202184677124,0.1364879608154297,0.3079429268836975,0.23846197128295898,0.04497629776597023,0.24319049715995789,0.10601522773504257,0.17961077392101288,0.20494024455547333,0.18081501126289368
revealing,0.31195196509361267,0.18903028964996338,0.2905959188938141,0.33062121272087097,-0.01325839851051569,0.11055596172809601,0.4259345233440399,0.3132800757884979,0.22108657658100128,0.2122563272714615
a,0.3320399522781372,0.25336048007011414,0.5052502155303955,0.5829201340675354,0.0347411222755909,0.2345738559961319,0.3542901575565338,0.3783375024795532,0.19728222489356995,0.23916715383529663
much,0.45316147804260254,0.34739893674850464,0.2671096920967102,0.35023224353790283,0.020610811188817024,0.21015548706054688,0.26797035336494446,0.2808258831501007,0.1467570811510086,0.23442231118679047
larger,0.23663538694381714,0.2510316073894501,0.32469573616981506,0.378620445728302,-0.011080273427069187,0.30479922890663147,0.26953813433647156,0.2506849765777588,0.1391122192144394,0.1602165699005127
number,0.23046229779720306,0.42293837666511536,0.2778518795967102,0.35145696997642517,0.03249349817633629,0.2707957327365875,0.31379589438438416,0.2513769268989563,0.07767003029584885,0.19256845116615295
of,0.33290785551071167,0.24724560976028442,1.0,0.733189046382904,0.011562774889171124,0.3060894012451172,0.2877925634384155,0.41827285289764404,0.18128293752670288,0.1826142966747284
adherents,0.32679039239883423,0.21469515562057495,0.28977349400520325,0.1907312124967575,-0.057885777205228806,0.2559506595134735,0.35849839448928833,0.20513418316841125,0.2673112154006958,0.24220485985279083
than,0.29388150572776794,0.3430081903934479,0.33036211133003235,0.3227543234825134,0.019351201131939888,0.21814648807048798,0.3180754482746124,0.3028803765773773,0.12522868812084198,0.24917294085025787
registered,0.18316222727298737,0.2838099002838135,0.17804858088493347,0.23383188247680664,0.028166692703962326,0.15643492341041565,0.3374253213405609,0.15469864010810852,0.23966674506664276,0.24155336618423462
membership,0.2070973664522171,0.35160312056541443,0.26808464527130127,0.2937599718570709,0.0034222062677145004,0.2491978257894516,0.24101974070072174,0.19952984154224396,0.2736656069755554,0.15225854516029358
.,0.3567904531955719,0.28866735100746155,0.5352458953857422,0.5934505462646484,0.09558769315481186,0.26950228214263916,0.27336665987968445,0.4446153938770294,0.23154163360595703,0.4130953550338745
