,what,does,the,first,minister,deliver,at,the,beginning,of,each,parliamentary,year,?
",",0.3087472915649414,0.28617382049560547,0.4933079481124878,0.34503069519996643,0.24737542867660522,0.1787567138671875,0.38314947485923767,0.4933079481124878,0.31347912549972534,0.4946078956127167,0.207483172416687,0.23071794211864471,0.28560417890548706,0.31091248989105225
the,0.42745697498321533,0.35928019881248474,1.0,0.49448907375335693,0.19297581911087036,0.25501659512519836,0.457212895154953,1.0,0.49622642993927,0.733189046382904,0.470844566822052,0.2708897888660431,0.3609684407711029,0.22068053483963013
first,0.28086137771606445,0.2198687642812729,0.49448907375335693,1.0,0.20848903059959412,0.2444530427455902,0.3138778805732727,0.49448907375335693,0.4832592010498047,0.3536086082458496,0.35237833857536316,0.20946794748306274,0.3099139928817749,0.18701928853988647
minister,0.1705908179283142,0.1729513257741928,0.19297581911087036,0.20848903059959412,0.9999998807907104,0.1505514532327652,0.12735222280025482,0.19297581911087036,0.16097764670848846,0.23343199491500854,0.0329749695956707,0.46604806184768677,0.14093878865242004,0.10825661569833755
delivers,0.16364304721355438,0.19744329154491425,0.23478923738002777,0.20466302335262299,0.13485510647296906,0.8809716701507568,0.19150422513484955,0.23478923738002777,0.18616077303886414,0.2217014580965042,0.18318022787570953,0.15693999826908112,0.1848868429660797,0.15122883021831512
a,0.3320399522781372,0.38201746344566345,0.5829201340675354,0.4287874400615692,0.1532600224018097,0.2722235321998596,0.3095070421695709,0.5829201340675354,0.31769853830337524,0.5052502155303955,0.434999018907547,0.2278870940208435,0.29350247979164124,0.23916715383529663
statement,0.39422667026519775,0.2752396762371063,0.20954233407974243,0.24768909811973572,0.15787053108215332,0.21184983849525452,0.19107723236083984,0.20954233407974243,0.23673218488693237,0.1980573982000351,0.16908854246139526,0.259764701128006,0.17659048736095428,0.28978636860847473
to,0.455847829580307,0.4391997456550598,0.535392165184021,0.3792489171028137,0.17637476325035095,0.28748953342437744,0.36524343490600586,0.535392165184021,0.32582011818885803,0.41548454761505127,0.3941934108734131,0.18938039243221283,0.23523004353046417,0.29463258385658264
the,0.42745697498321533,0.35928019881248474,1.0,0.49448907375335693,0.19297581911087036,0.25501659512519836,0.457212895154953,1.0,0.49622642993927,0.733189046382904,0.470844566822052,0.2708897888660431,0.3609684407711029,0.22068053483963013
chamber,0.1224752739071846,0.08126108348369598,0.2594704031944275,0.1762973517179489,0.20912936329841614,0.21262142062187195,0.16483692824840546,0.2594704031944275,0.16229823231697083,0.24295011162757874,0.16810345649719238,0.2519800662994385,0.10669384896755219,0.04307165369391441
setting,0.287603497505188,0.18410293757915497,0.2991926074028015,0.2435581535100937,0.07293545454740524,0.20694535970687866,0.24936357140541077,0.2991926074028015,0.2609733045101166,0.22114701569080353,0.2537026107311249,0.1497378647327423,0.20699699223041534,0.16943378746509552
out,0.3633197546005249,0.24808503687381744,0.39404502511024475,0.26133912801742554,0.1356775164604187,0.28657102584838867,0.2881071865558624,0.39404502511024475,0.27959534525871277,0.34176841378211975,0.2757948637008667,0.11326392740011215,0.2501937747001648,0.22020699083805084
the,0.42745697498321533,0.35928019881248474,1.0,0.49448907375335693,0.19297581911087036,0.25501659512519836,0.457212895154953,1.0,0.49622642993927,0.733189046382904,0.470844566822052,0.2708897888660431,0.3609684407711029,0.22068053483963013
government,0.28074538707733154,0.19420266151428223,0.31798112392425537,0.20990468561649323,0.43487975001335144,0.15472640097141266,0.1937524825334549,0.31798112392425537,0.21219854056835175,0.3475167155265808,0.2280043512582779,0.5413843989372253,0.181336909532547,0.18851417303085327
's,0.02692362666130066,-0.02895052544772625,-0.01540423184633255,-0.014458609744906425,0.006020988803356886,-0.02551081031560898,-0.08481216430664062,-0.01540423184633255,-0.03033691644668579,-0.03817026689648628,0.021750088781118393,0.01051363442093134,-0.04087831452488899,-0.023395681753754616
legislative,0.22232688963413239,0.19523118436336517,0.27501925826072693,0.24741989374160767,0.3278266191482544,0.1511019766330719,0.15438580513000488,0.27501925826072693,0.1761227697134018,0.34083476662635803,0.19820979237556458,0.638200044631958,0.14150698482990265,0.1654243916273117
programme,0.1876801699399948,0.11891049146652222,0.23601844906806946,0.3004976212978363,0.2355947643518448,0.2242342084646225,0.23556490242481232,0.23601844906806946,0.18604238331317902,0.18707643449306488,0.1932065337896347,0.27171680331230164,0.22998730838298798,0.139840766787529
for,0.3017193675041199,0.35159170627593994,0.4739971458911896,0.3800288736820221,0.1931433081626892,0.2873070538043976,0.34237727522850037,0.4739971458911896,0.2987837791442871,0.4185989499092102,0.3044290542602539,0.242863729596138,0.29294124245643616,0.264628142118454
the,0.42745697498321533,0.35928019881248474,1.0,0.49448907375335693,0.19297581911087036,0.25501659512519836,0.457212895154953,1.0,0.49622642993927,0.733189046382904,0.470844566822052,0.2708897888660431,0.3609684407711029,0.22068053483963013
forthcoming,0.346341997385025,0.24182017147541046,0.3942500054836273,0.3275116980075836,0.15148557722568512,0.25609734654426575,0.23804649710655212,0.3942500054836273,0.42093580961227417,0.27845457196235657,0.19708222150802612,0.2275480329990387,0.2258196622133255,0.3739148676395416
year,0.15184831619262695,0.16000528633594513,0.3609684407711029,0.3099139928817749,0.14093878865242004,0.23555240035057068,0.3146436810493469,0.3609684407711029,0.38203126192092896,0.2578314542770386,0.286208838224411,0.09312421828508377,1.0,0.18315006792545319
.,0.3567904531955719,0.3022993505001068,0.5934505462646484,0.4345304071903229,0.16012521088123322,0.21824848651885986,0.4549728035926819,0.5934505462646484,0.33853423595428467,0.5352458953857422,0.31204065680503845,0.21747009456157684,0.32538118958473206,0.4130953550338745
