,how,do,socialists,think,the,means,of,production,should,be,owned,?
income,0.24416807293891907,0.1701079159975052,0.23897360265254974,0.2066754698753357,0.23699946701526642,0.16552069783210754,0.2581324577331543,0.2489543855190277,0.2029237002134323,0.19847987592220306,0.2438907027244568,0.14935168623924255
differentials,0.3460816740989685,0.28166496753692627,0.25482019782066345,0.23758701980113983,0.26107293367385864,0.32532966136932373,0.28864607214927673,0.1987922042608261,0.25978901982307434,0.3067927956581116,0.09012695401906967,0.196336030960083
would,0.43239715695381165,0.4102592170238495,0.2978910803794861,0.5148938894271851,0.4133751392364502,0.2575497031211853,0.3353942930698395,0.224795863032341,0.5900080800056458,0.5202695727348328,0.19513648748397827,0.37178951501846313
be,0.4158933162689209,0.36575672030448914,0.21549515426158905,0.4904957115650177,0.4248143136501312,0.33581557869911194,0.33904364705085754,0.20240652561187744,0.6527681946754456,1.0,0.14386385679244995,0.3324260413646698
reflective,0.2827579379081726,0.22629231214523315,0.20516186952590942,0.2549133896827698,0.2903715968132019,0.3276926875114441,0.31192582845687866,0.11444946378469467,0.24034398794174194,0.2845517098903656,0.08116310834884644,0.12292608618736267
of,0.2480744868516922,0.26150479912757874,0.22956755757331848,0.2625778615474701,0.733189046382904,0.29942914843559265,1.0,0.1928233802318573,0.23792634904384613,0.33904364705085754,0.17190153896808624,0.1826142966747284
individual,0.38188791275024414,0.2647365629673004,0.19897577166557312,0.2895026206970215,0.3706541955471039,0.25979581475257874,0.3372420072555542,0.2159493863582611,0.3515188992023468,0.4096139669418335,0.09582193195819855,0.2058374285697937
contributions,0.29974424839019775,0.2932237386703491,0.20551037788391113,0.41312283277511597,0.216569185256958,0.1562870442867279,0.2577681839466095,0.16626107692718506,0.3536408245563507,0.26159366965293884,0.08745259791612625,0.3201877772808075
to,0.44169697165489197,0.38876664638519287,0.2196017950773239,0.3748004138469696,0.535392165184021,0.2301892638206482,0.41548454761505127,0.2144220918416977,0.44452130794525146,0.4972836375236511,0.12258157879114151,0.29463258385658264
the,0.33890387415885925,0.30239659547805786,0.2460591197013855,0.3102172613143921,1.0,0.32225894927978516,0.733189046382904,0.2657334506511688,0.32399165630340576,0.4248143136501312,0.1999378502368927,0.22068053483963013
social,0.2205141931772232,0.21496951580047607,0.5598487257957458,0.2055123895406723,0.21797899901866913,0.16647969186306,0.2605111300945282,0.10713580250740051,0.2230125218629837,0.1878766417503357,0.1526750922203064,0.1615191102027893
product,0.24579623341560364,0.2507864534854889,0.11937256902456284,0.2218175232410431,0.23984220623970032,0.3001406490802765,0.19526132941246033,0.5532492995262146,0.2271212488412857,0.30949610471725464,0.23707866668701172,0.19651241600513458
.,0.3287222981452942,0.3613996207714081,0.2183743119239807,0.31119775772094727,0.5934505462646484,0.18089891970157623,0.5352458953857422,0.22297915816307068,0.3516756594181061,0.4383580684661865,0.23474757373332977,0.4130953550338745
