,what,was,dalton,'s,erroneous,formula,for,water,?
of,0.33290785551071167,0.4069072902202606,0.18711525201797485,-0.03817026689648628,0.24807921051979065,0.18542331457138062,0.4185989499092102,0.2741255462169647,0.1826142966747284
oxygen,0.16781960427761078,0.16070082783699036,0.22316788136959076,-0.011648092418909073,0.1813708394765854,0.22203277051448822,0.22718772292137146,0.4692627191543579,0.16786395013332367
as,0.31749409437179565,0.3677520453929901,0.2818935811519623,-0.05775856226682663,0.25427329540252686,0.21312697231769562,0.44774648547172546,0.21305090188980103,0.27043893933296204
8,-0.005443718284368515,-0.07426877319812775,-0.01619717665016651,0.04971888288855553,0.010907262563705444,-0.10457077622413635,-0.08449628204107285,-0.06903066486120224,-0.04056251794099808
times,0.21414996683597565,0.2859917879104614,0.20386461913585663,-0.048017483204603195,0.1513444483280182,0.15971899032592773,0.2999500632286072,0.17641599476337433,0.18880689144134521
that,0.6297725439071655,0.33670201897621155,0.21234120428562164,0.04397977516055107,0.35941511392593384,0.21913127601146698,0.4137635827064514,0.3326379060745239,0.32716336846351624
of,0.33290785551071167,0.4069072902202606,0.18711525201797485,-0.03817026689648628,0.24807921051979065,0.18542331457138062,0.4185989499092102,0.2741255462169647,0.1826142966747284
hydrogen,0.19052310287952423,0.1364523321390152,0.26335155963897705,-0.03929409757256508,0.19934377074241638,0.35117560625076294,0.16847959160804749,0.42553505301475525,0.14590126276016235
",",0.3087472915649414,0.45456063747406006,0.2761191725730896,-0.0016132977325469255,0.23751109838485718,0.18965117633342743,0.4464869201183319,0.26706066727638245,0.31091248989105225
instead,0.4104403555393219,0.23083001375198364,0.1236625388264656,0.025141391903162003,0.27337539196014404,0.24187088012695312,0.4413341283798218,0.21040329337120056,0.2942638397216797
of,0.33290785551071167,0.4069072902202606,0.18711525201797485,-0.03817026689648628,0.24807921051979065,0.18542331457138062,0.4185989499092102,0.2741255462169647,0.1826142966747284
the,0.42745697498321533,0.48711544275283813,0.26350104808807373,-0.01540423184633255,0.21786341071128845,0.19533312320709229,0.4739971458911896,0.297396719455719,0.22068053483963013
modern,0.2655639946460724,0.23571695387363434,0.08804833889007568,0.03816800191998482,0.12733662128448486,0.08836844563484192,0.22431503236293793,0.17969892919063568,0.12475407868623734
value,0.24056871235370636,0.13631008565425873,0.16025404632091522,0.06666918843984604,0.26006025075912476,0.23099780082702637,0.271339476108551,0.15546806156635284,0.23920650780200958
of,0.33290785551071167,0.4069072902202606,0.18711525201797485,-0.03817026689648628,0.24807921051979065,0.18542331457138062,0.4185989499092102,0.2741255462169647,0.1826142966747284
about,0.47976887226104736,0.2577359974384308,0.12225564569234848,-0.020936643704771996,0.16080081462860107,0.15434977412223816,0.3312419354915619,0.24728088080883026,0.302409827709198
16,-0.009719534777104855,-0.008355183526873589,0.02434799075126648,0.0028852298855781555,0.07778535038232803,0.013150729238986969,-0.00719092832878232,0.04040862247347832,0.08446579426527023
.,0.3567904531955719,0.40146201848983765,0.3012639880180359,-0.003708066651597619,0.21250095963478088,0.22689808905124664,0.4726039469242096,0.26634910702705383,0.4130953550338745
