,what,makes,the,tentilla,of,euplokamis,different,from,other,cysippids,?
contain,0.1832355558872223,0.315512478351593,0.26383090019226074,0.22293208539485931,0.30574339628219604,0.20208697021007538,0.3766573965549469,0.21935680508613586,0.4202895164489746,0.34302040934562683,0.18853069841861725
striated,0.15183685719966888,0.18544360995292664,0.30224066972732544,0.2591143846511841,0.27628418803215027,0.23159432411193848,0.25121960043907166,0.16465069353580475,0.27428436279296875,0.32772380113601685,0.1031675636768341
muscle,0.1818714588880539,0.30360543727874756,0.24665318429470062,0.21742703020572662,0.21708543598651886,0.17700549960136414,0.26041311025619507,0.1347728967666626,0.18813933432102203,0.35567164421081543,0.1328446865081787
",",0.3087472915649414,0.2926395535469055,0.4933079481124878,0.2784367799758911,0.4946078956127167,0.3234763443470001,0.32220861315727234,0.39760664105415344,0.4446498453617096,0.29596054553985596,0.31091248989105225
a,0.3320399522781372,0.3509295880794525,0.5829201340675354,0.3178912103176117,0.5052502155303955,0.325642853975296,0.29175353050231934,0.322764128446579,0.2806335389614105,0.26495909690856934,0.23916715383529663
cell,0.19222842156887054,0.21913935244083405,0.15822452306747437,0.18157383799552917,0.18332023918628693,0.17978939414024353,0.2501513361930847,0.20098808407783508,0.2019130438566208,0.3677266538143158,0.2058541625738144
type,0.2722663879394531,0.22716666758060455,0.21819381415843964,0.1989562213420868,0.18112817406654358,0.14335764944553375,0.32853832840919495,0.1559610366821289,0.2522227168083191,0.24154865741729736,0.17536182701587677
otherwise,0.39239436388015747,0.24443896114826202,0.2968122065067291,0.2474147230386734,0.2133692502975464,0.24188348650932312,0.26480337977409363,0.21182730793952942,0.37479740381240845,0.3039233684539795,0.29367905855178833
unknown,0.2441980093717575,0.1226288229227066,0.23777544498443604,0.1739020198583603,0.2853793799877167,0.19035129249095917,0.2520419955253601,0.2438245564699173,0.18112406134605408,0.18118444085121155,0.22083927690982819
in,0.30808621644973755,0.22258508205413818,0.6662389636039734,0.3086805045604706,0.5696388483047485,0.29950281977653503,0.29409363865852356,0.4274188280105591,0.39989137649536133,0.2752247154712677,0.20430970191955566
the,0.42745697498321533,0.3029823303222656,1.0,0.3119664192199707,0.733189046382904,0.33727511763572693,0.36412742733955383,0.40150508284568787,0.44152235984802246,0.3352452218532562,0.22068053483963013
phylum,0.20018324255943298,0.13884949684143066,0.21830403804779053,0.23910248279571533,0.18638917803764343,0.2805754244327545,0.1801438182592392,0.14974015951156616,0.2072000503540039,0.45274925231933594,0.18758688867092133
ctenophora,0.18695785105228424,0.16499075293540955,0.2430446892976761,0.30167537927627563,0.241486594080925,0.39502376317977905,0.25693780183792114,0.1317715346813202,0.20437055826187134,0.5562817454338074,0.20862777531147003
;,0.10986888408660889,-0.029235268011689186,0.09152708947658539,0.10540270805358887,0.054534342139959335,0.07408417016267776,0.13711778819561005,0.07524215430021286,0.13311924040317535,0.050681982189416885,0.10349778085947037
and,0.31309178471565247,0.34688496589660645,0.5171257257461548,0.3020083010196686,0.5116966962814331,0.24560894072055817,0.39536112546920776,0.3601827025413513,0.5504306554794312,0.34602436423301697,0.20544172823429108
they,0.4431931674480438,0.281455397605896,0.49925389885902405,0.29527443647384644,0.3426007330417633,0.2960568368434906,0.4649348556995392,0.3321932256221771,0.5182796120643616,0.4420476257801056,0.2753053903579712
are,0.29724663496017456,0.36780422925949097,0.40399202704429626,0.29637789726257324,0.39081433415412903,0.23751956224441528,0.5170795917510986,0.2674213647842407,0.5932393670082092,0.37405771017074585,0.24591213464736938
coiled,0.1585482954978943,0.2464299201965332,0.2917570471763611,0.3654544949531555,0.2545490562915802,0.2978948652744293,0.251423180103302,0.23683640360832214,0.22980144619941711,0.423342227935791,0.14625109732151031
when,0.4700249433517456,0.3653196394443512,0.5091903209686279,0.21208448708057404,0.3757161796092987,0.2377782166004181,0.3098631203174591,0.405669629573822,0.34102705121040344,0.2685389220714569,0.22841128706932068
relaxed,0.26712802052497864,0.2971750795841217,0.21774186193943024,0.15320654213428497,0.143231600522995,0.1831217259168625,0.29480576515197754,0.15608634054660797,0.29922088980674744,0.31283828616142273,0.11707999557256699
",",0.3087472915649414,0.2926395535469055,0.4933079481124878,0.2784367799758911,0.4946078956127167,0.3234763443470001,0.32220861315727234,0.39760664105415344,0.4446498453617096,0.29596054553985596,0.31091248989105225
while,0.35511791706085205,0.28580355644226074,0.39804592728614807,0.2595681846141815,0.3366928696632385,0.17985966801643372,0.28772613406181335,0.35008183121681213,0.34462770819664,0.28481537103652954,0.21076419949531555
the,0.42745697498321533,0.3029823303222656,1.0,0.3119664192199707,0.733189046382904,0.33727511763572693,0.36412742733955383,0.40150508284568787,0.44152235984802246,0.3352452218532562,0.22068053483963013
tentilla,0.27320170402526855,0.17436879873275757,0.3119664192199707,0.9999999403953552,0.2974798381328583,0.3076454997062683,0.23583994805812836,0.22945429384708405,0.2393449991941452,0.3643008768558502,0.18873277306556702
of,0.33290785551071167,0.2927091419696808,0.733189046382904,0.2974798381328583,1.0,0.28817805647850037,0.3747533857822418,0.4249346852302551,0.38583824038505554,0.30672526359558105,0.1826142966747284
all,0.41981086134910583,0.2952321767807007,0.4860881567001343,0.25059404969215393,0.42798417806625366,0.2132955938577652,0.42947903275489807,0.2866387963294983,0.5273400545120239,0.3161301910877228,0.29575422406196594
other,0.341873437166214,0.25012078881263733,0.44152235984802246,0.2393449991941452,0.38583824038505554,0.2569127678871155,0.5510044097900391,0.30141791701316833,0.9999999403953552,0.342818945646286,0.24682199954986572
known,0.20381177961826324,0.2581770122051239,0.3624623417854309,0.21527457237243652,0.35814476013183594,0.24603326618671417,0.23500967025756836,0.18996182084083557,0.2199651598930359,0.2894088625907898,0.18314571678638458
ctenophores,0.2505159080028534,0.23834553360939026,0.2543465793132782,0.3035872280597687,0.2626190483570099,0.34572553634643555,0.33219653367996216,0.16507504880428314,0.2790910303592682,0.5980597138404846,0.2054179310798645
elongate,0.20777221024036407,0.21352429687976837,0.3243715167045593,0.23390470445156097,0.285445898771286,0.3342607617378235,0.20105715095996857,0.21232053637504578,0.23117659986019135,0.4599750339984894,0.11486387252807617
when,0.4700249433517456,0.3653196394443512,0.5091903209686279,0.21208448708057404,0.3757161796092987,0.2377782166004181,0.3098631203174591,0.405669629573822,0.34102705121040344,0.2685389220714569,0.22841128706932068
relaxed,0.26712802052497864,0.2971750795841217,0.21774186193943024,0.15320654213428497,0.143231600522995,0.1831217259168625,0.29480576515197754,0.15608634054660797,0.29922088980674744,0.31283828616142273,0.11707999557256699
.,0.3567904531955719,0.265095978975296,0.5934505462646484,0.2749817669391632,0.5352458953857422,0.30088984966278076,0.31511759757995605,0.41536515951156616,0.41511186957359314,0.32206425070762634,0.4130953550338745
