,what,was,the,national,viewership,reach,of,abc,in,1958,?
as,0.31749409437179565,0.3677520453929901,0.48381632566452026,0.21661384403705597,0.21639449894428253,0.22874177992343903,0.3886612355709076,0.2286096066236496,0.3887844979763031,0.03461598977446556,0.27043893933296204
it,0.45803478360176086,0.4577186405658722,0.6251175999641418,0.16561564803123474,0.3149981200695038,0.27278128266334534,0.38761502504348755,0.17324577271938324,0.5130809545516968,0.12710356712341309,0.25732165575027466
still,0.4548931419849396,0.3328092098236084,0.40142056345939636,0.19952639937400818,0.28779900074005127,0.2607714831829071,0.3288819193840027,0.09773536026477814,0.3424699008464813,0.10405803471803665,0.3039587736129761
had,0.23849567770957947,0.5927209258079529,0.3875846862792969,0.15170930325984955,0.2675802409648895,0.21661508083343506,0.37755560874938965,0.18355661630630493,0.385026752948761,0.07541956007480621,0.20728366076946259
relatively,0.24081343412399292,0.21360629796981812,0.33481109142303467,0.07595796138048172,0.2407417744398117,0.28535279631614685,0.2916591167449951,0.10631290823221207,0.2696114182472229,0.14640675485134125,0.1281091868877411
fewer,0.2367485761642456,0.12189128994941711,0.37070468068122864,0.1479550004005432,0.3525613844394684,0.18090446293354034,0.30926164984703064,0.07302913814783096,0.28511932492256165,0.07436704635620117,0.16989107429981232
affiliates,0.13172908127307892,0.10774493962526321,0.1912562996149063,0.2522844076156616,0.32577547430992126,0.11623861640691757,0.1803562045097351,0.26733168959617615,0.17909713089466095,-0.10531993210315704,0.11092336475849152
than,0.29388150572776794,0.1872616857290268,0.3227543234825134,0.14825581014156342,0.33458060026168823,0.27010631561279297,0.33036211133003235,0.05868885666131973,0.3270052373409271,0.051700156182050705,0.24917294085025787
nbc,0.1638578325510025,0.251334547996521,0.20618264377117157,0.20824399590492249,0.3254510760307312,0.056606464087963104,0.12012486904859543,0.63486248254776,0.19303210079669952,-0.07211095839738846,0.1680917739868164
and,0.31309178471565247,0.3740963041782379,0.5171257257461548,0.2608908712863922,0.24312646687030792,0.25625354051589966,0.5116966962814331,0.16453155875205994,0.4954058527946472,0.08034233748912811,0.20544172823429108
cbs,0.1950361132621765,0.26256829500198364,0.2283918708562851,0.16731379926204681,0.3618500232696533,0.028568977490067482,0.16151919960975647,0.636570394039154,0.17584392428398132,-0.025672050192952156,0.14594407379627228
.,0.3567904531955719,0.40146201848983765,0.5934505462646484,0.29436907172203064,0.3083479702472687,0.2684406638145447,0.5352458953857422,0.2567209303379059,0.5591574311256409,0.12896610796451569,0.4130953550338745
