,what,rank,does,doctor,who,hold,in,a,list,of,the,100,greatest,kids,',tv,shows,?
(,0.2411840260028839,0.16142021119594574,0.2728188931941986,0.1570640504360199,0.2443375140428543,0.14320339262485504,0.3087427020072937,0.3206180930137634,0.22269952297210693,0.35032153129577637,0.33289089798927307,0.09863981604576111,0.17585980892181396,0.16711808741092682,0.5287467241287231,0.2973611354827881,0.18555068969726562,0.40561532974243164
a,0.3320399522781372,0.19437101483345032,0.38201746344566345,0.22883038222789764,0.36608949303627014,0.2822398841381073,0.539380669593811,1.0,0.16158510744571686,0.5052502155303955,0.5829201340675354,0.20273639261722565,0.15944629907608032,0.2173318713903427,0.48837921023368835,0.2169625610113144,0.3360818326473236,0.23916715383529663
channel,0.20295917987823486,0.1343660205602646,0.17076775431632996,0.14612802863121033,0.17347675561904907,0.14220009744167328,0.210372194647789,0.20914222300052643,0.15389946103096008,0.1671900898218155,0.2860044836997986,0.06234933063387871,0.18259482085704803,0.37114807963371277,0.15815357863903046,0.4953385591506958,0.281120240688324,0.20176179707050323
4,-0.04324747622013092,0.27486956119537354,-0.055728133767843246,0.03546636924147606,0.09137360751628876,0.021466823294758797,0.08310048282146454,0.08102071285247803,0.040514491498470306,0.17227263748645782,0.15499350428581238,0.01473822258412838,0.04855429008603096,-0.036415331065654755,0.11990712583065033,0.05331644415855408,-0.08718514442443848,0.010515431873500347
countdown,0.23151573538780212,0.2145034521818161,0.17660202085971832,0.14940933883190155,0.17112453281879425,0.17337973415851593,0.275322824716568,0.27813586592674255,0.20423701405525208,0.21923238039016724,0.31693604588508606,0.15756455063819885,0.24553659558296204,0.31425991654396057,0.2688327431678772,0.38739338517189026,0.3128955364227295,0.20517665147781372
in,0.30808621644973755,0.20269498229026794,0.214483380317688,0.25567495822906494,0.2792111933231354,0.2667064666748047,1.0,0.539380669593811,0.2799903452396393,0.5696388483047485,0.6662389636039734,0.10141821950674057,0.22416065633296967,0.1676097959280014,0.4158826768398285,0.17989183962345123,0.3289647698402405,0.20430970191955566
2001,-0.11417052894830704,-0.08128093928098679,-0.13043271005153656,0.13607719540596008,-0.1539066731929779,-0.08845677226781845,-0.10387769341468811,-0.14780431985855103,-0.06357256323099136,-0.08535187691450119,-0.07246288657188416,-0.04799547418951988,-0.001107877353206277,-0.1735447198152542,-0.12231868505477905,-0.03775079548358917,-0.05282109975814819,-0.08740651607513428
),0.26259949803352356,0.18833895027637482,0.2575884759426117,0.1509941965341568,0.2457384318113327,0.16549283266067505,0.3326910734176636,0.3640355169773102,0.23558451235294342,0.3680361211299896,0.3456730246543884,0.08854737877845764,0.1778138130903244,0.17225255072116852,0.5468860864639282,0.30414170026779175,0.2047332376241684,0.42300865054130554
",",0.3087472915649414,0.2213623821735382,0.28617382049560547,0.20407600700855255,0.3365725874900818,0.2803111970424652,0.5201468467712402,0.427140474319458,0.26581794023513794,0.4946078956127167,0.4933079481124878,0.10963409394025803,0.21757464110851288,0.2561202347278595,0.5178600549697876,0.2778550088405609,0.26986414194107056,0.31091248989105225
the,0.42745697498321533,0.2690342664718628,0.35928019881248474,0.2820442318916321,0.3733934462070465,0.3067915439605713,0.6662389636039734,0.5829201340675354,0.2863321602344513,0.733189046382904,1.0,0.16408909857273102,0.2877289056777954,0.18819834291934967,0.474788099527359,0.20034731924533844,0.36348509788513184,0.22068053483963013
1963–1989,-0.19746999442577362,0.04599295184016228,-0.1110992357134819,0.0077168140560388565,-0.028495904058218002,0.0007964511169120669,0.10263059288263321,-0.055562734603881836,-0.08307933062314987,0.058865148574113846,0.08282152563333511,-0.11464965343475342,0.10833000391721725,-0.051503390073776245,-0.005363574717193842,-0.05628523230552673,-0.03807780146598816,-0.2186838984489441
run,0.2294815480709076,0.1359397917985916,0.22891679406166077,0.1929945945739746,0.2372417002916336,0.35289502143859863,0.26368704438209534,0.2607046067714691,0.18553727865219116,0.2272813767194748,0.27883726358413696,0.07073578238487244,0.12005878984928131,0.19925136864185333,0.22777245938777924,0.17438551783561707,0.1459360122680664,0.17904110252857208
was,0.22111038863658905,0.20538896322250366,0.19302551448345184,0.19672659039497375,0.3318818509578705,0.19631803035736084,0.45514053106307983,0.4508470594882965,0.17363671958446503,0.4069072902202606,0.48711544275283813,0.11945781856775284,0.26430225372314453,0.21181970834732056,0.33675912022590637,0.1889979988336563,0.21710920333862305,0.18412111699581146
placed,0.20823347568511963,0.26660168170928955,0.24252305924892426,0.14114227890968323,0.1622145026922226,0.3172706365585327,0.263030469417572,0.30072465538978577,0.1481645554304123,0.2962164878845215,0.38702741265296936,0.10757717490196228,0.11441357433795929,0.12068108469247818,0.2003980427980423,0.07239405810832977,0.2413996458053589,0.18964257836341858
at,0.2838611304759979,0.1545201987028122,0.17465277016162872,0.2165924310684204,0.22096660733222961,0.260353684425354,0.4374977946281433,0.3095070421695709,0.1515711098909378,0.42558613419532776,0.457212895154953,0.12787719070911407,0.2232091873884201,0.18382270634174347,0.22634780406951904,0.12339487671852112,0.23829592764377594,0.21978627145290375
number,0.23046229779720306,0.28593137860298157,0.1831183135509491,0.12537972629070282,0.21304799616336823,0.26629573106765747,0.3024539053440094,0.2992287278175354,0.3405022621154785,0.2778518795967102,0.35145696997642517,0.16527870297431946,0.28229549527168274,0.1218985840678215,0.19534216821193695,0.08087913691997528,0.20492535829544067,0.19256845116615295
eight,0.15383057296276093,0.1813567727804184,0.11145713925361633,0.07293140143156052,0.20418307185173035,0.2684626281261444,0.3002670109272003,0.3028070032596588,0.2744874358177185,0.3220755457878113,0.34254369139671326,0.2559211552143097,0.17329375445842743,0.1853954941034317,0.1349581480026245,0.12195281684398651,0.17040738463401794,0.11634626984596252
.,0.3567904531955719,0.25294268131256104,0.3022993505001068,0.22361043095588684,0.3541337847709656,0.30296799540519714,0.5591574311256409,0.50484299659729,0.26122990250587463,0.5352458953857422,0.5934505462646484,0.22238291800022125,0.2034384310245514,0.2533859610557556,0.4806240200996399,0.27196308970451355,0.2639692425727844,0.4130953550338745
