,when,were,the,public,housing,developments,built,in,the,neighborhood,?
or,0.417120099067688,0.3389680087566376,0.4174870550632477,0.23869332671165466,0.26128947734832764,0.22196675837039948,0.1842118501663208,0.3586423695087433,0.4174870550632477,0.12919096648693085,0.32389625906944275
before,0.5650408267974854,0.3127685785293579,0.45900648832321167,0.20109985768795013,0.1293472945690155,0.2574746906757355,0.17410962283611298,0.4155850410461426,0.45900648832321167,0.16078409552574158,0.2507109045982361
",",0.36674630641937256,0.36755475401878357,0.4933079481124878,0.2588968276977539,0.22575080394744873,0.25881657004356384,0.22658206522464752,0.5201468467712402,0.4933079481124878,0.21194669604301453,0.31091248989105225
the,0.5091903209686279,0.3906462490558624,1.0,0.22857438027858734,0.24837790429592133,0.35879647731781006,0.2950156033039093,0.6662389636039734,1.0,0.20152483880519867,0.22068053483963013
neighborhood,0.19485846161842346,0.16469812393188477,0.20152483880519867,0.22923199832439423,0.4839690625667572,0.19401037693023682,0.22439314424991608,0.20924240350723267,0.20152483880519867,1.0000001192092896,0.048473283648490906
is,0.3471449911594391,0.29386836290359497,0.5823672413825989,0.1980048567056656,0.19461371004581451,0.20005160570144653,0.17778918147087097,0.5394441485404968,0.5823672413825989,0.20414865016937256,0.22961433231830597
also,0.5475645065307617,0.31877249479293823,0.6021018624305725,0.3308127224445343,0.22791309654712677,0.30050399899482727,0.2479545772075653,0.5073733329772949,0.6021018624305725,0.20604711771011353,0.21848613023757935
home,0.24208083748817444,0.20982490479946136,0.28978195786476135,0.17950117588043213,0.26767128705978394,0.17266350984573364,0.20679430663585663,0.30467477440834045,0.28978195786476135,0.2782978415489197,0.0757145956158638
to,0.5423505902290344,0.31913647055625916,0.535392165184021,0.2672370672225952,0.2623659670352936,0.32066288590431213,0.2183011770248413,0.45010748505592346,0.535392165184021,0.20300643146038055,0.29463258385658264
several,0.306964635848999,0.3978578448295593,0.40559855103492737,0.2679426074028015,0.18734359741210938,0.3053724765777588,0.21315591037273407,0.39405709505081177,0.40559855103492737,0.1407722383737564,0.15595775842666626
public,0.18564704060554504,0.16988693177700043,0.22857438027858734,1.0000001192092896,0.33851683139801025,0.2468990981578827,0.1928626000881195,0.29074716567993164,0.22857438027858734,0.22923199832439423,0.19872993230819702
housing,0.19322776794433594,0.28026676177978516,0.24837790429592133,0.33851683139801025,1.0000001192092896,0.37414389848709106,0.3757628798484802,0.255455881357193,0.24837790429592133,0.4839690625667572,0.11872038245201111
developments,0.2317596822977066,0.25260260701179504,0.35879647731781006,0.2468990981578827,0.37414389848709106,1.0,0.2619889974594116,0.28820812702178955,0.35879647731781006,0.19401037693023682,0.1302815079689026
built,0.19830277562141418,0.31323960423469543,0.2950156033039093,0.1928626000881195,0.3757628798484802,0.2619889974594116,1.0000001192092896,0.25829681754112244,0.2950156033039093,0.22439314424991608,0.09449632465839386
between,0.38258615136146545,0.27047741413116455,0.39067012071609497,0.13557976484298706,0.1812686175107956,0.21888703107833862,0.2490030825138092,0.41100412607192993,0.39067012071609497,0.14815764129161835,0.12887074053287506
the,0.5091903209686279,0.3906462490558624,1.0,0.22857438027858734,0.24837790429592133,0.35879647731781006,0.2950156033039093,0.6662389636039734,1.0,0.20152483880519867,0.22068053483963013
1960s,-0.23030318319797516,-0.12044279277324677,-0.06868536025285721,-0.013772537931799889,0.07717344909906387,-0.04845990240573883,0.09356848895549774,0.0007937865448184311,-0.06868536025285721,0.1647370308637619,-0.08257022500038147
and,0.4716290831565857,0.42175528407096863,0.5171257257461548,0.3227643668651581,0.29145196080207825,0.29413771629333496,0.2814858853816986,0.4954058527946472,0.5171257257461548,0.21993553638458252,0.20544172823429108
1990s,-0.031555335968732834,-0.03965895250439644,-0.09473290294408798,0.09967702627182007,-0.05679330602288246,-0.04775824770331383,0.031628597527742386,-0.1172933429479599,-0.09473290294408798,-0.11872904747724533,0.11282819509506226
by,0.4376842677593231,0.4406847059726715,0.4408751428127289,0.23323717713356018,0.1447335183620453,0.2193993777036667,0.22056880593299866,0.370934396982193,0.4408751428127289,0.1357046365737915,0.17966607213020325
the,0.5091903209686279,0.3906462490558624,1.0,0.22857438027858734,0.24837790429592133,0.35879647731781006,0.2950156033039093,0.6662389636039734,1.0,0.20152483880519867,0.22068053483963013
fresno,0.23177862167358398,0.1892825961112976,0.22571885585784912,0.2536109983921051,0.18049278855323792,0.1255895346403122,0.16852422058582306,0.26126348972320557,0.22571885585784912,0.3306880593299866,0.13224096596240997
housing,0.19322776794433594,0.28026676177978516,0.24837790429592133,0.33851683139801025,1.0000001192092896,0.37414389848709106,0.3757628798484802,0.255455881357193,0.24837790429592133,0.4839690625667572,0.11872038245201111
authority,0.1910407692193985,0.17060819268226624,0.2645063102245331,0.35493937134742737,0.3274558186531067,0.24021407961845398,0.17678330838680267,0.214982271194458,0.2645063102245331,0.17994150519371033,0.18404170870780945
.,0.475719153881073,0.3378238379955292,0.5934505462646484,0.21888655424118042,0.2448417842388153,0.2925383150577545,0.2374027520418167,0.5591574311256409,0.5934505462646484,0.15837088227272034,0.4130953550338745
