,pollution,of,water,by,nitrates,and,phosphates,will,encourage,the,growth,of,what,?
of,0.28485921025276184,1.0,0.2741255462169647,0.3646814823150635,0.22266438603401184,0.5116966962814331,0.2847970128059387,0.2473582625389099,0.2560228705406189,0.733189046382904,0.2679378092288971,1.0,0.33290785551071167,0.1826142966747284
algae,0.3917171061038971,0.17768362164497375,0.4361991882324219,0.14428187906742096,0.4365435838699341,0.22090305387973785,0.4604954421520233,0.2329360991716385,0.19906148314476013,0.17142868041992188,0.2875259816646576,0.17768362164497375,0.1909741312265396,0.15479309856891632
by,0.21202947199344635,0.3646814823150635,0.22562243044376373,1.0000001192092896,0.2328079491853714,0.4289871156215668,0.21411815285682678,0.2520078420639038,0.20527665317058563,0.4408751428127289,0.1624399870634079,0.3646814823150635,0.2455483376979828,0.17966607213020325
a,0.22524841129779816,0.5052502155303955,0.2979097068309784,0.32094135880470276,0.2659958600997925,0.3739250600337982,0.22677314281463623,0.3401327431201935,0.22210997343063354,0.5829201340675354,0.21544985473155975,0.5052502155303955,0.3320399522781372,0.23916715383529663
process,0.286942720413208,0.23962904512882233,0.21747305989265442,0.2115318775177002,0.29496118426322937,0.20204883813858032,0.34414732456207275,0.2778831124305725,0.27513450384140015,0.264274537563324,0.3221324682235718,0.23962904512882233,0.3466717302799225,0.2460896074771881
called,0.16801412403583527,0.4222904443740845,0.27940332889556885,0.3092815577983856,0.28349655866622925,0.3251761794090271,0.28480276465415955,0.22254163026809692,0.14084795117378235,0.489897221326828,0.1688249260187149,0.4222904443740845,0.3235960602760315,0.18963319063186646
eutrophication,0.4625081419944763,0.2845268249511719,0.476212739944458,0.23957237601280212,0.4726439118385315,0.25938063859939575,0.533450722694397,0.2941070795059204,0.2007678598165512,0.29850924015045166,0.38356468081474304,0.2845268249511719,0.2139674872159958,0.20569805800914764
and,0.2889794111251831,0.5116966962814331,0.3054247498512268,0.4289871156215668,0.2896411716938019,1.0,0.30103492736816406,0.35983073711395264,0.3351057767868042,0.5171257257461548,0.2731747627258301,0.5116966962814331,0.31309178471565247,0.20544172823429108
the,0.2658846378326416,0.733189046382904,0.297396719455719,0.4408751428127289,0.25121599435806274,0.5171257257461548,0.20471198856830597,0.3635469079017639,0.25321751832962036,1.0,0.2912366986274719,0.733189046382904,0.42745697498321533,0.22068053483963013
decay,0.3447381258010864,0.23059330880641937,0.2492799162864685,0.15198548138141632,0.36537060141563416,0.22840984165668488,0.4376868009567261,0.25797170400619507,0.15464219450950623,0.19517692923545837,0.33215945959091187,0.23059330880641937,0.19008733332157135,0.14745593070983887
of,0.28485921025276184,1.0,0.2741255462169647,0.3646814823150635,0.22266438603401184,0.5116966962814331,0.2847970128059387,0.2473582625389099,0.2560228705406189,0.733189046382904,0.2679378092288971,1.0,0.33290785551071167,0.1826142966747284
these,0.33798256516456604,0.42684608697891235,0.2640700936317444,0.33332425355911255,0.2926308512687683,0.5314885973930359,0.28936994075775146,0.3736666440963745,0.3351539373397827,0.49086877703666687,0.28658527135849,0.42684608697891235,0.4164220690727234,0.2571668326854706
organisms,0.41152939200401306,0.23870134353637695,0.3154129385948181,0.19641327857971191,0.38190796971321106,0.2444908618927002,0.4094799757003784,0.2318432629108429,0.25383561849594116,0.22463196516036987,0.30987587571144104,0.23870134353637695,0.22214920818805695,0.22621455788612366
and,0.2889794111251831,0.5116966962814331,0.3054247498512268,0.4289871156215668,0.2896411716938019,1.0,0.30103492736816406,0.35983073711395264,0.3351057767868042,0.5171257257461548,0.2731747627258301,0.5116966962814331,0.31309178471565247,0.20544172823429108
other,0.2756693661212921,0.38583824038505554,0.2921212315559387,0.3321913778781891,0.30954447388648987,0.5504306554794312,0.2969740629196167,0.3551507890224457,0.3833579421043396,0.44152235984802246,0.2152809053659439,0.38583824038505554,0.341873437166214,0.24682199954986572
biomaterials,0.5182212591171265,0.2940966784954071,0.4415726959705353,0.25183790922164917,0.5327126979827881,0.3138739764690399,0.5513363480567932,0.29535889625549316,0.2855354845523834,0.2675301730632782,0.3327939510345459,0.2940966784954071,0.2742403745651245,0.21042636036872864
may,0.2301989495754242,0.26447007060050964,0.16756772994995117,0.1970296949148178,0.2062315195798874,0.34598252177238464,0.18213289976119995,0.4277452528476715,0.25100377202033997,0.2694292366504669,0.11038567870855331,0.26447007060050964,0.25739946961402893,0.2768254578113556
reduce,0.4339771866798401,0.26028934121131897,0.2773286700248718,0.22512349486351013,0.3524875044822693,0.2456025630235672,0.27037134766578674,0.3313305079936981,0.3523119390010834,0.2735816240310669,0.31566423177719116,0.26028934121131897,0.18258237838745117,0.1462220549583435
amounts,0.3950086832046509,0.25878721475601196,0.3521476984024048,0.18336957693099976,0.46168002486228943,0.33048760890960693,0.42237389087677,0.3038993179798126,0.25262096524238586,0.2816965878009796,0.3275170624256134,0.25878721475601196,0.22797702252864838,0.1591416597366333
of,0.28485921025276184,1.0,0.2741255462169647,0.3646814823150635,0.22266438603401184,0.5116966962814331,0.2847970128059387,0.2473582625389099,0.2560228705406189,0.733189046382904,0.2679378092288971,1.0,0.33290785551071167,0.1826142966747284
o,0.06268125772476196,0.16054381430149078,0.15933758020401,0.15159443020820618,0.21258528530597687,0.2051020711660385,0.253921777009964,0.18392929434776306,0.04942762106657028,0.19071193039417267,0.078742615878582,0.16054381430149078,0.1489914506673813,0.23868927359580994
2,0.08322042226791382,-0.013777675107121468,0.04057620093226433,-0.038811419159173965,0.04277699813246727,-0.0926629975438118,-0.013527325354516506,-0.016808977350592613,0.014802942983806133,-0.019434669986367226,-0.07308284938335419,-0.013777675107121468,-0.049862053245306015,0.001977203879505396
in,0.2645488381385803,0.5696388483047485,0.23966141045093536,0.370934396982193,0.2729029357433319,0.4954058527946472,0.19718225300312042,0.2580665349960327,0.2503052353858948,0.6662389636039734,0.2819603681564331,0.5696388483047485,0.30808621644973755,0.20430970191955566
eutrophic,0.4052114188671112,0.24043740332126617,0.4401038587093353,0.16402077674865723,0.38934987783432007,0.2234732061624527,0.4995461404323578,0.24746175110340118,0.16964249312877655,0.22761990129947662,0.31874310970306396,0.24043740332126617,0.1530212014913559,0.1476769745349884
water,0.47903650999069214,0.2741255462169647,0.9999998807907104,0.22562243044376373,0.4899146854877472,0.3054247498512268,0.4389307498931885,0.22281214594841003,0.21935255825519562,0.297396719455719,0.2085668444633484,0.2741255462169647,0.17456887662410736,0.14731885492801666
bodies,0.2653624713420868,0.2732889950275421,0.36517488956451416,0.2477024495601654,0.24164868891239166,0.30740299820899963,0.3069930970668793,0.24710050225257874,0.21170833706855774,0.2745959758758545,0.20467650890350342,0.2732889950275421,0.1688588559627533,0.18285469710826874
.,0.24355308711528778,0.5352458953857422,0.26634910702705383,0.3936232924461365,0.24356602132320404,0.588965117931366,0.2773239314556122,0.33682769536972046,0.2384900003671646,0.5934505462646484,0.2825547754764557,0.5352458953857422,0.3567904531955719,0.4130953550338745
