,who,is,best,able,to,leverage,the,accumulation,of,wealth,?
in,0.2792111933231354,0.5394441485404968,0.2813531160354614,0.23456627130508423,0.45010748505592346,0.22090405225753784,0.6662389636039734,0.212209090590477,0.5696388483047485,0.1835664063692093,0.20430970191955566
new,0.2378052920103073,0.2208656519651413,0.2351977676153183,0.22229710221290588,0.33159172534942627,0.1768082231283188,0.3845241069793701,0.18937261402606964,0.343457967042923,0.17288216948509216,0.14782847464084625
sources,0.19914555549621582,0.2594712972640991,0.18656876683235168,0.2420143187046051,0.29232558608055115,0.2857254147529602,0.27209216356277466,0.2862626016139984,0.20696839690208435,0.24690376222133636,0.2886999845504761
of,0.2827862501144409,0.4854315221309662,0.23660683631896973,0.23883962631225586,0.41548454761505127,0.21369892358779907,0.733189046382904,0.3249269723892212,1.0,0.27235376834869385,0.1826142966747284
creating,0.27748748660087585,0.2656192183494568,0.23879536986351013,0.26387467980384827,0.31553950905799866,0.24757719039916992,0.286904513835907,0.32337114214897156,0.29262492060661316,0.2205425500869751,0.2842518985271454
wealth,0.28164976835250854,0.19482117891311646,0.14822325110435486,0.18446865677833557,0.30562296509742737,0.32313844561576843,0.24999672174453735,0.3215469717979431,0.27235376834869385,0.9999998807907104,0.1624586433172226
or,0.31144875288009644,0.41870999336242676,0.21050037443637848,0.29462990164756775,0.38921234011650085,0.31309306621551514,0.4174870550632477,0.36671561002731323,0.3792596757411957,0.2073715627193451,0.32389625906944275
to,0.42656609416007996,0.42745086550712585,0.21715646982192993,0.529755175113678,1.0,0.2965596616268158,0.535392165184021,0.26538437604904175,0.41548454761505127,0.30562296509742737,0.29463258385658264
otherwise,0.2092093825340271,0.3212507367134094,0.1900123655796051,0.3810146450996399,0.4337620139122009,0.2473628968000412,0.2968122065067291,0.3131078779697418,0.2133692502975464,0.23750987648963928,0.29367905855178833
leverage,0.27058231830596924,0.22682583332061768,0.18370600044727325,0.26511716842651367,0.2965596616268158,1.0000001192092896,0.28516846895217896,0.298613041639328,0.21369892358779907,0.32313844561576843,0.15978164970874786
the,0.3733934462070465,0.5823672413825989,0.3134109377861023,0.3435857892036438,0.535392165184021,0.28516846895217896,1.0,0.340740829706192,0.733189046382904,0.24999672174453735,0.22068053483963013
accumulation,0.08888786286115646,0.2816382944583893,0.15470857918262482,0.23894734680652618,0.26538437604904175,0.298613041639328,0.340740829706192,1.0,0.3249269723892212,0.3215469717979431,0.1650637835264206
of,0.2827862501144409,0.4854315221309662,0.23660683631896973,0.23883962631225586,0.41548454761505127,0.21369892358779907,0.733189046382904,0.3249269723892212,1.0,0.27235376834869385,0.1826142966747284
wealth,0.28164976835250854,0.19482117891311646,0.14822325110435486,0.18446865677833557,0.30562296509742737,0.32313844561576843,0.24999672174453735,0.3215469717979431,0.27235376834869385,0.9999998807907104,0.1624586433172226
",",0.3365725874900818,0.4691906273365021,0.3461092710494995,0.28725793957710266,0.44245919585227966,0.19695238769054413,0.4933079481124878,0.23359620571136475,0.4946078956127167,0.22482609748840332,0.31091248989105225
thus,0.249033123254776,0.244685098528862,0.1641862988471985,0.31122878193855286,0.42383262515068054,0.29126590490341187,0.4036877751350403,0.4039565920829773,0.3487406373023987,0.34692296385765076,0.18769288063049316
are,0.27294138073921204,0.5330929756164551,0.20069833099842072,0.2283707559108734,0.3504326641559601,0.24240483343601227,0.40399202704429626,0.2279219925403595,0.39081433415412903,0.13664987683296204,0.24591213464736938
the,0.3733934462070465,0.5823672413825989,0.3134109377861023,0.3435857892036438,0.535392165184021,0.28516846895217896,1.0,0.340740829706192,0.733189046382904,0.24999672174453735,0.22068053483963013
beneficiaries,0.3776605427265167,0.23112976551055908,0.24280790984630585,0.3823557496070862,0.37365543842315674,0.32937318086624146,0.2749902307987213,0.37096115946769714,0.27369728684425354,0.3727323114871979,0.37766554951667786
of,0.2827862501144409,0.4854315221309662,0.23660683631896973,0.23883962631225586,0.41548454761505127,0.21369892358779907,0.733189046382904,0.3249269723892212,1.0,0.27235376834869385,0.1826142966747284
the,0.3733934462070465,0.5823672413825989,0.3134109377861023,0.3435857892036438,0.535392165184021,0.28516846895217896,1.0,0.340740829706192,0.733189046382904,0.24999672174453735,0.22068053483963013
new,0.2378052920103073,0.2208656519651413,0.2351977676153183,0.22229710221290588,0.33159172534942627,0.1768082231283188,0.3845241069793701,0.18937261402606964,0.343457967042923,0.17288216948509216,0.14782847464084625
wealth,0.28164976835250854,0.19482117891311646,0.14822325110435486,0.18446865677833557,0.30562296509742737,0.32313844561576843,0.24999672174453735,0.3215469717979431,0.27235376834869385,0.9999998807907104,0.1624586433172226
.,0.3541337847709656,0.4569662809371948,0.31068575382232666,0.34544092416763306,0.4645031690597534,0.23674070835113525,0.5934505462646484,0.24883843958377838,0.5352458953857422,0.1815606653690338,0.4130953550338745
