,what,happened,to,most,of,tesla,'s,work,from,this,time,?
data,0.23453554511070251,0.17200258374214172,0.24776634573936462,0.10761269927024841,0.20013196766376495,0.17802943289279938,0.04192065820097923,0.19477838277816772,0.188001811504364,0.24432523548603058,0.2299795299768448,0.17909851670265198
",",0.3087472915649414,0.3230119049549103,0.44245919585227966,0.3636029064655304,0.4946078956127167,0.20599327981472015,-0.0016132977325469255,0.3283594250679016,0.39760664105415344,0.4316047728061676,0.3029961884021759,0.31091248989105225
tools,0.3442733585834503,0.20813336968421936,0.2906495928764343,0.20820802450180054,0.16475914418697357,0.23483791947364807,-0.004947378300130367,0.34677961468696594,0.15454985201358795,0.29973724484443665,0.2960866391658783,0.30193743109703064
",",0.3087472915649414,0.3230119049549103,0.44245919585227966,0.3636029064655304,0.4946078956127167,0.20599327981472015,-0.0016132977325469255,0.3283594250679016,0.39760664105415344,0.4316047728061676,0.3029961884021759,0.31091248989105225
photographs,0.15199247002601624,0.19646866619586945,0.1759694665670395,0.1841316819190979,0.1805899739265442,0.15261097252368927,0.005566708277910948,0.26031649112701416,0.17029273509979248,0.1397058218717575,0.20913022756576538,0.16775095462799072
",",0.3087472915649414,0.3230119049549103,0.44245919585227966,0.3636029064655304,0.4946078956127167,0.20599327981472015,-0.0016132977325469255,0.3283594250679016,0.39760664105415344,0.4316047728061676,0.3029961884021759,0.31091248989105225
valued,0.19062063097953796,0.14136604964733124,0.25093981623649597,0.24288083612918854,0.1515425443649292,0.1720447987318039,0.03409304469823837,0.20702339708805084,0.16216109693050385,0.2539803087711334,0.19932858645915985,0.20130088925361633
at,0.2838611304759979,0.31994152069091797,0.36524343490600586,0.22451047599315643,0.42558613419532776,0.16552478075027466,-0.08481216430664062,0.24906395375728607,0.3447161316871643,0.32544323801994324,0.3956010341644287,0.21978627145290375
$,0.24858909845352173,0.1620301753282547,0.22282108664512634,0.1646968275308609,0.11268499493598938,0.23458653688430786,0.03734852001070976,0.18856431543827057,0.10954198986291885,0.2798213064670563,0.21062809228897095,0.2786129117012024
"50,000—was",0.3023644685745239,0.19274218380451202,0.3085228204727173,0.19828052818775177,0.32914623618125916,0.13310770690441132,-0.00986393541097641,0.2544649839401245,0.18122003972530365,0.3643217384815216,0.25835394859313965,0.20782682299613953
lost,0.198215052485466,0.2810816168785095,0.23270919919013977,0.17681948840618134,0.2878951132297516,0.0778714269399643,-0.04458974674344063,0.1515154093503952,0.257583886384964,0.24713413417339325,0.27899548411369324,0.15261413156986237
in,0.30808621644973755,0.3302023410797119,0.45010748505592346,0.41416558623313904,0.5696388483047485,0.17097744345664978,-0.037580832839012146,0.2753349542617798,0.4274188280105591,0.45205554366111755,0.3431483507156372,0.20430970191955566
the,0.42745697498321533,0.3589572608470917,0.535392165184021,0.47635307908058167,0.733189046382904,0.1324402391910553,-0.01540423184633255,0.2704800069332123,0.40150508284568787,0.6274310946464539,0.43061500787734985,0.22068053483963013
5th,0.1135459691286087,0.05648892745375633,0.16695493459701538,0.15264073014259338,0.1792435646057129,0.17450560629367828,0.13002809882164001,0.08213069289922714,0.1405417025089264,0.14530161023139954,0.19288970530033112,0.042656198143959045
avenue,0.11924558132886887,0.1584462970495224,0.19636492431163788,0.10586384683847427,0.18280929327011108,0.1154039055109024,0.09186780452728271,0.12991921603679657,0.18111255764961243,0.14234717190265656,0.112267404794693,0.06327427178621292
laboratory,0.20190474390983582,0.13488702476024628,0.20453277230262756,0.11926189810037613,0.23493865132331848,0.3209504187107086,0.00510451290756464,0.28450411558151245,0.13893836736679077,0.21374189853668213,0.16049104928970337,0.07445509731769562
fire,0.19359004497528076,0.226368248462677,0.2020210474729538,0.1695970743894577,0.20259131491184235,0.12768769264221191,-0.033307209610939026,0.1455363631248474,0.20089569687843323,0.19925758242607117,0.160359725356102,0.14396874606609344
of,0.33290785551071167,0.30501094460487366,0.41548454761505127,0.4178851246833801,1.0,0.18837453424930573,-0.03817026689648628,0.23473061621189117,0.4249346852302551,0.45148900151252747,0.35127586126327515,0.1826142966747284
march,0.20529508590698242,0.2367410510778427,0.2274535447359085,0.1339138001203537,0.20692677795886993,0.1457514613866806,-0.036253921687603,0.2583886384963989,0.23610013723373413,0.23897410929203033,0.26086631417274475,0.2802562415599823
1895,0.05322836712002754,-0.026649216189980507,0.10716550797224045,-0.02391364425420761,-0.067837655544281,-0.018836146220564842,0.02004692703485489,0.07048819214105606,-0.006399660371243954,0.021823542192578316,0.10563082993030548,0.018882837146520615
.,0.3567904531955719,0.29012542963027954,0.4645031690597534,0.35404038429260254,0.5352458953857422,0.17949827015399933,-0.003708066651597619,0.33121398091316223,0.41536515951156616,0.500583827495575,0.371569961309433,0.4130953550338745
