,how,many,touchdowns,did,newton,get,in,the,2015,season,?
10,0.09177426248788834,0.3056783974170685,-0.00992126390337944,0.1914099007844925,0.03830950707197189,0.0783049687743187,0.22690178453922272,0.2880653440952301,0.15571165084838867,0.017048560082912445,0.022911956533789635
rushing,0.2803467810153961,0.21215204894542694,0.5714829564094543,0.21943612396717072,0.304086834192276,0.2619721293449402,0.21822091937065125,0.2992783486843109,-0.10239597409963608,0.2357044816017151,0.14363552629947662
),0.17939934134483337,0.16602720320224762,0.19843259453773499,0.18584993481636047,0.17433513700962067,0.26274725794792175,0.3326910734176636,0.3456730246543884,0.1380191147327423,0.14535100758075714,0.42300865054130554
",",0.22659391164779663,0.40610817074775696,0.23933975398540497,0.3015086054801941,0.2648763358592987,0.2926318049430847,0.5201468467712402,0.4933079481124878,0.06568983197212219,0.2232367992401123,0.31091248989105225
a,0.29312583804130554,0.2872205972671509,0.2318989634513855,0.2552328109741211,0.1884482353925705,0.27948489785194397,0.539380669593811,0.5829201340675354,-0.008371892385184765,0.1855505406856537,0.23916715383529663
career-low,0.2479514181613922,0.2875238358974457,0.4120676517486572,0.31910577416419983,0.22043463587760925,0.2698148190975189,0.26392239332199097,0.21368016302585602,-0.06424173712730408,0.3512099087238312,0.15329208970069885
10,0.09177426248788834,0.3056783974170685,-0.00992126390337944,0.1914099007844925,0.03830950707197189,0.0783049687743187,0.22690178453922272,0.2880653440952301,0.15571165084838867,0.017048560082912445,0.022911956533789635
interceptions,0.2084771692752838,0.21864065527915955,0.7320449352264404,0.21840861439704895,0.30017799139022827,0.24244055151939392,0.19061775505542755,0.22331646084785461,0.015746407210826874,0.35161852836608887,0.10945115238428116
",",0.22659391164779663,0.40610817074775696,0.23933975398540497,0.3015086054801941,0.2648763358592987,0.2926318049430847,0.5201468467712402,0.4933079481124878,0.06568983197212219,0.2232367992401123,0.31091248989105225
and,0.33647966384887695,0.5296266674995422,0.2571038007736206,0.34479495882987976,0.22255054116249084,0.37609121203422546,0.4954058527946472,0.5171257257461548,0.015077123418450356,0.2369309365749359,0.20544172823429108
a,0.29312583804130554,0.2872205972671509,0.2318989634513855,0.2552328109741211,0.1884482353925705,0.27948489785194397,0.539380669593811,0.5829201340675354,-0.008371892385184765,0.1855505406856537,0.23916715383529663
career-best,0.22005383670330048,0.30896151065826416,0.42702388763427734,0.3254493474960327,0.18897037208080292,0.23106060922145844,0.3449181616306305,0.29364049434661865,-0.001517498749308288,0.35868939757347107,0.2002197951078415
quarterback,0.10935026407241821,0.09331715106964111,0.6703263521194458,0.13718701899051666,0.29465755820274353,0.19782772660255432,0.17283181846141815,0.23757418990135193,-0.07722106575965881,0.360336571931839,0.13221268355846405
rating,0.20311082899570465,0.1606440395116806,0.39720848202705383,0.17871320247650146,0.20168572664260864,0.22907499969005585,0.16727057099342346,0.24654440581798553,-0.03246351331472397,0.31314903497695923,0.18754872679710388
of,0.2480744868516922,0.37253960967063904,0.18799830973148346,0.2513895630836487,0.18479612469673157,0.26628199219703674,0.5696388483047485,0.733189046382904,0.21138253808021545,0.1598338931798935,0.1826142966747284
99.4,0.07374688237905502,0.09562889486551285,0.13131600618362427,0.1511625200510025,0.07128863781690598,0.04856012016534805,0.05381285399198532,0.07925555855035782,0.252677857875824,0.04704667255282402,0.1159149557352066
.,0.3287222981452942,0.3974229395389557,0.208820641040802,0.35288307070732117,0.20699870586395264,0.39392393827438354,0.5591574311256409,0.5934505462646484,0.06607602536678314,0.24674734473228455,0.4130953550338745
