,under,which,leader,did,the,huguenots,fight,in,this,conflict,?
in,0.2535393238067627,0.4840516746044159,0.22669851779937744,0.2593238651752472,0.6662389636039734,0.25916293263435364,0.20735964179039001,1.0,0.45205554366111755,0.259853720664978,0.20430970191955566
ireland,0.22059638798236847,0.24782691895961761,0.1763972043991089,0.19258828461170197,0.2573983073234558,0.30442529916763306,0.14797358214855194,0.24362659454345703,0.2142292857170105,0.1199483796954155,0.10685748606920242
",",0.24875585734844208,0.3658004403114319,0.23893310129642487,0.3015086054801941,0.4933079481124878,0.23394492268562317,0.23247352242469788,0.5201468467712402,0.4316047728061676,0.24715133011341095,0.31091248989105225
for,0.2930702269077301,0.44095608592033386,0.1646857112646103,0.318512886762619,0.4739971458911896,0.17568211257457733,0.20539981126785278,0.4322226941585541,0.5082864165306091,0.1924027055501938,0.264628142118454
which,0.3235377371311188,1.0,0.13041070103645325,0.2750149369239807,0.6521818041801453,0.24042612314224243,0.32125556468963623,0.4840516746044159,0.6719430088996887,0.2701381742954254,0.25814583897590637
they,0.2802797257900238,0.5165667533874512,0.18681105971336365,0.4879390597343445,0.49925389885902405,0.2739465832710266,0.31644147634506226,0.4330179989337921,0.4273154139518738,0.20816996693611145,0.2753053903579712
were,0.28293636441230774,0.2807837128639221,0.15754278004169464,0.4162326455116272,0.3906462490558624,0.2728680968284607,0.26946231722831726,0.3815755248069763,0.25469228625297546,0.17508339881896973,0.17890112102031708
rewarded,0.17036423087120056,0.21050050854682922,0.24338747560977936,0.3190663456916809,0.25468435883522034,0.2127981185913086,0.3213987946510315,0.21160532534122467,0.2467404305934906,0.19867083430290222,0.21644258499145508
with,0.2667143940925598,0.46403205394744873,0.16914516687393188,0.25472134351730347,0.4223487675189972,0.20256154239177704,0.27819523215293884,0.4080928862094879,0.36358317732810974,0.24287909269332886,0.2433311939239502
land,0.18626606464385986,0.2834632992744446,0.17670707404613495,0.19881628453731537,0.28587454557418823,0.2369009107351303,0.21982517838478088,0.22871792316436768,0.24134407937526703,0.17233915627002716,0.1432059109210968
grants,0.22242943942546844,0.20795586705207825,0.14363789558410645,0.1914467066526413,0.2900126874446869,0.2655643820762634,0.1742466688156128,0.22626352310180664,0.23312769830226898,0.21102410554885864,0.1494954377412796
and,0.3005301356315613,0.506277859210968,0.23547638952732086,0.34479495882987976,0.5171257257461548,0.28783127665519714,0.3312135934829712,0.4954058527946472,0.42353692650794983,0.272842675447464,0.20544172823429108
titles,0.2366785854101181,0.24330049753189087,0.1538712978363037,0.23073320090770721,0.28764477372169495,0.1870613992214203,0.10751170665025711,0.21707631647586823,0.21137143671512604,0.1461479663848877,0.19587254524230957
",",0.24875585734844208,0.3658004403114319,0.23893310129642487,0.3015086054801941,0.4933079481124878,0.23394492268562317,0.23247352242469788,0.5201468467712402,0.4316047728061676,0.24715133011341095,0.31091248989105225
many,0.21268652379512787,0.5168171525001526,0.1649358570575714,0.375588983297348,0.4335206151008606,0.27507859468460083,0.29671403765678406,0.41474202275276184,0.43532639741897583,0.2642844617366791,0.2124512493610382
settling,0.14304383099079132,0.278051495552063,0.13432693481445312,0.19064220786094666,0.3075377941131592,0.2880564033985138,0.2640675902366638,0.2905094623565674,0.24801945686340332,0.2976312041282654,0.12231551110744476
in,0.2535393238067627,0.4840516746044159,0.22669851779937744,0.2593238651752472,0.6662389636039734,0.25916293263435364,0.20735964179039001,1.0,0.45205554366111755,0.259853720664978,0.20430970191955566
dublin,0.1277654767036438,0.2040664702653885,0.12613844871520996,0.19251824915409088,0.23325616121292114,0.34544798731803894,0.13662634789943695,0.21641160547733307,0.15866950154304504,0.06535837799310684,0.06738798320293427
.,0.2901604175567627,0.45942068099975586,0.21285216510295868,0.35288307070732117,0.5934505462646484,0.2170230895280838,0.263308584690094,0.5591574311256409,0.500583827495575,0.2486632764339447,0.4130953550338745
