,what,is,distribution,of,income,from,labor,due,to,the,differences,of,?
inequalities,0.2880789637565613,0.18202315270900726,0.2967555820941925,0.27897384762763977,0.37544959783554077,0.1165117621421814,0.31194978952407837,0.17474089562892914,0.24037407338619232,0.22218865156173706,0.4676106572151184,0.27897384762763977,0.19635117053985596
in,0.30808621644973755,0.5394441485404968,0.23537677526474,0.5696388483047485,0.1795814335346222,0.4274188280105591,0.1950610727071762,0.2516716718673706,0.45010748505592346,0.6662389636039734,0.23158365488052368,0.5696388483047485,0.20430970191955566
the,0.42745697498321533,0.5823672413825989,0.27569329738616943,0.733189046382904,0.23699946701526642,0.40150508284568787,0.21506793797016144,0.22577603161334991,0.535392165184021,1.0,0.323578417301178,0.733189046382904,0.22068053483963013
distribution,0.17429208755493164,0.2414398044347763,1.0,0.254255473613739,0.24441708624362946,0.13387413322925568,0.1787242591381073,0.17957815527915955,0.18405549228191376,0.27569329738616943,0.3135932385921478,0.254255473613739,0.0929616317152977
of,0.33290785551071167,0.4854315221309662,0.254255473613739,1.0,0.2581324577331543,0.4249346852302551,0.23769748210906982,0.2533245384693146,0.41548454761505127,0.733189046382904,0.3115874230861664,1.0,0.1826142966747284
income,0.21837803721427917,0.14559021592140198,0.24441708624362946,0.2581324577331543,1.0,0.17458222806453705,0.28508612513542175,0.1845283955335617,0.27188464999198914,0.23699946701526642,0.3093383312225342,0.2581324577331543,0.14935168623924255
as,0.31749409437179565,0.43216490745544434,0.16124595701694489,0.3886612355709076,0.1530616581439972,0.3251767158508301,0.19227024912834167,0.16304998099803925,0.42092081904411316,0.48381632566452026,0.232157364487648,0.3886612355709076,0.27043893933296204
arising,0.31933221220970154,0.2170674055814743,0.29976221919059753,0.3256460726261139,0.21548902988433838,0.23872226476669312,0.2061254233121872,0.3231457769870758,0.27610599994659424,0.30971670150756836,0.3156542479991913,0.3256460726261139,0.14599399268627167
from,0.2737620174884796,0.27355384826660156,0.13387413322925568,0.4249346852302551,0.17458222806453705,1.0,0.1662713587284088,0.2898779809474945,0.4069952368736267,0.40150508284568787,0.16522116959095,0.4249346852302551,0.19969791173934937
differences,0.3500737249851227,0.26013633608818054,0.3135932385921478,0.3115874230861664,0.3093383312225342,0.16522116959095,0.16938309371471405,0.30350881814956665,0.2743901312351227,0.323578417301178,1.0000001192092896,0.3115874230861664,0.20399115979671478
in,0.30808621644973755,0.5394441485404968,0.23537677526474,0.5696388483047485,0.1795814335346222,0.4274188280105591,0.1950610727071762,0.2516716718673706,0.45010748505592346,0.6662389636039734,0.23158365488052368,0.5696388483047485,0.20430970191955566
value,0.24056871235370636,0.22550974786281586,0.21557684242725372,0.14933855831623077,0.3184899091720581,0.19919884204864502,0.2351473569869995,0.14252588152885437,0.23921877145767212,0.16908381879329681,0.24119558930397034,0.14933855831623077,0.23920650780200958
added,0.23789235949516296,0.21163742244243622,0.07134811580181122,0.2879071831703186,0.2154298573732376,0.23234812915325165,0.17682842910289764,0.2727276086807251,0.29473474621772766,0.3207796514034271,0.23104940354824066,0.2879071831703186,0.2865637540817261
by,0.2455483376979828,0.3899846076965332,0.20363955199718475,0.3646814823150635,0.17474129796028137,0.3373257517814636,0.18895922601222992,0.22024279832839966,0.33534231781959534,0.4408751428127289,0.21569925546646118,0.3646814823150635,0.17966607213020325
labor,0.1943984031677246,0.13817991316318512,0.1787242591381073,0.23769748210906982,0.28508612513542175,0.1662713587284088,0.9999999403953552,0.15257316827774048,0.21037620306015015,0.21506793797016144,0.16938309371471405,0.23769748210906982,0.19386747479438782
",",0.3087472915649414,0.4691906273365021,0.20136328041553497,0.4946078956127167,0.19703416526317596,0.39760664105415344,0.2110631912946701,0.3106630742549896,0.44245919585227966,0.4933079481124878,0.29634585976600647,0.4946078956127167,0.31091248989105225
capital,0.17967931926250458,0.2849797308444977,0.1564399003982544,0.30823585391044617,0.2837882339954376,0.22938302159309387,0.17867590487003326,0.11148549616336823,0.1844596415758133,0.3049491047859192,0.10550268739461899,0.30823585391044617,0.0907452180981636
and,0.31309178471565247,0.3859752118587494,0.24142658710479736,0.5116966962814331,0.2518245577812195,0.3601827025413513,0.22200584411621094,0.3082410395145416,0.48971283435821533,0.5171257257461548,0.33465567231178284,0.5116966962814331,0.20544172823429108
land,0.23411516845226288,0.22457899153232574,0.14506350457668304,0.3057127296924591,0.23736657202243805,0.21997374296188354,0.15280184149742126,0.12817563116550446,0.2885280251502991,0.28587454557418823,0.14681869745254517,0.3057127296924591,0.1432059109210968
.,0.3567904531955719,0.4569662809371948,0.22641029953956604,0.5352458953857422,0.26448529958724976,0.41536515951156616,0.2150036245584488,0.19861014187335968,0.4645031690597534,0.5934505462646484,0.2511407434940338,0.5352458953857422,0.4130953550338745
