,graham,gano,kicked,a,field,goal,of,how,many,yards,?
goal,0.13701669871807098,0.13990363478660583,0.30448809266090393,0.20853768289089203,0.26796361804008484,1.0000001192092896,0.1838325709104538,0.20538218319416046,0.11800757050514221,0.3246974050998688,0.1964566856622696
",",0.27060064673423767,0.26719462871551514,0.21649131178855896,0.427140474319458,0.27645614743232727,0.2145523726940155,0.4946078956127167,0.22659391164779663,0.40610817074775696,0.16944201290607452,0.31091248989105225
cutting,0.2112043797969818,0.08574247360229492,0.25368446111679077,0.23154695332050323,0.08939063549041748,0.20428287982940674,0.26013487577438354,0.2312716394662857,0.25936827063560486,0.23584473133087158,0.07885761559009552
the,0.20041067898273468,0.22641095519065857,0.25993093848228455,0.5829201340675354,0.2105809599161148,0.2443244755268097,0.733189046382904,0.33890387415885925,0.4335206151008606,0.16070343554019928,0.22068053483963013
panthers,0.23682335019111633,0.18962828814983368,0.2622623145580292,0.2255268394947052,0.20978039503097534,0.20438778400421143,0.23357392847537994,0.1117783859372139,0.14744015038013458,0.33815330266952515,0.16608978807926178
deficit,0.09921817481517792,0.19795989990234375,0.2087685614824295,0.22604411840438843,0.13288761675357819,0.27417245507240295,0.22850900888442993,0.2709174156188965,0.20897448062896729,0.1792718917131424,0.2131306529045105
to,0.1571163535118103,0.21469402313232422,0.2801065444946289,0.45503583550453186,0.2647967040538788,0.37094977498054504,0.41548454761505127,0.44169697165489197,0.40243685245513916,0.1612969934940338,0.29463258385658264
one,0.21804861724376678,0.2209806740283966,0.22932839393615723,0.4910551905632019,0.17056670784950256,0.2164333313703537,0.4999135136604309,0.3213292360305786,0.4223630726337433,0.2028396874666214,0.2673267424106598
score,0.15882867574691772,0.14481769502162933,0.22661390900611877,0.19997252523899078,0.1500541716814041,0.3320634365081787,0.1790168732404709,0.21145649254322052,0.06875400245189667,0.2295611947774887,0.199510395526886
at,0.16321143507957458,0.14137980341911316,0.15946359932422638,0.3095070421695709,0.190035879611969,0.20931877195835114,0.42558613419532776,0.2154216170310974,0.2716965675354004,0.1900969296693802,0.21978627145290375
16–10,0.13341446220874786,0.0031761613208800554,0.10822201520204544,-0.0399751253426075,-0.0651056319475174,-0.027859250083565712,0.04156067967414856,-0.06525324285030365,0.002187779638916254,-0.04771792143583298,0.00041399712790735066
.,0.22026626765727997,0.1941920816898346,0.2693699300289154,0.50484299659729,0.23224417865276337,0.19919876754283905,0.5352458953857422,0.3287222981452942,0.3974229395389557,0.17664551734924316,0.4130953550338745
