,what,jewish,practice,did,the,yuan,ban,?
slaughter,0.19860325753688812,0.2060917615890503,0.12613460421562195,0.13671745359897614,0.23269744217395782,0.10844836384057999,0.10207360982894897,0.1293080896139145
and,0.31309178471565247,0.22477500140666962,0.2791718542575836,0.34479495882987976,0.5171257257461548,0.22359056770801544,0.15939861536026,0.20544172823429108
other,0.341873437166214,0.16340272128582,0.25364524126052856,0.31707024574279785,0.44152235984802246,0.18199217319488525,0.19317106902599335,0.24682199954986572
islamic,0.2204568088054657,0.4078637361526489,0.2992936074733734,0.17371372878551483,0.27231070399284363,0.30396002531051636,0.23897136747837067,0.1692383587360382
practices,0.30286267399787903,0.25655123591423035,0.8208321928977966,0.21679148077964783,0.24007414281368256,0.15688087046146393,0.19546276330947876,0.18974241614341736
like,0.4320242702960968,0.14110654592514038,0.1464063823223114,0.40502431988716125,0.32912567257881165,0.15160170197486877,0.23343242704868317,0.3268813192844391
circumcision,0.35337725281715393,0.28579601645469666,0.43023115396499634,0.22284944355487823,0.3092884123325348,0.12293483316898346,0.27457648515701294,0.27049529552459717
",",0.3087472915649414,0.23398083448410034,0.2838936448097229,0.3015086054801941,0.4933079481124878,0.20958951115608215,0.2151244729757309,0.31091248989105225
as,0.31749409437179565,0.19914422929286957,0.22643209993839264,0.3596470057964325,0.48381632566452026,0.2132488638162613,0.2583363652229309,0.27043893933296204
well,0.4154493808746338,0.20559048652648926,0.2719101309776306,0.4341743588447571,0.42630070447921753,0.09698395431041718,0.21972593665122986,0.24815571308135986
as,0.31749409437179565,0.19914422929286957,0.22643209993839264,0.3596470057964325,0.48381632566452026,0.2132488638162613,0.2583363652229309,0.27043893933296204
kosher,0.3034611642360687,0.30483394861221313,0.2933960258960724,0.23791223764419556,0.21572375297546387,0.18642988801002502,0.2552511394023895,0.23208867013454437
butchering,0.26531782746315,0.23999148607254028,0.32667481899261475,0.21242670714855194,0.2873864471912384,0.1856634020805359,0.1839895397424698,0.1986556500196457
for,0.3017193675041199,0.16885632276535034,0.3276185989379883,0.318512886762619,0.4739971458911896,0.12319284677505493,0.2181331366300583,0.264628142118454
jews,0.22131574153900146,0.6836509108543396,0.2573285698890686,0.23080717027187347,0.24901628494262695,0.09203161299228668,0.18032947182655334,0.16730794310569763
",",0.3087472915649414,0.23398083448410034,0.2838936448097229,0.3015086054801941,0.4933079481124878,0.20958951115608215,0.2151244729757309,0.31091248989105225
forcing,0.24178177118301392,0.11677498370409012,0.2395828515291214,0.28997835516929626,0.31176233291625977,0.14914271235466003,0.2151835858821869,0.19852621853351593
them,0.4994642734527588,0.16230030357837677,0.2853124737739563,0.44189682602882385,0.4788833558559418,0.20190900564193726,0.20979967713356018,0.35435691475868225
to,0.455847829580307,0.19074052572250366,0.289366751909256,0.4452643394470215,0.535392165184021,0.1499021351337433,0.26575782895088196,0.29463258385658264
eat,0.26042336225509644,0.15506640076637268,0.19942767918109894,0.25495755672454834,0.23500721156597137,0.14732928574085236,0.15357671678066254,0.2330920696258545
food,0.23540689051151276,0.181313619017601,0.16921459138393402,0.18677744269371033,0.3025728166103363,0.14616137742996216,0.18679901957511902,0.15376032888889313
the,0.42745697498321533,0.19492539763450623,0.27333036065101624,0.34736719727516174,1.0,0.2548272907733917,0.1830999106168747,0.22068053483963013
mongol,0.15870186686515808,0.21544593572616577,0.16435952484607697,0.17534953355789185,0.2924198508262634,0.5039428472518921,0.1521635800600052,0.12849251925945282
way,0.4835909903049469,0.14020736515522003,0.3226287066936493,0.34534135460853577,0.36217406392097473,0.16026252508163452,0.2442748248577118,0.31575819849967957
.,0.3567904531955719,0.19860893487930298,0.2513175904750824,0.35288307070732117,0.5934505462646484,0.17233723402023315,0.20274263620376587,0.4130953550338745
