,sedimentary,rock,can,be,turned,into,which,of,the,three,types,of,rock,?
pressure,0.28950953483581543,0.12735863029956818,0.2516952455043793,0.23846358060836792,0.23765629529953003,0.2177886962890625,0.30311983823776245,0.22627468407154083,0.28285476565361023,0.1607539802789688,0.1854935884475708,0.22627468407154083,0.12735863029956818,0.142023503780365
and,0.30291467905044556,0.2808155119419098,0.3675691485404968,0.41766801476478577,0.372392475605011,0.36597734689712524,0.506277859210968,0.5116966962814331,0.5171257257461548,0.3826501965522766,0.3014242649078369,0.5116966962814331,0.2808155119419098,0.20544172823429108
is,0.2035568505525589,0.1981455236673355,0.44256699085235596,0.4819129705429077,0.2681102156639099,0.2619607150554657,0.4457404911518097,0.4854315221309662,0.5823672413825989,0.23072560131549835,0.21496213972568512,0.4854315221309662,0.1981455236673355,0.22961433231830597
then,0.158636212348938,0.18938525021076202,0.3455607295036316,0.38089728355407715,0.3549734354019165,0.42628222703933716,0.4444481134414673,0.2937326431274414,0.4297412931919098,0.31523916125297546,0.12112748622894287,0.2937326431274414,0.18938525021076202,0.2884598970413208
weathered,0.44914183020591736,0.33995985984802246,0.22168992459774017,0.2729586660861969,0.3017106056213379,0.2116691619157791,0.34675002098083496,0.31839612126350403,0.3183887004852295,0.23025193810462952,0.2327508181333542,0.31839612126350403,0.33995985984802246,0.15842652320861816
",",0.23855918645858765,0.2775712311267853,0.3139454126358032,0.39254459738731384,0.321188747882843,0.2826121151447296,0.3658004403114319,0.4946078956127167,0.4933079481124878,0.3347506821155548,0.24108222126960754,0.4946078956127167,0.2775712311267853,0.31091248989105225
eroded,0.5614548325538635,0.4550938010215759,0.19155921041965485,0.22417855262756348,0.2841487228870392,0.261238157749176,0.3343828022480011,0.28028666973114014,0.27606603503227234,0.16590265929698944,0.17001961171627045,0.28028666973114014,0.4550938010215759,0.1318357139825821
",",0.23855918645858765,0.2775712311267853,0.3139454126358032,0.39254459738731384,0.321188747882843,0.2826121151447296,0.3658004403114319,0.4946078956127167,0.4933079481124878,0.3347506821155548,0.24108222126960754,0.4946078956127167,0.2775712311267853,0.31091248989105225
deposited,0.6198160648345947,0.3336617946624756,0.2266691029071808,0.2536315321922302,0.27262958884239197,0.28163689374923706,0.39234742522239685,0.30108410120010376,0.3119201362133026,0.14053449034690857,0.2213348150253296,0.30108410120010376,0.3336617946624756,0.12185612320899963
",",0.23855918645858765,0.2775712311267853,0.3139454126358032,0.39254459738731384,0.321188747882843,0.2826121151447296,0.3658004403114319,0.4946078956127167,0.4933079481124878,0.3347506821155548,0.24108222126960754,0.4946078956127167,0.2775712311267853,0.31091248989105225
and,0.30291467905044556,0.2808155119419098,0.3675691485404968,0.41766801476478577,0.372392475605011,0.36597734689712524,0.506277859210968,0.5116966962814331,0.5171257257461548,0.3826501965522766,0.3014242649078369,0.5116966962814331,0.2808155119419098,0.20544172823429108
lithified,0.3986721634864807,0.2719937562942505,0.2601083517074585,0.38648054003715515,0.350293904542923,0.3100346624851227,0.3381582498550415,0.29669222235679626,0.3469866216182709,0.31096917390823364,0.2194749414920807,0.29669222235679626,0.2719937562942505,0.27524104714393616
",",0.23855918645858765,0.2775712311267853,0.3139454126358032,0.39254459738731384,0.321188747882843,0.2826121151447296,0.3658004403114319,0.4946078956127167,0.4933079481124878,0.3347506821155548,0.24108222126960754,0.4946078956127167,0.2775712311267853,0.31091248989105225
ultimately,0.11695235967636108,0.12258899211883545,0.20863687992095947,0.27691787481307983,0.2807455360889435,0.2391839176416397,0.39092856645584106,0.2608107626438141,0.38258427381515503,0.2324610948562622,0.13315986096858978,0.2608107626438141,0.12258899211883545,0.18806859850883484
becoming,0.05967323109507561,0.1236015185713768,0.2295106053352356,0.3240874707698822,0.3554719090461731,0.18837106227874756,0.25386714935302734,0.3014795780181885,0.333665668964386,0.15967224538326263,0.10540472716093063,0.3014795780181885,0.1236015185713768,0.17354105412960052
a,0.22127015888690948,0.25165656208992004,0.3915780484676361,0.39883795380592346,0.32632166147232056,0.3461161255836487,0.56894451379776,0.5052502155303955,0.5829201340675354,0.3025658130645752,0.27099108695983887,0.5052502155303955,0.25165656208992004,0.23916715383529663
sedimentary,1.0,0.4918837249279022,0.18778736889362335,0.27282798290252686,0.18897227942943573,0.2809908390045166,0.3548518121242523,0.30878832936286926,0.2576860189437866,0.20196804404258728,0.27684104442596436,0.30878832936286926,0.4918837249279022,0.1575118452310562
rock,0.4918837249279022,1.0,0.1506635546684265,0.24234087765216827,0.12615546584129333,0.2020813673734665,0.2919301390647888,0.2653365731239319,0.23786304891109467,0.17912183701992035,0.17830850183963776,0.2653365731239319,1.0,0.13172835111618042
.,0.22532618045806885,0.24835698306560516,0.35783761739730835,0.4383580684661865,0.29343360662460327,0.26250120997428894,0.45942068099975586,0.5352458953857422,0.5934505462646484,0.34968629479408264,0.2097296416759491,0.5352458953857422,0.24835698306560516,0.4130953550338745
