,what,molecules,of,the,adaptive,immune,system,only,exist,in,jawed,vertebrates,?
immunoglobulins,0.18903914093971252,0.5662097930908203,0.24303264915943146,0.26144325733184814,0.4879283308982849,0.7463636994361877,0.37885281443595886,0.2691733241081238,0.21116013824939728,0.18976013362407684,0.39639708399772644,0.594145655632019,0.1932239830493927
and,0.31309178471565247,0.24837805330753326,0.5116966962814331,0.5171257257461548,0.16619820892810822,0.14400269091129303,0.231138214468956,0.4542345404624939,0.2538236081600189,0.4954058527946472,0.2389185130596161,0.2606973946094513,0.20544172823429108
t,0.37454068660736084,0.22650130093097687,0.14617829024791718,0.2083338052034378,0.1490013301372528,0.24755755066871643,0.15903478860855103,0.3248940706253052,0.2937105596065521,0.1924382597208023,0.1610799878835678,0.25274762511253357,0.4954066574573517
cell,0.19222842156887054,0.45167991518974304,0.18332023918628693,0.15822452306747437,0.306709885597229,0.39050236344337463,0.19477003812789917,0.24605418741703033,0.20916058123111725,0.16478286683559418,0.207375168800354,0.3590555787086487,0.2058541625738144
receptors,0.2304931879043579,0.5433341264724731,0.19634202122688293,0.2622849941253662,0.4194391369819641,0.5147067904472351,0.2696112394332886,0.2280036062002182,0.16926337778568268,0.196920245885849,0.29495754837989807,0.48123592138290405,0.1343143880367279
),0.26259949803352356,0.17004519701004028,0.3680361211299896,0.3456730246543884,0.0649009644985199,0.052535902708768845,0.15207810699939728,0.31837013363838196,0.2214108407497406,0.3326910734176636,0.17491568624973297,0.14328941702842712,0.42300865054130554
exist,0.3340267241001129,0.2600584924221039,0.28013259172439575,0.3024537265300751,0.22132834792137146,0.19829653203487396,0.21557503938674927,0.38149672746658325,0.9999999403953552,0.2361043095588684,0.1856132447719574,0.21828658878803253,0.28923845291137695
only,0.41415658593177795,0.24020810425281525,0.49632513523101807,0.5497692227363586,0.3120679557323456,0.22060026228427887,0.3086473345756531,1.0,0.38149672746658325,0.42992329597473145,0.23712673783302307,0.2799844741821289,0.2767370045185089
in,0.30808621644973755,0.2197362184524536,0.5696388483047485,0.6662389636039734,0.22990182042121887,0.14682820439338684,0.21978288888931274,0.42992329597473145,0.2361043095588684,1.0,0.20179776847362518,0.2620749771595001,0.20430970191955566
jawed,0.13097071647644043,0.2517775297164917,0.21173660457134247,0.20447887480258942,0.3620651960372925,0.27702590823173523,0.11240080744028091,0.23712673783302307,0.1856132447719574,0.20179776847362518,1.0,0.5698410272598267,0.19950076937675476
vertebrates,0.21643035113811493,0.4196745455265045,0.2946195900440216,0.3000766634941101,0.45574235916137695,0.44061943888664246,0.30950847268104553,0.2799844741821289,0.21828658878803253,0.2620749771595001,0.5698410272598267,1.0000001192092896,0.19819197058677673
.,0.3567904531955719,0.25748172402381897,0.5352458953857422,0.5934505462646484,0.19474436342716217,0.18267881870269775,0.2277725487947464,0.49507418274879456,0.29937607049942017,0.5591574311256409,0.2343483865261078,0.26288262009620667,0.4130953550338745
