,what,is,an,object,'s,mass,proportional,to,at,the,surface,of,the,earth,?
object,0.25733083486557007,0.30146875977516174,0.2576858103275299,1.0,-0.014258400537073612,0.3753473162651062,0.3781084716320038,0.2821136713027954,0.18659909069538116,0.22418850660324097,0.41279926896095276,0.1993778944015503,0.22418850660324097,0.37512388825416565,0.19573666155338287
at,0.2838611304759979,0.25906258821487427,0.2446778565645218,0.18659909069538116,-0.08481216430664062,0.25305312871932983,0.18845289945602417,0.36524343490600586,1.0,0.457212895154953,0.16544756293296814,0.42558613419532776,0.457212895154953,0.14618435502052307,0.21978627145290375
the,0.42745697498321533,0.5823672413825989,0.4207492768764496,0.22418850660324097,-0.01540423184633255,0.2284930944442749,0.31065797805786133,0.535392165184021,0.457212895154953,1.0,0.2555135488510132,0.733189046382904,1.0,0.2801888585090637,0.22068053483963013
earth,0.25883176922798157,0.26888176798820496,0.15274131298065186,0.37512388825416565,0.0661235973238945,0.23690102994441986,0.24243642389774323,0.2486501932144165,0.14618435502052307,0.2801888585090637,0.49709221720695496,0.2329314798116684,0.2801888585090637,1.0,0.17717236280441284
's,0.02692362666130066,0.02396530658006668,0.025255560874938965,-0.014258400537073612,0.9999999403953552,0.022538112476468086,-0.0017940793186426163,0.03782717138528824,-0.08481216430664062,-0.01540423184633255,0.11841000616550446,-0.03817026689648628,-0.01540423184633255,0.0661235973238945,-0.023395681753754616
surface,0.23580394685268402,0.29345643520355225,0.18808452785015106,0.41279926896095276,0.11841000616550446,0.28255894780158997,0.35647568106651306,0.23727688193321228,0.16544756293296814,0.2555135488510132,0.9999998807907104,0.24204103648662567,0.2555135488510132,0.49709221720695496,0.14613434672355652
is,0.28837618231773376,1.0,0.4654068350791931,0.30146875977516174,0.02396530658006668,0.21063528954982758,0.2985236644744873,0.42745086550712585,0.25906258821487427,0.5823672413825989,0.29345643520355225,0.4854315221309662,0.5823672413825989,0.26888176798820496,0.22961433231830597
directly,0.3618607521057129,0.2819631099700928,0.21385347843170166,0.2921910583972931,-0.014331134036183357,0.19334663450717926,0.35477161407470703,0.46690139174461365,0.23563194274902344,0.4502958655357361,0.2658129036426544,0.2998887896537781,0.4502958655357361,0.197906956076622,0.2187996357679367
proportional,0.21258501708507538,0.2985236644744873,0.19761574268341064,0.3781084716320038,-0.0017940793186426163,0.33392611145973206,0.9999998807907104,0.31183287501335144,0.18845289945602417,0.31065797805786133,0.35647568106651306,0.3755289316177368,0.31065797805786133,0.24243642389774323,0.150908961892128
to,0.455847829580307,0.42745086550712585,0.3138085603713989,0.2821136713027954,0.03782717138528824,0.20907121896743774,0.31183287501335144,1.0,0.36524343490600586,0.535392165184021,0.23727688193321228,0.41548454761505127,0.535392165184021,0.2486501932144165,0.29463258385658264
the,0.42745697498321533,0.5823672413825989,0.4207492768764496,0.22418850660324097,-0.01540423184633255,0.2284930944442749,0.31065797805786133,0.535392165184021,0.457212895154953,1.0,0.2555135488510132,0.733189046382904,1.0,0.2801888585090637,0.22068053483963013
object,0.25733083486557007,0.30146875977516174,0.2576858103275299,1.0,-0.014258400537073612,0.3753473162651062,0.3781084716320038,0.2821136713027954,0.18659909069538116,0.22418850660324097,0.41279926896095276,0.1993778944015503,0.22418850660324097,0.37512388825416565,0.19573666155338287
's,0.02692362666130066,0.02396530658006668,0.025255560874938965,-0.014258400537073612,0.9999999403953552,0.022538112476468086,-0.0017940793186426163,0.03782717138528824,-0.08481216430664062,-0.01540423184633255,0.11841000616550446,-0.03817026689648628,-0.01540423184633255,0.0661235973238945,-0.023395681753754616
mass,0.23905135691165924,0.21063528954982758,0.20003743469715118,0.3753473162651062,0.022538112476468086,1.0000001192092896,0.33392611145973206,0.20907121896743774,0.25305312871932983,0.2284930944442749,0.28255894780158997,0.26915112137794495,0.2284930944442749,0.23690102994441986,0.2076406031847
.,0.3567904531955719,0.4569662809371948,0.3581749200820923,0.22102774679660797,-0.003708066651597619,0.25224974751472473,0.27556005120277405,0.4645031690597534,0.4549728035926819,0.5934505462646484,0.2543797492980957,0.5352458953857422,0.5934505462646484,0.2542925775051117,0.4130953550338745
