,what,effect,does,european,union,law,have,on,laws,of,member,states,?
",",0.3087472915649414,0.2150653600692749,0.28617382049560547,0.19684812426567078,0.2362271547317505,0.24953721463680267,0.3541618287563324,0.49057599902153015,0.26751992106437683,0.4946078956127167,0.25757819414138794,0.3315127193927765,0.31091248989105225
such,0.23989605903625488,0.2521497309207916,0.2787191867828369,0.24026738107204437,0.15644019842147827,0.18631872534751892,0.42997312545776367,0.3181164264678955,0.23474448919296265,0.3209529519081116,0.14228516817092896,0.20258460938930511,0.17851735651493073
as,0.31749409437179565,0.23823627829551697,0.31202155351638794,0.20210161805152893,0.1848503202199936,0.2346976399421692,0.37788212299346924,0.36047765612602234,0.21991311013698578,0.3886612355709076,0.2264706939458847,0.26192235946655273,0.27043893933296204
regulations,0.21871556341648102,0.28958940505981445,0.2808334231376648,0.2838364243507385,0.24004307389259338,0.3650396764278412,0.3477776348590851,0.23538736999034882,0.5488995313644409,0.24404282867908478,0.11344646662473679,0.2784365713596344,0.17806588113307953
and,0.31309178471565247,0.23508284986019135,0.3461615741252899,0.24143946170806885,0.2594362497329712,0.254730761051178,0.4711785912513733,0.4077630043029785,0.290377676486969,0.5116966962814331,0.28606608510017395,0.2974761426448822,0.20544172823429108
directives,0.19725696742534637,0.22669483721256256,0.21180075407028198,0.24995045363903046,0.22130589187145233,0.27248021960258484,0.20487956702709198,0.19245022535324097,0.2690233886241913,0.1738433986902237,0.15160991251468658,0.24161919951438904,0.14184632897377014
",",0.3087472915649414,0.2150653600692749,0.28617382049560547,0.19684812426567078,0.2362271547317505,0.24953721463680267,0.3541618287563324,0.49057599902153015,0.26751992106437683,0.4946078956127167,0.25757819414138794,0.3315127193927765,0.31091248989105225
which,0.5261979103088379,0.33791235089302063,0.39111801981925964,0.2234036773443222,0.23846890032291412,0.20205146074295044,0.49652695655822754,0.4245251417160034,0.271426796913147,0.5011631846427917,0.19141918420791626,0.27476921677589417,0.25814583897590637
have,0.39808809757232666,0.27919867634773254,0.3709583580493927,0.19048169255256653,0.16471676528453827,0.18623127043247223,0.9999999403953552,0.36494916677474976,0.250083863735199,0.3802283704280853,0.17082428932189941,0.20162390172481537,0.32991164922714233
direct,0.26271191239356995,0.3360842168331146,0.19850881397724152,0.20037411153316498,0.09293387830257416,0.22744078934192657,0.2788701355457306,0.20648783445358276,0.1707817167043686,0.2533726394176483,0.11698779463768005,0.20123326778411865,0.18476411700248718
effect,0.2546532452106476,1.0,0.28335171937942505,0.12194139510393143,0.11457715183496475,0.22741442918777466,0.27919867634773254,0.2661469280719757,0.21134774386882782,0.24129827320575714,0.05921902135014534,0.25396740436553955,0.1783771812915802
or,0.33867141604423523,0.29699721932411194,0.4248845875263214,0.2412617802619934,0.21298456192016602,0.19038471579551697,0.46389055252075195,0.2897229492664337,0.2778708338737488,0.3792596757411957,0.14377020299434662,0.21771061420440674,0.32389625906944275
indirect,0.27479690313339233,0.39034736156463623,0.23693203926086426,0.21502333879470825,0.11549913138151169,0.23277056217193604,0.2778482139110565,0.160138338804245,0.2332177758216858,0.3016951382160187,0.13694006204605103,0.2695997655391693,0.20991046726703644
effect,0.2546532452106476,1.0,0.28335171937942505,0.12194139510393143,0.11457715183496475,0.22741442918777466,0.27919867634773254,0.2661469280719757,0.21134774386882782,0.24129827320575714,0.05921902135014534,0.25396740436553955,0.1783771812915802
on,0.34226128458976746,0.2661469280719757,0.2568802833557129,0.19710737466812134,0.15769828855991364,0.13878796994686127,0.36494916677474976,0.9999999403953552,0.16233189404010773,0.3966929316520691,0.1643621176481247,0.2692825198173523,0.2714994251728058
the,0.42745697498321533,0.2865084111690521,0.35928019881248474,0.3423081040382385,0.24421639740467072,0.24548950791358948,0.40389683842658997,0.5107308030128479,0.2587076723575592,0.733189046382904,0.2806392312049866,0.3463578522205353,0.22068053483963013
laws,0.29636016488075256,0.21134774386882782,0.2312685251235962,0.21827232837677002,0.2677162289619446,0.6853237152099609,0.250083863735199,0.16233189404010773,1.0,0.2539142072200775,0.19865256547927856,0.27461767196655273,0.17911791801452637
of,0.33290785551071167,0.24129827320575714,0.3119818866252899,0.2507138252258301,0.2642118036746979,0.2816956341266632,0.3802283704280853,0.3966929316520691,0.2539142072200775,1.0,0.2701796889305115,0.30884552001953125,0.1826142966747284
european,0.15324164927005768,0.12194139510393143,0.11488570272922516,0.9999998807907104,0.3571677803993225,0.17164482176303864,0.19048169255256653,0.19710737466812134,0.21827232837677002,0.2507138252258301,0.24138560891151428,0.25554242730140686,0.14560863375663757
union,0.1396910548210144,0.11457715183496475,0.10697764903306961,0.3571677803993225,0.9999999403953552,0.19371826946735382,0.16471676528453827,0.15769828855991364,0.2677162289619446,0.2642118036746979,0.23030449450016022,0.30693942308425903,0.07797172665596008
member,0.09932345896959305,0.05921902135014534,0.15050765872001648,0.24138560891151428,0.23030449450016022,0.17515966296195984,0.17082428932189941,0.1643621176481247,0.19865256547927856,0.2701796889305115,0.9999998807907104,0.18290899693965912,0.06826172769069672
states,0.21526020765304565,0.25396740436553955,0.18093830347061157,0.25554242730140686,0.30693942308425903,0.2508668601512909,0.20162390172481537,0.2692825198173523,0.27461767196655273,0.30884552001953125,0.18290899693965912,1.0,0.16272737085819244
.,0.3567904531955719,0.2277858853340149,0.3022993505001068,0.2095622420310974,0.23708370327949524,0.24482665956020355,0.41614407300949097,0.49257001280784607,0.2222834676504135,0.5352458953857422,0.19907453656196594,0.33941102027893066,0.4130953550338745
