,when,did,the,series,of,strikes,happen,?
its,0.34032323956489563,0.19922670722007751,0.559237003326416,0.16496503353118896,0.48690423369407654,0.23078572750091553,0.16995081305503845,0.15103481709957123
own,0.3067531883716583,0.34475913643836975,0.334675133228302,0.2108304500579834,0.3269667625427246,0.1274918168783188,0.16790108382701874,0.1937696635723114
-,0.23405122756958008,0.15435752272605896,0.3207225501537323,0.19642922282218933,0.2919245660305023,0.15248775482177734,0.07552578300237656,0.3336010277271271
a,0.44397395849227905,0.2552328109741211,0.5829201340675354,0.23966510593891144,0.5052502155303955,0.2634289264678955,0.27358970046043396,0.23916715383529663
series,0.2194245308637619,0.15581852197647095,0.31376904249191284,1.0000001192092896,0.22268271446228027,0.187514066696167,0.2070065140724182,0.1709602326154709
of,0.3757161796092987,0.2513895630836487,0.733189046382904,0.22268271446228027,1.0,0.22509318590164185,0.23650258779525757,0.1826142966747284
strikes,0.2511935234069824,0.14302009344100952,0.24908365309238434,0.187514066696167,0.22509318590164185,0.9999999403953552,0.28921979665756226,0.14208127558231354
by,0.4376842677593231,0.18574509024620056,0.4408751428127289,0.267352432012558,0.3646814823150635,0.17802397906780243,0.1462005227804184,0.17966607213020325
coal,0.17124615609645844,0.12918034195899963,0.23263108730316162,0.11964316666126251,0.2543368637561798,0.21725642681121826,0.15641923248767853,0.10339318215847015
miners,0.22123506665229797,0.17311429977416992,0.25137653946876526,0.12076154351234436,0.22123932838439941,0.29572245478630066,0.1879447102546692,0.13432356715202332
and,0.4716290831565857,0.34479495882987976,0.5171257257461548,0.26972857117652893,0.5116966962814331,0.24765168130397797,0.23779208958148956,0.20544172823429108
railroad,0.22021982073783875,0.16184444725513458,0.2709158957004547,0.20693476498126984,0.1954421103000641,0.22539278864860535,0.10866235941648483,0.0920378789305687
workers,0.17852024734020233,0.2548527121543884,0.23066683113574982,0.07012400776147842,0.20827822387218475,0.28910118341445923,0.15984025597572327,0.1706571877002716
over,0.36642953753471375,0.2535076439380646,0.39856547117233276,0.22435149550437927,0.36136594414711,0.23868273198604584,0.2413114309310913,0.25742942094802856
the,0.5091903209686279,0.34736719727516174,1.0,0.31376904249191284,0.733189046382904,0.24908365309238434,0.2880464494228363,0.22068053483963013
winter,0.2397780418395996,0.1873176246881485,0.30035296082496643,0.1669970005750656,0.23947669565677643,0.10507851094007492,0.22666765749454498,0.1591269075870514
of,0.3757161796092987,0.2513895630836487,0.733189046382904,0.22268271446228027,1.0,0.22509318590164185,0.23650258779525757,0.1826142966747284
1973–74,0.1242913082242012,0.027540965005755424,0.2577359974384308,-0.09360657632350922,0.21849390864372253,0.13226883113384247,0.12511444091796875,0.03444601222872734
became,0.32363733649253845,0.3632316589355469,0.36325156688690186,0.18320977687835693,0.3638904094696045,0.13808347284793854,0.09115634113550186,0.11374033987522125
a,0.44397395849227905,0.2552328109741211,0.5829201340675354,0.23966510593891144,0.5052502155303955,0.2634289264678955,0.27358970046043396,0.23916715383529663
major,0.17186790704727173,0.20997437834739685,0.31775903701782227,0.2210758626461029,0.2641255557537079,0.1957123726606369,0.21895915269851685,0.19788557291030884
factor,0.26176920533180237,0.13403144478797913,0.2859867215156555,0.27536624670028687,0.2744791805744171,0.18444916605949402,0.2758151590824127,0.2154984176158905
in,0.4431333839893341,0.2593238651752472,0.6662389636039734,0.2914260923862457,0.5696388483047485,0.2577652037143707,0.2613373398780823,0.20430970191955566
the,0.5091903209686279,0.34736719727516174,1.0,0.31376904249191284,0.733189046382904,0.24908365309238434,0.2880464494228363,0.22068053483963013
change,0.33026453852653503,0.2806394100189209,0.3641999065876007,0.12339159846305847,0.2569013833999634,0.15079496800899506,0.3653429448604584,0.24115969240665436
of,0.3757161796092987,0.2513895630836487,0.733189046382904,0.22268271446228027,1.0,0.22509318590164185,0.23650258779525757,0.1826142966747284
government,0.23078718781471252,0.2792121469974518,0.31798112392425537,0.13696643710136414,0.3475167155265808,0.2062726616859436,0.16431894898414612,0.18851417303085327
.,0.475719153881073,0.35288307070732117,0.5934505462646484,0.3121925890445709,0.5352458953857422,0.20774725079536438,0.2506430745124817,0.4130953550338745
