,when,was,the,outbreak,of,world,war,i,?
(,0.2459595799446106,0.2980341613292694,0.33289089798927307,0.12431314587593079,0.35032153129577637,0.22099611163139343,0.17743611335754395,0.3179941475391388,0.40561532974243164
as,0.4437963366508484,0.3677520453929901,0.48381632566452026,0.20172831416130066,0.3886612355709076,0.22848254442214966,0.24018222093582153,0.28558287024497986,0.27043893933296204
the,0.5091903209686279,0.48711544275283813,1.0,0.28401845693588257,0.733189046382904,0.33604270219802856,0.366199791431427,0.26687872409820557,0.22068053483963013
protectorate,0.19512973725795746,0.23400886356830597,0.2715727984905243,0.25837889313697815,0.2972502112388611,0.23991070687770844,0.33400958776474,0.13828998804092407,0.09938298910856247
was,0.37326499819755554,1.0000001192092896,0.48711544275283813,0.27254146337509155,0.4069072902202606,0.3097524344921112,0.3560331463813782,0.23566235601902008,0.18412111699581146
generally,0.38531962037086487,0.25163960456848145,0.41466525197029114,0.11355485767126083,0.3127037584781647,0.2204953134059906,0.19633358716964722,0.25100961327552795,0.23411904275417328
known,0.1836930811405182,0.35203275084495544,0.3624623417854309,0.1957712024450302,0.35814476013183594,0.24694333970546722,0.1372869461774826,0.1800290048122406,0.18314571678638458
),0.2538422644138336,0.3267642855644226,0.3456730246543884,0.13982689380645752,0.3680361211299896,0.22386978566646576,0.183685764670372,0.3128665089607239,0.42300865054130554
and,0.4716290831565857,0.3740963041782379,0.5171257257461548,0.190837100148201,0.5116966962814331,0.3246132433414459,0.29695844650268555,0.31928038597106934,0.20544172823429108
german,0.16090898215770721,0.26016926765441895,0.256483793258667,0.10635745525360107,0.2122138887643814,0.2502993047237396,0.27889665961265564,0.17131662368774414,0.13978645205497742
east,0.23069076240062714,0.2747166156768799,0.3383176326751709,0.2256900668144226,0.314786434173584,0.21572157740592957,0.22799614071846008,0.13893628120422363,0.10070597380399704
africa,0.18735390901565552,0.1945687234401703,0.2903064787387848,0.2878889739513397,0.2694264054298401,0.35418665409088135,0.2244902402162552,0.1107083112001419,0.12926554679870605
agreed,0.26048845052719116,0.2848299443721771,0.24722334742546082,0.12193456292152405,0.24395716190338135,0.22575590014457703,0.23764154314994812,0.2867982089519501,0.21258382499217987
a,0.44397395849227905,0.4508470594882965,0.5829201340675354,0.23416811227798462,0.5052502155303955,0.22239887714385986,0.2368277609348297,0.3155658543109894,0.23916715383529663
truce,0.2834995687007904,0.2189507633447647,0.2618107199668884,0.2116384655237198,0.25842639803886414,0.14001892507076263,0.3786732256412506,0.24661724269390106,0.1442442387342453
in,0.4431333839893341,0.45514053106307983,0.6662389636039734,0.27757999300956726,0.5696388483047485,0.3038199245929718,0.29904094338417053,0.22907796502113342,0.20430970191955566
an,0.33026179671287537,0.3694365322589874,0.4207492768764496,0.17751002311706543,0.32280945777893066,0.15716314315795898,0.15861496329307556,0.20297521352767944,0.19793890416622162
attempt,0.2626323103904724,0.2327374517917633,0.2614527940750122,0.2079072743654251,0.21525268256664276,0.13513581454753876,0.22493800520896912,0.20031750202178955,0.16559520363807678
to,0.5423505902290344,0.3636345863342285,0.535392165184021,0.13339529931545258,0.41548454761505127,0.26213452219963074,0.2610234022140503,0.3140375316143036,0.29463258385658264
keep,0.27831488847732544,0.1940363496541977,0.22379513084888458,0.11196203529834747,0.16512422263622284,0.1915665864944458,0.1644016057252884,0.28460875153541565,0.2537146508693695
the,0.5091903209686279,0.48711544275283813,1.0,0.28401845693588257,0.733189046382904,0.33604270219802856,0.366199791431427,0.26687872409820557,0.22068053483963013
young,0.3470209538936615,0.2406257688999176,0.2729646563529968,0.15531718730926514,0.28555598855018616,0.22992810606956482,0.19453327357769012,0.22689490020275116,0.14931946992874146
colonies,0.25325432419776917,0.21739500761032104,0.30451729893684387,0.299909770488739,0.2890703082084656,0.2281995713710785,0.35548219084739685,0.11657103151082993,0.07886616140604019
out,0.45263928174972534,0.28168347477912903,0.39404502511024475,0.2577342987060547,0.34176841378211975,0.2319137006998062,0.18922953307628632,0.3032578229904175,0.22020699083805084
of,0.3757161796092987,0.4069072902202606,0.733189046382904,0.22559921443462372,1.0,0.2828933000564575,0.31680163741111755,0.25849398970603943,0.1826142966747284
direct,0.24394018948078156,0.22959941625595093,0.3262479901313782,0.15077781677246094,0.2533726394176483,0.10727237910032272,0.1478690505027771,0.22823558747768402,0.18476411700248718
hostilities,0.2555999457836151,0.23783548176288605,0.2873523533344269,0.37449556589126587,0.23821476101875305,0.24336493015289307,0.4487212896347046,0.22313126921653748,0.14715032279491425
.,0.475719153881073,0.40146201848983765,0.5934505462646484,0.23181170225143433,0.5352458953857422,0.3177160322666168,0.3000848889350891,0.33645379543304443,0.4130953550338745
