,what,does,being,an,msp,share,with,the,house,of,commons,?
qualifications,0.23890161514282227,0.29431119561195374,0.295563280582428,0.18381811678409576,0.24951232969760895,0.17433522641658783,0.2348049283027649,0.2735421359539032,0.11288634687662125,0.2262728065252304,0.2222377508878708,0.21778790652751923
apply,0.3400125503540039,0.39136871695518494,0.2865334153175354,0.21987341344356537,0.21765610575675964,0.22553066909313202,0.2673570215702057,0.23137710988521576,0.12154257297515869,0.23030845820903778,0.27238765358924866,0.3161788284778595
to,0.455847829580307,0.4391997456550598,0.4514104127883911,0.3138085603713989,0.22173245251178741,0.27366065979003906,0.4239959120750427,0.535392165184021,0.23688754439353943,0.41548454761505127,0.2583205997943878,0.29463258385658264
being,0.3760843276977539,0.25347548723220825,1.0,0.2743402123451233,0.20990994572639465,0.17491847276687622,0.36860430240631104,0.419739305973053,0.2240375131368637,0.34885138273239136,0.22012902796268463,0.26743772625923157
an,0.2821882665157318,0.29477936029434204,0.2743402123451233,1.0,0.253377765417099,0.13699986040592194,0.2730048894882202,0.4207492768764496,0.16477175056934357,0.32280945777893066,0.14073984324932098,0.19793890416622162
msp,0.1763889491558075,0.20480211079120636,0.20990994572639465,0.253377765417099,0.9999998807907104,0.19464029371738434,0.17136907577514648,0.23818017542362213,0.21637573838233948,0.2572315037250519,0.40782585740089417,0.18440690636634827
.,0.3567904531955719,0.3022993505001068,0.35574623942375183,0.3581749200820923,0.26093077659606934,0.24849677085876465,0.4446153938770294,0.5934505462646484,0.2607949376106262,0.5352458953857422,0.23120294511318207,0.4130953550338745
,what,does,being,an,msp,share,with,the,house,of,commons,?
such,0.23989605903625488,0.2787191867828369,0.289646178483963,0.2025681436061859,0.08822601288557053,0.21641872823238373,0.3346101939678192,0.3575236201286316,0.09627067297697067,0.3209529519081116,0.13701045513153076,0.17851735651493073
qualifications,0.23890161514282227,0.29431119561195374,0.295563280582428,0.18381811678409576,0.24951232969760895,0.17433522641658783,0.2348049283027649,0.2735421359539032,0.11288634687662125,0.2262728065252304,0.2222377508878708,0.21778790652751923
were,0.22298263013362885,0.046230707317590714,0.4775565266609192,0.08893381804227829,0.061465825885534286,0.24851489067077637,0.3179011940956116,0.3906462490558624,0.21239183843135834,0.34038281440734863,0.11384963989257812,0.17890112102031708
introduced,0.09417270123958588,0.13910196721553802,0.23709622025489807,0.13903290033340454,0.16021211445331573,0.14413028955459595,0.26105520129203796,0.242969810962677,0.11041704565286636,0.23328952491283417,0.06353743374347687,0.16386865079402924
under,0.20154598355293274,0.1601116806268692,0.2311614751815796,0.16416478157043457,0.14317913353443146,0.11194905638694763,0.2667143940925598,0.3348022699356079,0.15245038270950317,0.32766106724739075,0.24356190860271454,0.18233340978622437
the,0.42745697498321533,0.35928019881248474,0.419739305973053,0.4207492768764496,0.23818017542362213,0.249948650598526,0.4223487675189972,1.0,0.2847244441509247,0.733189046382904,0.2904264032840729,0.22068053483963013
house,0.200801283121109,0.17214885354042053,0.2240375131368637,0.16477175056934357,0.21637573838233948,0.22417010366916656,0.16397541761398315,0.2847244441509247,0.9999998807907104,0.285114049911499,0.4771188497543335,0.13736455142498016
of,0.33290785551071167,0.3119818866252899,0.34885138273239136,0.32280945777893066,0.2572315037250519,0.2850857973098755,0.41827285289764404,0.733189046382904,0.285114049911499,1.0,0.2790703773498535,0.1826142966747284
commons,0.25517043471336365,0.2573713958263397,0.22012902796268463,0.14073984324932098,0.40782585740089417,0.2691996693611145,0.11674867570400238,0.2904264032840729,0.4771188497543335,0.2790703773498535,1.0,0.27964192628860474
disqualification,0.2377355545759201,0.24622757732868195,0.3336159586906433,0.18754148483276367,0.19498316943645477,0.07989061623811722,0.23363807797431946,0.27125874161720276,0.1270509660243988,0.16279563307762146,0.21545463800430298,0.24258466064929962
act,0.2622668445110321,0.21016603708267212,0.24027076363563538,0.20058928430080414,0.2030051201581955,0.12985683977603912,0.18591532111167908,0.28682878613471985,0.14410120248794556,0.2802577316761017,0.2037554383277893,0.1482519507408142
1975,0.24193862080574036,0.17676663398742676,0.2835172414779663,0.16651199758052826,0.039728354662656784,0.25374308228492737,0.3022579252719879,0.3418796956539154,0.25085943937301636,0.30364495515823364,0.18780693411827087,0.19593262672424316
and,0.31309178471565247,0.3461615741252899,0.4286794066429138,0.2838519215583801,0.2252260148525238,0.28833726048469543,0.5477725267410278,0.5171257257461548,0.2552875876426697,0.5116966962814331,0.20565290749073029,0.20544172823429108
the,0.42745697498321533,0.35928019881248474,0.419739305973053,0.4207492768764496,0.23818017542362213,0.249948650598526,0.4223487675189972,1.0,0.2847244441509247,0.733189046382904,0.2904264032840729,0.22068053483963013
british,0.19255435466766357,0.10894544422626495,0.2751213014125824,0.21499769389629364,0.2576274275779724,0.13476523756980896,0.1637800633907318,0.28973397612571716,0.21850289404392242,0.23701532185077667,0.29043975472450256,0.09711728990077972
nationality,0.2307918220758438,0.11522568017244339,0.25092971324920654,0.13654714822769165,0.19171997904777527,0.18156474828720093,0.13285885751247406,0.21899528801441193,0.10627441108226776,0.16924145817756653,0.2042868584394455,0.2473464161157608
act,0.2622668445110321,0.21016603708267212,0.24027076363563538,0.20058928430080414,0.2030051201581955,0.12985683977603912,0.18591532111167908,0.28682878613471985,0.14410120248794556,0.2802577316761017,0.2037554383277893,0.1482519507408142
1981,-0.08909204602241516,-0.11356483399868011,-0.10970338433980942,-0.007597080897539854,0.1829679012298584,0.029408428817987442,-0.023909708485007286,-0.010583994910120964,0.10123979300260544,0.01745067909359932,0.0425163134932518,0.07968433201313019
.,0.3567904531955719,0.3022993505001068,0.35574623942375183,0.3581749200820923,0.26093077659606934,0.24849677085876465,0.4446153938770294,0.5934505462646484,0.2607949376106262,0.5352458953857422,0.23120294511318207,0.4130953550338745
