,what,type,of,turing,machine,is,capable,of,multiple,actions,and,extends,into,a,variety,of,computational,paths,?
deterministic,0.41523241996765137,0.22269101440906525,0.3430701494216919,0.4115058183670044,0.27763426303863525,0.33447402715682983,0.3976413905620575,0.3430701494216919,0.2770169973373413,0.3200983703136444,0.2734103202819824,0.3325141966342926,0.20750413835048676,0.35494157671928406,0.264616459608078,0.3430701494216919,0.5872304439544678,0.2554185390472412,0.26914435625076294
turing,0.2806522250175476,0.044547878205776215,0.2670239806175232,1.0000001192092896,0.4048772156238556,0.18364353477954865,0.21797388792037964,0.2670239806175232,0.2789539694786072,0.29611268639564514,0.22459711134433746,0.08337412029504776,0.17001140117645264,0.25234705209732056,0.22021251916885376,0.2670239806175232,0.500740647315979,0.19174741208553314,0.1460462063550949
machine,0.23075932264328003,0.21776969730854034,0.15468473732471466,0.4048772156238556,1.0,0.18938691914081573,0.34241783618927,0.15468473732471466,0.23844586312770844,0.2045169323682785,0.20538194477558136,0.0792471393942833,0.2012409269809723,0.24983544647693634,0.1855197250843048,0.15468473732471466,0.3237122893333435,0.13829120993614197,0.17587624490261078
with,0.2464839518070221,0.1964726597070694,0.41827285289764404,0.15793664753437042,0.1688918024301529,0.3250955045223236,0.2248685210943222,0.41827285289764404,0.23303250968456268,0.20191587507724762,0.5477725267410278,0.1725171059370041,0.2912435233592987,0.3783375024795532,0.19696800410747528,0.41827285289764404,0.17668114602565765,0.23071801662445068,0.2433311939239502
an,0.2821882665157318,0.21485474705696106,0.32280945777893066,0.1837916374206543,0.18184466660022736,0.4654068350791931,0.20929169654846191,0.32280945777893066,0.1860007792711258,0.21414895355701447,0.2838519215583801,0.21795764565467834,0.2105669528245926,0.44552403688430786,0.12701062858104706,0.32280945777893066,0.19987577199935913,0.12479657679796219,0.19793890416622162
added,0.23789235949516296,0.15419761836528778,0.2879071831703186,0.1673414260149002,0.14904280006885529,0.21163742244243622,0.120101697742939,0.2879071831703186,0.14351463317871094,0.22083216905593872,0.29847657680511475,0.2210540473461151,0.2623821794986725,0.2839798927307129,0.21091236174106598,0.2879071831703186,0.16615039110183716,0.09821724146604538,0.2865637540817261
feature,0.23320603370666504,0.22898755967617035,0.2117752879858017,0.07421422749757767,0.11881570518016815,0.2553035318851471,0.24210110306739807,0.2117752879858017,0.1632164865732193,0.19331049919128418,0.29179611802101135,0.21363718807697296,0.23255358636379242,0.2832804024219513,0.26549890637397766,0.2117752879858017,0.20608507096767426,0.16234330832958221,0.2893312871456146
of,0.33290785551071167,0.18112817406654358,1.0,0.2670239806175232,0.15468473732471466,0.4854315221309662,0.21464630961418152,1.0,0.20745883882045746,0.27202147245407104,0.5116966962814331,0.3704025447368622,0.32255905866622925,0.5052502155303955,0.21034783124923706,1.0,0.2832651138305664,0.18467147648334503,0.1826142966747284
non-determinism,0.4117635190486908,0.2304273247718811,0.31520259380340576,0.34414437413215637,0.24301251769065857,0.28693297505378723,0.2767791450023651,0.31520259380340576,0.2138494849205017,0.36293455958366394,0.2388417273759842,0.2852994203567505,0.15180154144763947,0.31750836968421936,0.18391524255275726,0.31520259380340576,0.5373677015304565,0.2694922983646393,0.32521405816078186
",",0.3087472915649414,0.1804078221321106,0.4946078956127167,0.2807261645793915,0.21841607987880707,0.4691906273365021,0.17765167355537415,0.4946078956127167,0.2533658742904663,0.24007150530815125,0.6633074283599854,0.2592551112174988,0.2826121151447296,0.427140474319458,0.2583879828453064,0.4946078956127167,0.28742313385009766,0.2247503697872162,0.31091248989105225
which,0.5261979103088379,0.31462597846984863,0.5011631846427917,0.2775655686855316,0.27888262271881104,0.4457404911518097,0.29143938422203064,0.5011631846427917,0.29593557119369507,0.3084428310394287,0.506277859210968,0.3442842960357666,0.4405161738395691,0.56894451379776,0.3791255056858063,0.5011631846427917,0.3098025321960449,0.30291613936424255,0.25814583897590637
allows,0.1957017332315445,0.24821420013904572,0.2623075544834137,0.23918743431568146,0.260278582572937,0.2976554334163666,0.3409518897533417,0.2623075544834137,0.25878995656967163,0.23698411881923676,0.2950422763824463,0.335067480802536,0.27517038583755493,0.31463325023651123,0.1729625016450882,0.2623075544834137,0.35370686650276184,0.22585977613925934,0.16094227135181427
a,0.3320399522781372,0.3813284635543823,0.5052502155303955,0.25234705209732056,0.24983544647693634,0.658733606338501,0.23905758559703827,0.5052502155303955,0.23904410004615784,0.22348695993423462,0.3739250600337982,0.31541815400123596,0.3461161255836487,1.0,0.24877072870731354,0.5052502155303955,0.29858994483947754,0.20598562061786652,0.23916715383529663
turing,0.2806522250175476,0.044547878205776215,0.2670239806175232,1.0000001192092896,0.4048772156238556,0.18364353477954865,0.21797388792037964,0.2670239806175232,0.2789539694786072,0.29611268639564514,0.22459711134433746,0.08337412029504776,0.17001140117645264,0.25234705209732056,0.22021251916885376,0.2670239806175232,0.500740647315979,0.19174741208553314,0.1460462063550949
machine,0.23075932264328003,0.21776969730854034,0.15468473732471466,0.4048772156238556,1.0,0.18938691914081573,0.34241783618927,0.15468473732471466,0.23844586312770844,0.2045169323682785,0.20538194477558136,0.0792471393942833,0.2012409269809723,0.24983544647693634,0.1855197250843048,0.15468473732471466,0.3237122893333435,0.13829120993614197,0.17587624490261078
to,0.455847829580307,0.19930607080459595,0.41548454761505127,0.22095461189746857,0.1634126603603363,0.42745086550712585,0.21250563859939575,0.41548454761505127,0.2663446366786957,0.27775833010673523,0.48971283435821533,0.274497926235199,0.38810545206069946,0.45503583550453186,0.2320527285337448,0.41548454761505127,0.246933713555336,0.283328652381897,0.29463258385658264
have,0.39808809757232666,0.242574080824852,0.3802283704280853,0.15623171627521515,0.13901613652706146,0.3613572418689728,0.3106813430786133,0.3802283704280853,0.30390921235084534,0.3108775317668915,0.4711785912513733,0.21291370689868927,0.3038242757320404,0.338716596364975,0.3256779909133911,0.3802283704280853,0.2542218863964081,0.2470083087682724,0.32991164922714233
multiple,0.19839626550674438,0.21641670167446136,0.20745883882045746,0.2789539694786072,0.23844586312770844,0.12635007500648499,0.2317705750465393,0.20745883882045746,0.9999998807907104,0.20423150062561035,0.24590979516506195,0.170248344540596,0.13661646842956543,0.23904410004615784,0.31875669956207275,0.20745883882045746,0.2897588908672333,0.20115786790847778,0.1591399908065796
possible,0.3281886577606201,0.2157941311597824,0.3314395844936371,0.2594529390335083,0.2069261223077774,0.2872174084186554,0.2989700734615326,0.3314395844936371,0.36909353733062744,0.2183399200439453,0.29339438676834106,0.23892009258270264,0.2190636545419693,0.3421713411808014,0.2670990824699402,0.3314395844936371,0.39901992678642273,0.29065588116645813,0.3059970438480377
future,0.29700374603271484,0.04995714873075485,0.25455814599990845,0.19704203307628632,0.12522825598716736,0.1601216346025467,0.23794786632061005,0.25455814599990845,0.17168642580509186,0.26134711503982544,0.28619977831840515,0.16303092241287231,0.11842072755098343,0.16284751892089844,0.1600792557001114,0.25455814599990845,0.2311863899230957,0.15518127381801605,0.3367180824279785
actions,0.39243605732917786,0.15285547077655792,0.27202147245407104,0.29611268639564514,0.2045169323682785,0.17133161425590515,0.27351248264312744,0.27202147245407104,0.20423150062561035,1.0000001192092896,0.22014471888542175,0.19817601144313812,0.16681726276874542,0.22348695993423462,0.1784033626317978,0.27202147245407104,0.2396538108587265,0.2101643681526184,0.2841099798679352
from,0.2737620174884796,0.1559610366821289,0.4249346852302551,0.09779699891805649,0.1707189381122589,0.27355384826660156,0.1404762864112854,0.4249346852302551,0.21452835202217102,0.16170522570610046,0.3601827025413513,0.25214460492134094,0.3410196900367737,0.322764128446579,0.23080867528915405,0.4249346852302551,0.14103727042675018,0.14456114172935486,0.19969791173934937
a,0.3320399522781372,0.3813284635543823,0.5052502155303955,0.25234705209732056,0.24983544647693634,0.658733606338501,0.23905758559703827,0.5052502155303955,0.23904410004615784,0.22348695993423462,0.3739250600337982,0.31541815400123596,0.3461161255836487,1.0,0.24877072870731354,0.5052502155303955,0.29858994483947754,0.20598562061786652,0.23916715383529663
given,0.21883496642112732,0.17595160007476807,0.39388060569763184,0.31853580474853516,0.13793088495731354,0.249215230345726,0.16589173674583435,0.39388060569763184,0.229264035820961,0.2768176198005676,0.30185943841934204,0.1710447371006012,0.18444007635116577,0.3335871398448944,0.25159788131713867,0.39388060569763184,0.26848718523979187,0.18293356895446777,0.2570464313030243
state,0.24273863434791565,0.1545526683330536,0.34253445267677307,0.23555722832679749,0.09174972772598267,0.2627358138561249,0.12537305057048798,0.34253445267677307,0.13155622780323029,0.1778804212808609,0.2653750479221344,0.19755113124847412,0.13660210371017456,0.25097307562828064,0.19169911742210388,0.34253445267677307,0.20028460025787354,0.15988026559352875,0.1160883978009224
.,0.3567904531955719,0.23195341229438782,0.5352458953857422,0.19254323840141296,0.20798662304878235,0.4569662809371948,0.17216666042804718,0.5352458953857422,0.19866929948329926,0.2696916162967682,0.588965117931366,0.21232323348522186,0.26250120997428894,0.50484299659729,0.18405137956142426,0.5352458953857422,0.24047870934009552,0.19872689247131348,0.4130953550338745
