,what,did,the,the,europeans,think,the,peoples,in,the,tropics,were,in,need,of,?
of,0.33290785551071167,0.2513895630836487,0.733189046382904,0.733189046382904,0.17975986003875732,0.2625778615474701,0.733189046382904,0.2785113751888275,0.5696388483047485,0.733189046382904,0.23250260949134827,0.34038281440734863,0.5696388483047485,0.24285943806171417,1.0,0.1826142966747284
a,0.3320399522781372,0.2552328109741211,0.5829201340675354,0.5829201340675354,0.15935876965522766,0.35850703716278076,0.5829201340675354,0.1869891732931137,0.539380669593811,0.5829201340675354,0.17724643647670746,0.17203083634376526,0.539380669593811,0.30329999327659607,0.5052502155303955,0.23916715383529663
more,0.3484537899494171,0.2803135812282562,0.39758381247520447,0.39758381247520447,0.2185167670249939,0.4309016168117523,0.39758381247520447,0.20044299960136414,0.32563260197639465,0.39758381247520447,0.24714620411396027,0.33779072761535645,0.32563260197639465,0.4469633102416992,0.30478984117507935,0.27894994616508484
evolved,0.18389853835105896,0.20691414177417755,0.28945574164390564,0.28945574164390564,0.24991676211357117,0.25994446873664856,0.28945574164390564,0.26724541187286377,0.2083703726530075,0.28945574164390564,0.28365325927734375,0.23115894198417664,0.2083703726530075,0.26119309663772583,0.2530018985271454,0.1599971204996109
social,0.22217629849910736,0.1977856606245041,0.21797899901866913,0.21797899901866913,0.1910926103591919,0.2055123895406723,0.21797899901866913,0.30280840396881104,0.23382627964019775,0.21797899901866913,0.13516338169574738,0.18136808276176453,0.23382627964019775,0.20651523768901825,0.2605111300945282,0.1615191102027893
structure,0.27351704239845276,0.1695220172405243,0.2933249771595001,0.2933249771595001,0.12309692800045013,0.19944632053375244,0.2933249771595001,0.1582098752260208,0.2992834448814392,0.2933249771595001,0.19609352946281433,0.14718832075595856,0.2992834448814392,0.3113958239555359,0.2599511742591858,0.1770772784948349
;,0.10986888408660889,0.10727239400148392,0.09152708947658539,0.09152708947658539,0.15209518373012543,0.08704597502946854,0.09152708947658539,0.14670680463314056,0.092739537358284,0.09152708947658539,0.07018744945526123,0.14040996134281158,0.092739537358284,0.008542806841433048,0.054534342139959335,0.10349778085947037
they,0.4431931674480438,0.4879390597343445,0.49925389885902405,0.49925389885902405,0.4100865125656128,0.37603816390037537,0.49925389885902405,0.3285435438156128,0.4330179989337921,0.49925389885902405,0.30505725741386414,0.5580583214759827,0.4330179989337921,0.4473401606082916,0.3426007330417633,0.2753053903579712
were,0.22298263013362885,0.4162326455116272,0.3906462490558624,0.3906462490558624,0.3747280538082123,0.26015451550483704,0.3906462490558624,0.3020060658454895,0.3815755248069763,0.3906462490558624,0.12605470418930054,1.0000001192092896,0.3815755248069763,0.2786298990249634,0.34038281440734863,0.17890112102031708
seen,0.3087027072906494,0.23731118440628052,0.3442007005214691,0.3442007005214691,0.20042163133621216,0.37138545513153076,0.3442007005214691,0.25250479578971863,0.28402701020240784,0.3442007005214691,0.22298578917980194,0.24900057911872864,0.28402701020240784,0.23261059820652008,0.28639769554138184,0.2567344307899475
as,0.31749409437179565,0.3596470057964325,0.48381632566452026,0.48381632566452026,0.19810476899147034,0.3555661737918854,0.48381632566452026,0.24019794166088104,0.3887844979763031,0.48381632566452026,0.20344844460487366,0.3025437891483307,0.3887844979763031,0.29526448249816895,0.3886612355709076,0.27043893933296204
incapable,0.355741411447525,0.207474023103714,0.221793532371521,0.221793532371521,0.14462585747241974,0.41941431164741516,0.221793532371521,0.2029372602701187,0.12878991663455963,0.221793532371521,0.15481652319431305,0.21709807217121124,0.12878991663455963,0.37576690316200256,0.2389306277036667,0.24158988893032074
of,0.33290785551071167,0.2513895630836487,0.733189046382904,0.733189046382904,0.17975986003875732,0.2625778615474701,0.733189046382904,0.2785113751888275,0.5696388483047485,0.733189046382904,0.23250260949134827,0.34038281440734863,0.5696388483047485,0.24285943806171417,1.0,0.1826142966747284
such,0.23989605903625488,0.24497397243976593,0.3575236201286316,0.3575236201286316,0.21125319600105286,0.33606821298599243,0.3575236201286316,0.23935744166374207,0.2704046070575714,0.3575236201286316,0.24969635903835297,0.2970055043697357,0.2704046070575714,0.38045671582221985,0.3209529519081116,0.17851735651493073
a,0.3320399522781372,0.2552328109741211,0.5829201340675354,0.5829201340675354,0.15935876965522766,0.35850703716278076,0.5829201340675354,0.1869891732931137,0.539380669593811,0.5829201340675354,0.17724643647670746,0.17203083634376526,0.539380669593811,0.30329999327659607,0.5052502155303955,0.23916715383529663
feat,0.1577739715576172,0.2364291548728943,0.16215835511684418,0.16215835511684418,0.09141077846288681,0.2064014971256256,0.16215835511684418,0.043045010417699814,0.11146023869514465,0.16215835511684418,0.11354231089353561,0.15089163184165955,0.11146023869514465,0.15138934552669525,0.10200296342372894,0.24722881615161896
.,0.3567904531955719,0.35288307070732117,0.5934505462646484,0.5934505462646484,0.21829816699028015,0.31119775772094727,0.5934505462646484,0.24406372010707855,0.5591574311256409,0.5934505462646484,0.2510796785354614,0.3378238379955292,0.5591574311256409,0.26852357387542725,0.5352458953857422,0.4130953550338745
