,who,recovered,the,fumble,and,ran,the,ball,in,for,a,touchdown,?
him,0.5491244792938232,0.23153316974639893,0.39213326573371887,0.29744255542755127,0.35759612917900085,0.2327951341867447,0.39213326573371887,0.23032034933567047,0.2284061461687088,0.34431272745132446,0.32137390971183777,0.27582329511642456,0.23943768441677094
",",0.3365725874900818,0.2676272988319397,0.4933079481124878,0.30810612440109253,0.6633074283599854,0.22539734840393066,0.4933079481124878,0.2170172780752182,0.5201468467712402,0.4464869201183319,0.427140474319458,0.2072077840566635,0.31091248989105225
and,0.41279885172843933,0.25687822699546814,0.5171257257461548,0.24104192852973938,1.0,0.21890036761760712,0.5171257257461548,0.19981779158115387,0.4954058527946472,0.5064792633056641,0.3739250600337982,0.21398694813251495,0.20544172823429108
malik,0.27201947569847107,0.18269935250282288,0.1981748640537262,0.223946675658226,0.23393452167510986,0.11641983687877655,0.1981748640537262,0.13856033980846405,0.15799742937088013,0.1114829033613205,0.18274646997451782,0.15634967386722565,0.10560610145330429
jackson,0.19310453534126282,0.22474229335784912,0.23021449148654938,0.2522721290588379,0.2168044149875641,0.1582585573196411,0.23021449148654938,0.17303751409053802,0.1741788238286972,0.19703340530395508,0.22431494295597076,0.21274657547473907,0.10996206849813461
recovered,0.19365158677101135,1.0,0.2614712417125702,0.35254186391830444,0.25687822699546814,0.20205825567245483,0.2614712417125702,0.12504027783870697,0.2665027976036072,0.18925832211971283,0.2461796998977661,0.32981741428375244,0.08912046253681183
it,0.2868398427963257,0.2036934196949005,0.6251175999641418,0.1261741667985916,0.40957894921302795,0.23728464543819427,0.6251175999641418,0.1934148073196411,0.5130809545516968,0.32171204686164856,0.5452592968940735,0.14086520671844482,0.25732165575027466
in,0.2792111933231354,0.2665027976036072,0.6662389636039734,0.13453851640224457,0.4954058527946472,0.2376149296760559,0.6662389636039734,0.1472199559211731,1.0,0.4322226941585541,0.539380669593811,0.14772959053516388,0.20430970191955566
the,0.3733934462070465,0.2614712417125702,1.0,0.16197896003723145,0.5171257257461548,0.28357353806495667,1.0,0.18895584344863892,0.6662389636039734,0.4739971458911896,0.5829201340675354,0.1805710643529892,0.22068053483963013
end,0.15423893928527832,0.2761828303337097,0.39658910036087036,0.24012798070907593,0.24708716571331024,0.17781710624694824,0.39658910036087036,0.20891526341438293,0.28539085388183594,0.22042374312877655,0.28924596309661865,0.31434693932533264,0.12543344497680664
zone,0.11138155311346054,0.14156457781791687,0.26423242688179016,0.13637392222881317,0.23162662982940674,0.1160459816455841,0.26423242688179016,0.16925781965255737,0.2229810357093811,0.188797265291214,0.19739283621311188,0.16126690804958344,0.1173049733042717
for,0.37110671401023865,0.18925832211971283,0.4739971458911896,0.24365292489528656,0.5064792633056641,0.28997769951820374,0.4739971458911896,0.1708642989397049,0.4322226941585541,0.9999999403953552,0.44038116931915283,0.26143357157707214,0.264628142118454
a,0.36608949303627014,0.2461796998977661,0.5829201340675354,0.17153340578079224,0.3739250600337982,0.26671481132507324,0.5829201340675354,0.23578347265720367,0.539380669593811,0.44038116931915283,1.0,0.22309942543506622,0.23916715383529663
broncos,0.1763724684715271,0.21365763247013092,0.25985947251319885,0.4964665174484253,0.20959050953388214,0.25204527378082275,0.25985947251319885,0.275786429643631,0.20316283404827118,0.2739109396934509,0.19771797955036163,0.4798973500728607,0.18377114832401276
touchdown,0.13768897950649261,0.32981741428375244,0.1805710643529892,0.62925785779953,0.21398694813251495,0.19327321648597717,0.1805710643529892,0.3576510548591614,0.14772959053516388,0.26143357157707214,0.22309942543506622,0.9999999403953552,0.12741123139858246
",",0.3365725874900818,0.2676272988319397,0.4933079481124878,0.30810612440109253,0.6633074283599854,0.22539734840393066,0.4933079481124878,0.2170172780752182,0.5201468467712402,0.4464869201183319,0.427140474319458,0.2072077840566635,0.31091248989105225
giving,0.2905098795890808,0.1748102456331253,0.3626074492931366,0.17299047112464905,0.32261931896209717,0.2058829367160797,0.3626074492931366,0.08097457885742188,0.24607835710048676,0.39347827434539795,0.35822594165802,0.1832825392484665,0.2052922248840332
the,0.3733934462070465,0.2614712417125702,1.0,0.16197896003723145,0.5171257257461548,0.28357353806495667,1.0,0.18895584344863892,0.6662389636039734,0.4739971458911896,0.5829201340675354,0.1805710643529892,0.22068053483963013
team,0.22248858213424683,0.16208243370056152,0.22564226388931274,0.31850647926330566,0.22394508123397827,0.1918543130159378,0.22564226388931274,0.2774640917778015,0.18841172754764557,0.25615394115448,0.19125498831272125,0.2903151214122772,0.11243411153554916
a,0.36608949303627014,0.2461796998977661,0.5829201340675354,0.17153340578079224,0.3739250600337982,0.26671481132507324,0.5829201340675354,0.23578347265720367,0.539380669593811,0.44038116931915283,1.0,0.22309942543506622,0.23916715383529663
10–0,0.10398180037736893,-0.012432508170604706,0.05824596807360649,-0.031180428341031075,0.0826285257935524,-0.07520858198404312,0.05824596807360649,0.015875032171607018,0.003933138679713011,0.10957422852516174,0.08109777420759201,0.0682259202003479,0.005854578223079443
lead,0.19455209374427795,0.19119884073734283,0.21995973587036133,0.2698039412498474,0.31077226996421814,0.1651577651500702,0.21995973587036133,0.1036292165517807,0.2055644989013672,0.29822173714637756,0.20661775767803192,0.21652531623840332,0.14552436769008636
.,0.3541337847709656,0.25115838646888733,0.5934505462646484,0.23846884071826935,0.588965117931366,0.2478863000869751,0.5934505462646484,0.214210644364357,0.5591574311256409,0.4726039469242096,0.50484299659729,0.17317867279052734,0.4130953550338745
