,what,network,was,launched,by,abc,in,2004,?
of,0.33290785551071167,0.21800683438777924,0.4069072902202606,0.20039688050746918,0.3646814823150635,0.14607268571853638,0.5696388483047485,-0.21980851888656616,0.1826142966747284
that,0.6297725439071655,0.2984007000923157,0.33670201897621155,0.20961794257164001,0.37496164441108704,0.17440107464790344,0.435920387506485,-0.32499074935913086,0.32716336846351624
year,0.15184831619262695,0.1478661298751831,0.3209837079048157,0.2043205201625824,0.28805047273635864,0.2373921275138855,0.3359307050704956,-0.05261049047112465,0.18315006792545319
",",0.3087472915649414,0.1932937651872635,0.45456063747406006,0.222664475440979,0.3680937886238098,0.2097204476594925,0.5201468467712402,-0.17696323990821838,0.31091248989105225
abc,0.1317344456911087,0.4295894205570221,0.21565799415111542,0.2561926543712616,0.17600902915000916,1.0000001192092896,0.1697147786617279,-0.04643192142248154,0.19065172970294952
announced,0.09249057620763779,0.2249229997396469,0.34205326437950134,0.4210190773010254,0.208782359957695,0.20444560050964355,0.2528248429298401,0.056801073253154755,0.17416009306907654
the,0.42745697498321533,0.27187061309814453,0.48711544275283813,0.2547066807746887,0.4408751428127289,0.2068762183189392,0.6662389636039734,-0.2467794269323349,0.22068053483963013
launch,0.22967466711997986,0.24389193952083588,0.22367219626903534,0.8017768263816833,0.1562509536743164,0.21600057184696198,0.19686491787433624,-0.14791926741600037,0.22009649872779846
of,0.33290785551071167,0.21800683438777924,0.4069072902202606,0.20039688050746918,0.3646814823150635,0.14607268571853638,0.5696388483047485,-0.21980851888656616,0.1826142966747284
abc1,0.1549001783132553,0.3080527186393738,0.21715706586837769,0.1514175981283188,0.20373941957950592,0.7637650966644287,0.18314452469348907,-0.058589767664670944,0.23792004585266113
",",0.3087472915649414,0.1932937651872635,0.45456063747406006,0.222664475440979,0.3680937886238098,0.2097204476594925,0.5201468467712402,-0.17696323990821838,0.31091248989105225
a,0.3320399522781372,0.17299489676952362,0.4508470594882965,0.20170536637306213,0.32094135880470276,0.21331243216991425,0.539380669593811,-0.21492190659046173,0.23916715383529663
free-to-air,0.2724332809448242,0.25129133462905884,0.26092469692230225,0.28326934576034546,0.2451677769422531,0.21768584847450256,0.2871396839618683,-0.2500174045562744,0.2213255912065506
channel,0.20295917987823486,0.4945397973060608,0.15624403953552246,0.33770740032196045,0.20094449818134308,0.4020179808139801,0.210372194647789,-0.1119985431432724,0.20176179707050323
in,0.30808621644973755,0.19496823847293854,0.45514053106307983,0.18876992166042328,0.370934396982193,0.1697147786617279,1.0,-0.20274123549461365,0.20430970191955566
the,0.42745697498321533,0.27187061309814453,0.48711544275283813,0.2547066807746887,0.4408751428127289,0.2068762183189392,0.6662389636039734,-0.2467794269323349,0.22068053483963013
united,0.20036718249320984,0.1803126037120819,0.31727492809295654,0.23732872307300568,0.23958808183670044,0.20297972857952118,0.3938477039337158,-0.06473304331302643,0.17266890406608582
kingdom,0.17826133966445923,0.1607992798089981,0.27756404876708984,0.19538696110248566,0.23067373037338257,0.13291984796524048,0.28265801072120667,-0.03642770275473595,0.12927088141441345
owned,0.12432919442653656,0.28046050667762756,0.28269392251968384,0.2970026433467865,0.321108877658844,0.2405787706375122,0.22438469529151917,-0.0722915455698967,0.1288648396730423
by,0.2455483376979828,0.214903324842453,0.4752357602119446,0.2140791118144989,1.0000001192092896,0.17600902915000916,0.370934396982193,-0.043635208159685135,0.17966607213020325
the,0.42745697498321533,0.27187061309814453,0.48711544275283813,0.2547066807746887,0.4408751428127289,0.2068762183189392,0.6662389636039734,-0.2467794269323349,0.22068053483963013
abc,0.1317344456911087,0.4295894205570221,0.21565799415111542,0.2561926543712616,0.17600902915000916,1.0000001192092896,0.1697147786617279,-0.04643192142248154,0.19065172970294952
group,0.2114069163799286,0.27598339319229126,0.1789962202310562,0.16760432720184326,0.2915726900100708,0.11665991693735123,0.2304753065109253,-0.06966374814510345,0.13827809691429138
.,0.3567904531955719,0.23909442126750946,0.40146201848983765,0.21241185069084167,0.3936232924461365,0.2567209303379059,0.5591574311256409,-0.23090453445911407,0.4130953550338745
