,what,type,of,rally,was,held,?
beer,0.15748022496700287,0.1071430966258049,0.2224036455154419,0.15394315123558044,0.21676649153232574,0.21739435195922852,0.15216413140296936
",",0.3087472915649414,0.1804078221321106,0.4946078956127167,0.19103999435901642,0.45456063747406006,0.2880980372428894,0.31091248989105225
wine,0.17754630744457245,0.15321587026119232,0.2704099118709564,0.08010448515415192,0.23071818053722382,0.18470728397369385,0.12747588753700256
and,0.31309178471565247,0.16898801922798157,0.5116966962814331,0.17180517315864563,0.3740963041782379,0.22757986187934875,0.20544172823429108
food,0.23540689051151276,0.14571574330329895,0.2602803111076355,0.06389635056257248,0.17583929002285004,0.14634312689304352,0.15376032888889313
festival,0.15385980904102325,0.13659431040287018,0.17007394134998322,0.222877636551857,0.23359684646129608,0.3763343393802643,0.17767390608787537
at,0.2838611304759979,0.15147243440151215,0.42558613419532776,0.17603710293769836,0.36707764863967896,0.3822793960571289,0.21978627145290375
bellomy,0.2570006549358368,0.1756906509399414,0.29851722717285156,0.13532568514347076,0.2431560456752777,0.15070505440235138,0.2137424647808075
field,0.1825202852487564,0.19923466444015503,0.20410659909248352,0.104032002389431,0.15975919365882874,0.133752703666687,0.11279727518558502
at,0.2838611304759979,0.15147243440151215,0.42558613419532776,0.17603710293769836,0.36707764863967896,0.3822793960571289,0.21978627145290375
santa,0.23841293156147003,0.06276990473270416,0.2417823076248169,0.005172354634851217,0.21287554502487183,0.07573947310447693,0.17321589589118958
clara,0.23403491079807281,0.07481680810451508,0.2643791139125824,0.050950974225997925,0.20408111810684204,0.078465536236763,0.11961202323436737
university,0.20256435871124268,0.1053532287478447,0.30646374821662903,0.1954604685306549,0.290752112865448,0.18579119443893433,0.11887256056070328
",",0.3087472915649414,0.1804078221321106,0.4946078956127167,0.19103999435901642,0.45456063747406006,0.2880980372428894,0.31091248989105225
and,0.31309178471565247,0.16898801922798157,0.5116966962814331,0.17180517315864563,0.3740963041782379,0.22757986187934875,0.20544172823429108
a,0.3320399522781372,0.3813284635543823,0.5052502155303955,0.1852307766675949,0.4508470594882965,0.22326228022575378,0.23916715383529663
pep,0.09342710673809052,0.16415300965309143,0.09783782809972763,0.11605674028396606,0.2087046504020691,0.09159417450428009,0.10961396992206573
rally,0.13473176956176758,0.07963691651821136,0.1540035754442215,0.9999999403953552,0.27162840962409973,0.2838389575481415,0.14344990253448486
.,0.3567904531955719,0.23195341229438782,0.5352458953857422,0.1587553471326828,0.40146201848983765,0.2628571093082428,0.4130953550338745
