,on,what,yard,line,did,carolina,begin,with,4:51,left,in,the,game,?
on,0.9999999403953552,0.34226128458976746,0.149832084774971,0.2094266265630722,0.2670976221561432,0.19547675549983978,0.2630721628665924,0.40749499201774597,0.08508143573999405,0.30747801065444946,0.46853652596473694,0.5107308030128479,0.22967135906219482,0.2714994251728058
their,0.3598666191101074,0.35142919421195984,0.15209272503852844,0.15859980881214142,0.38078752160072327,0.16664347052574158,0.33574771881103516,0.4258328378200531,0.01768309250473976,0.22544988989830017,0.34976133704185486,0.516537070274353,0.2491205334663391,0.1898253709077835
own,0.305448979139328,0.35062843561172485,0.1787244975566864,0.16709096729755402,0.34475913643836975,0.10376729816198349,0.24831850826740265,0.290842205286026,0.04899086430668831,0.20197103917598724,0.31893372535705566,0.334675133228302,0.19526849687099457,0.1937696635723114
24-yard,0.22229516506195068,0.22272932529449463,0.7630084753036499,0.21854597330093384,0.1835848093032837,0.15040680766105652,0.20579758286476135,0.1841059923171997,0.0941600650548935,0.2142075002193451,0.2533566653728485,0.3051435649394989,0.26696065068244934,0.11831290274858475
line,0.2094266265630722,0.2245367169380188,0.247397318482399,1.0000001192092896,0.14681050181388855,0.14648932218551636,0.14116701483726501,0.18698516488075256,0.06723792850971222,0.14868047833442688,0.2258777767419815,0.29789501428604126,0.2155837118625641,0.16271452605724335
with,0.40749499201774597,0.2464839518070221,0.12714087963104248,0.18698516488075256,0.25472134351730347,0.1565731316804886,0.25770750641822815,0.9999999403953552,0.09120775014162064,0.219827800989151,0.4080928862094879,0.4223487675189972,0.19394829869270325,0.2433311939239502
a,0.3848365545272827,0.3320399522781372,0.20629099011421204,0.23499317467212677,0.2552328109741211,0.1979188621044159,0.22845244407653809,0.3783375024795532,0.0634162649512291,0.19688890874385834,0.539380669593811,0.5829201340675354,0.23211604356765747,0.23916715383529663
chance,0.2316577136516571,0.3029831349849701,0.1146659329533577,0.10131625086069107,0.36266258358955383,0.13602235913276672,0.2376267910003662,0.2906399965286255,0.03394472226500511,0.1765410304069519,0.14831462502479553,0.26683303713798523,0.3145590126514435,0.274066299200058
to,0.41031414270401,0.455847829580307,0.15160483121871948,0.2615616023540497,0.4452643394470215,0.23296888172626495,0.33302420377731323,0.4239959120750427,0.03956975042819977,0.2724500000476837,0.45010748505592346,0.535392165184021,0.2540906071662903,0.29463258385658264
mount,0.24330584704875946,0.158494234085083,0.19236356019973755,0.14301277697086334,0.10838592052459717,0.19571645557880402,0.0690634548664093,0.1263875812292099,0.07420123368501663,0.12486785650253296,0.22216229140758514,0.26066282391548157,0.12106307595968246,0.10283114016056061
a,0.3848365545272827,0.3320399522781372,0.20629099011421204,0.23499317467212677,0.2552328109741211,0.1979188621044159,0.22845244407653809,0.3783375024795532,0.0634162649512291,0.19688890874385834,0.539380669593811,0.5829201340675354,0.23211604356765747,0.23916715383529663
game-winning,0.3057469427585602,0.21344314515590668,0.25592395663261414,0.25226864218711853,0.3019077777862549,0.26509422063827515,0.17622464895248413,0.3089890778064728,0.11971480399370193,0.17813313007354736,0.35514113306999207,0.40773385763168335,0.673825204372406,0.18565678596496582
drive,0.1695663183927536,0.21679377555847168,0.2124784141778946,0.23453757166862488,0.1745801717042923,0.10420341044664383,0.13472409546375275,0.1761467009782791,-0.0476163811981678,0.16058526933193207,0.16816924512386322,0.2083187699317932,0.22002966701984406,0.11447915434837341
",",0.49057599902153015,0.3087472915649414,0.10565341264009476,0.22637072205543518,0.3015086054801941,0.2566046118736267,0.27304404973983765,0.4120737314224243,0.23814080655574799,0.2448868453502655,0.5201468467712402,0.4933079481124878,0.2653886377811432,0.31091248989105225
and,0.4077630043029785,0.31309178471565247,0.20639188587665558,0.24584348499774933,0.34479495882987976,0.22423055768013,0.2599445581436157,0.5477725267410278,0.12683089077472687,0.2571277916431427,0.4954058527946472,0.5171257257461548,0.25192898511886597,0.20544172823429108
soon,0.29179972410202026,0.3005380630493164,0.1084255576133728,0.14836876094341278,0.35734426975250244,0.16963602602481842,0.37902581691741943,0.3379831612110138,0.14204171299934387,0.3496190905570984,0.2957788109779358,0.3431394100189209,0.16211117804050446,0.17460282146930695
faced,0.2033153772354126,0.1428881287574768,0.1107625886797905,0.12208284437656403,0.2337440401315689,0.18722155690193176,0.15273870527744293,0.3129521608352661,0.06154877319931984,0.1731663942337036,0.20601411163806915,0.29245710372924805,0.18780528008937836,0.12312540411949158
3rd-and-9,0.2179589718580246,0.2732994258403778,0.24371372163295746,0.1608758419752121,0.16010147333145142,0.28038108348846436,0.1130015179514885,0.17413271963596344,0.2466244250535965,0.1597587615251541,0.26557138562202454,0.2776583731174469,0.22666381299495697,0.26912328600883484
.,0.49257001280784607,0.3567904531955719,0.13538575172424316,0.25851553678512573,0.35288307070732117,0.2702518403530121,0.24827922880649567,0.4446153938770294,0.11665447056293488,0.28830423951148987,0.5591574311256409,0.5934505462646484,0.2581658959388733,0.4130953550338745
