,when,did,gou,'s,calendar,become,the,official,calendar,of,the,yuan,?
seasons,0.1706220507621765,0.18920958042144775,0.09846512228250504,0.02644028328359127,0.2266526222229004,0.16708143055438995,0.24226845800876617,0.13613343238830566,0.2266526222229004,0.20746608078479767,0.24226845800876617,0.035422880202531815,0.13766995072364807
",",0.36674630641937256,0.3015086054801941,0.264608770608902,-0.0016132977325469255,0.14375944435596466,0.29676204919815063,0.4933079481124878,0.2088543325662613,0.14375944435596466,0.4946078956127167,0.4933079481124878,0.20958951115608215,0.31091248989105225
was,0.37326499819755554,0.41399896144866943,0.14852997660636902,0.008974763564765453,0.15307849645614624,0.3147440552711487,0.48711544275283813,0.24680811166763306,0.15307849645614624,0.4069072902202606,0.48711544275283813,0.19482262432575226,0.18412111699581146
disseminated,0.1645634025335312,0.19374564290046692,0.1410672515630722,-0.06149160489439964,0.11156908422708511,0.22953270375728607,0.2325429469347,0.096963070333004,0.11156908422708511,0.25795650482177734,0.2325429469347,0.057144321501255035,0.14376996457576752
in,0.4431333839893341,0.2593238651752472,0.18540626764297485,-0.037580832839012146,0.16943912208080292,0.23238378763198853,0.6662389636039734,0.25180214643478394,0.16943912208080292,0.5696388483047485,0.6662389636039734,0.14850552380084991,0.20430970191955566
1281,0.11955474317073822,0.009775999002158642,0.04246223345398903,0.022839698940515518,0.1082596480846405,0.06769811362028122,0.11545629799365997,0.1009598895907402,0.1082596480846405,0.15285640954971313,0.11545629799365997,0.12067874521017075,0.016300585120916367
as,0.4437963366508484,0.3596470057964325,0.1981605887413025,-0.05775856226682663,0.1813722550868988,0.36734503507614136,0.48381632566452026,0.21676523983478546,0.1813722550868988,0.3886612355709076,0.48381632566452026,0.2132488638162613,0.27043893933296204
the,0.5091903209686279,0.34736719727516174,0.24288985133171082,-0.01540423184633255,0.21427585184574127,0.31731709837913513,1.0,0.3133983910083771,0.21427585184574127,0.733189046382904,1.0,0.2548272907733917,0.22068053483963013
official,0.17409171164035797,0.2160998433828354,0.09911185503005981,0.0002636060817167163,0.1948275864124298,0.15714754164218903,0.3133983910083771,1.0,0.1948275864124298,0.2864961326122284,0.3133983910083771,0.09966789931058884,0.18097688257694244
calendar,0.19854870438575745,0.1636282205581665,0.13558773696422577,0.04485815763473511,1.0,0.11103404313325882,0.21427585184574127,0.1948275864124298,1.0,0.15737932920455933,0.21427585184574127,0.252644419670105,0.16766934096813202
of,0.3757161796092987,0.2513895630836487,0.2468113750219345,-0.03817026689648628,0.15737932920455933,0.31678006052970886,0.733189046382904,0.2864961326122284,0.15737932920455933,1.0,0.733189046382904,0.22696353495121002,0.1826142966747284
the,0.5091903209686279,0.34736719727516174,0.24288985133171082,-0.01540423184633255,0.21427585184574127,0.31731709837913513,1.0,0.3133983910083771,0.21427585184574127,0.733189046382904,1.0,0.2548272907733917,0.22068053483963013
yuan,0.14659123122692108,0.1467057168483734,0.3562306761741638,0.01965653896331787,0.252644419670105,0.09187506139278412,0.2548272907733917,0.09966789931058884,0.252644419670105,0.22696353495121002,0.2548272907733917,1.0,0.12871281802654266
dynasty,0.16945278644561768,0.19201454520225525,0.23515114188194275,-0.03789631649851799,0.31165650486946106,0.08342292159795761,0.26267939805984497,0.12904107570648193,0.31165650486946106,0.285645067691803,0.26267939805984497,0.49336904287338257,0.15884074568748474
.,0.475719153881073,0.35288307070732117,0.2314547896385193,-0.003708066651597619,0.16474001109600067,0.32859939336776733,0.5934505462646484,0.2367454320192337,0.16474001109600067,0.5352458953857422,0.5934505462646484,0.17233723402023315,0.4130953550338745
