,whose,english,translation,of,the,bible,did,the,luther,bible,influence,?
william,0.19628676772117615,0.26379817724227905,0.15498830378055573,0.20272590219974518,0.21537061035633087,0.218733549118042,0.24349860846996307,0.21537061035633087,0.2877860963344574,0.218733549118042,0.1959993690252304,0.14462219178676605
tyndale,0.24997258186340332,0.35330280661582947,0.43728476762771606,0.25554177165031433,0.2978382110595703,0.5524408221244812,0.2497589886188507,0.2978382110595703,0.40029028058052063,0.5524408221244812,0.23884104192256927,0.19558009505271912
's,-0.019954677671194077,0.04063878208398819,-0.01735842600464821,-0.03817026689648628,-0.01540423184633255,0.008640618063509464,0.05069678649306297,-0.01540423184633255,-0.009990512393414974,0.008640618063509464,0.0246872678399086,-0.023395681753754616
english,0.22061194479465485,0.9999999403953552,0.3901817202568054,0.17198967933654785,0.23982001841068268,0.28196796774864197,0.18994997441768646,0.23982001841068268,0.16135354340076447,0.28196796774864197,0.19615386426448822,0.23251567780971527
bible,0.20370373129844666,0.28196796774864197,0.4584057331085205,0.25664499402046204,0.27647915482521057,1.0000001192092896,0.24923516809940338,0.27647915482521057,0.3825412392616272,1.0000001192092896,0.15584419667720795,0.22667601704597473
(,0.2345174252986908,0.3194602429866791,0.2620614171028137,0.35032153129577637,0.33289089798927307,0.11754351109266281,0.18979617953300476,0.33289089798927307,0.1677781045436859,0.11754351109266281,0.14272426068782806,0.40561532974243164
1525,0.022654656320810318,0.06611321121454239,0.024337420240044594,0.13786408305168152,0.1667099893093109,0.005931379273533821,0.19781608879566193,0.1667099893093109,0.1513497233390808,0.005931379273533821,0.0018761176615953445,0.09607826918363571
forward,0.14825357496738434,0.1185106635093689,0.17702685296535492,0.17140159010887146,0.2383665293455124,0.1562950164079666,0.11627615243196487,0.2383665293455124,0.1461072415113449,0.1562950164079666,0.12884722650051117,0.19862937927246094
),0.24064770340919495,0.32298287749290466,0.2564658224582672,0.3680361211299896,0.3456730246543884,0.13947799801826477,0.18584993481636047,0.3456730246543884,0.18587662279605865,0.13947799801826477,0.16664013266563416,0.42300865054130554
",",0.25601375102996826,0.3339248597621918,0.2429160475730896,0.4946078956127167,0.4933079481124878,0.18640878796577454,0.3015086054801941,0.4933079481124878,0.23255878686904907,0.18640878796577454,0.2585834860801697,0.31091248989105225
a,0.3225097060203552,0.21707510948181152,0.21946357190608978,0.5052502155303955,0.5829201340675354,0.15878930687904358,0.2552328109741211,0.5829201340675354,0.17967689037322998,0.15878930687904358,0.23828014731407166,0.23916715383529663
precursor,0.17633450031280518,0.06586717069149017,0.29388755559921265,0.19377188384532928,0.2595142126083374,0.17575950920581818,0.1826665848493576,0.2595142126083374,0.18874436616897583,0.17575950920581818,0.24693678319454193,0.127412810921669
of,0.37058958411216736,0.17198967933654785,0.18704865872859955,1.0,0.733189046382904,0.25664499402046204,0.2513895630836487,0.733189046382904,0.1719115972518921,0.25664499402046204,0.3608979284763336,0.1826142966747284
the,0.38253846764564514,0.23982001841068268,0.26402729749679565,0.733189046382904,1.0,0.27647915482521057,0.34736719727516174,1.0,0.1759674996137619,0.27647915482521057,0.3039984107017517,0.22068053483963013
king,0.0665782168507576,0.17063689231872559,0.19171084463596344,0.2938710153102875,0.25887003540992737,0.282569944858551,0.24472618103027344,0.25887003540992737,0.3767644166946411,0.282569944858551,0.18766431510448456,0.19130074977874756
james,0.14369472861289978,0.2716909646987915,0.19502413272857666,0.18323110044002533,0.22481533885002136,0.31950896978378296,0.20904116332530975,0.22481533885002136,0.32794076204299927,0.31950896978378296,0.11365462094545364,0.12139993160963058
bible,0.20370373129844666,0.28196796774864197,0.4584057331085205,0.25664499402046204,0.27647915482521057,1.0000001192092896,0.24923516809940338,0.27647915482521057,0.3825412392616272,1.0000001192092896,0.15584419667720795,0.22667601704597473
.,0.2718997597694397,0.2881386876106262,0.2109805941581726,0.5352458953857422,0.5934505462646484,0.22401820123195648,0.35288307070732117,0.5934505462646484,0.24907569587230682,0.22401820123195648,0.2734014391899109,0.4130953550338745
