,what,do,capitalist,firms,substitute,equipment,for,in,a,marxian,analysis,?
for,0.3017193675041199,0.29510271549224854,0.20039933919906616,0.21972301602363586,0.32374662160873413,0.2880359888076782,0.9999999403953552,0.4322226941585541,0.44038116931915283,0.10352238267660141,0.25886523723602295,0.264628142118454
labor,0.1943984031677246,0.16891427338123322,0.34555983543395996,0.25832536816596985,0.08794709295034409,0.23645642399787903,0.23246270418167114,0.1950610727071762,0.17354394495487213,0.33170923590660095,0.1860523223876953,0.19386747479438782
inputs,0.2919771075248718,0.22478222846984863,0.2038831114768982,0.2910129725933075,0.3138836920261383,0.24859404563903809,0.24109430611133575,0.11768590658903122,0.22192415595054626,0.2762663662433624,0.3591426908969879,0.22019177675247192
(,0.2411840260028839,0.24216170608997345,0.18342848122119904,0.08396552503108978,0.20202602446079254,0.12909448146820068,0.3357032239437103,0.3087427020072937,0.3206180930137634,0.13338138163089752,0.18577994406223297,0.40561532974243164
workers,0.21390831470489502,0.2525286078453064,0.3610039949417114,0.3150506317615509,0.08377166837453842,0.3307946026325226,0.2527289092540741,0.2254374474287033,0.25033822655677795,0.3277813196182251,0.18842260539531708,0.1706571877002716
),0.26259949803352356,0.24460165202617645,0.1943824589252472,0.06800664961338043,0.21400728821754456,0.12984225153923035,0.3639558255672455,0.3326910734176636,0.3640355169773102,0.15104803442955017,0.18671777844429016,0.42300865054130554
under,0.20154598355293274,0.1541033536195755,0.14510799944400787,0.13698098063468933,0.12297171354293823,0.16553375124931335,0.2930702269077301,0.2535393238067627,0.18317826092243195,0.11811881512403488,0.1391909122467041,0.18233340978622437
competitive,0.16954506933689117,0.19629330933094025,0.2279897779226303,0.4025532305240631,0.2403075098991394,0.26127853989601135,0.3373406231403351,0.2178669273853302,0.25460895895957947,0.2778988480567932,0.22088678181171417,0.09302955120801926
pressure,0.2625555694103241,0.15047042071819305,0.1013946458697319,0.19982416927814484,0.14006474614143372,0.3029033839702606,0.16119280457496643,0.16116683185100555,0.23459996283054352,0.19778481125831604,0.20907899737358093,0.142023503780365
to,0.455847829580307,0.38876664638519287,0.19257381558418274,0.24817463755607605,0.2778834402561188,0.21870006620883942,0.4451248347759247,0.45010748505592346,0.45503583550453186,0.15304918587207794,0.21860700845718384,0.29463258385658264
reduce,0.18258237838745117,0.2831265926361084,0.2652466595172882,0.30654582381248474,0.25150296092033386,0.23746158182621002,0.28123193979263306,0.22053970396518707,0.22714994847774506,0.23922988772392273,0.2056284248828888,0.1462220549583435
costs,0.21587958931922913,0.20183351635932922,0.26504969596862793,0.4247700870037079,0.2267085313796997,0.33255791664123535,0.29340842366218567,0.1732029914855957,0.21436090767383575,0.2691580355167389,0.21486090123653412,0.19150719046592712
and,0.31309178471565247,0.276123583316803,0.248786062002182,0.2894735038280487,0.21241167187690735,0.24890132248401642,0.5064792633056641,0.4954058527946472,0.3739250600337982,0.23279383778572083,0.23574496805667877,0.20544172823429108
maximize,0.2473500519990921,0.2438202202320099,0.20513008534908295,0.3801252841949463,0.21128776669502258,0.29074952006340027,0.21011653542518616,0.19969864189624786,0.25777867436408997,0.2893330752849579,0.24982520937919617,0.15763318538665771
profits,0.22846324741840363,0.21458779275417328,0.35149145126342773,0.5109280943870544,0.14759254455566406,0.3202357292175293,0.2327321320772171,0.15890081226825714,0.21061857044696808,0.3087932765483856,0.2576623558998108,0.1589900553226471
.,0.3567904531955719,0.3613996207714081,0.2288477122783661,0.1992122232913971,0.26169419288635254,0.19206763803958893,0.4726039469242096,0.5591574311256409,0.50484299659729,0.1907198131084442,0.1780904233455658,0.4130953550338745
