,what,is,something,that,is,often,torn,up,and,included,in,sedimentary,rock,?
gravel,0.11347072571516037,0.1872253566980362,0.20497331023216248,0.17901194095611572,0.1872253566980362,0.2799184024333954,0.36183708906173706,0.2250390648841858,0.25270727276802063,0.15185001492500305,0.1949419379234314,0.4205360412597656,0.27369600534439087,0.1350950449705124
from,0.2737620174884796,0.27355384826660156,0.23339436948299408,0.3477667272090912,0.27355384826660156,0.2687282860279083,0.28680911660194397,0.2719550132751465,0.3601827025413513,0.2588649094104767,0.4274188280105591,0.21205851435661316,0.22637957334518433,0.19969791173934937
an,0.2821882665157318,0.4654068350791931,0.3651053011417389,0.365763783454895,0.4654068350791931,0.18115736544132233,0.15768735110759735,0.2649265229701996,0.2838519215583801,0.19380910694599152,0.2605783939361572,0.1641290783882141,0.1764230579137802,0.19793890416622162
older,0.19250206649303436,0.19513072073459625,0.1577116847038269,0.30689194798469543,0.19513072073459625,0.2888726592063904,0.1627185195684433,0.2100691795349121,0.3224782347679138,0.2225526124238968,0.21181264519691467,0.2613281011581421,0.21089515089988708,0.1524270623922348
formation,0.16291823983192444,0.25176525115966797,0.19088119268417358,0.27378779649734497,0.25176525115966797,0.18749527633190155,0.13156181573867798,0.18462733924388885,0.22940734028816223,0.09784776717424393,0.27297577261924744,0.4871309995651245,0.35104572772979736,0.09831923991441727
to,0.455847829580307,0.42745086550712585,0.41753658652305603,0.5436353087425232,0.42745086550712585,0.4351843297481537,0.18432354927062988,0.40375280380249023,0.48971283435821533,0.2322428971529007,0.45010748505592346,0.18232817947864532,0.22657817602157593,0.29463258385658264
be,0.3929833769798279,0.4819129705429077,0.46704956889152527,0.6036020517349243,0.4819129705429077,0.463177889585495,0.2573932111263275,0.27963516116142273,0.41766801476478577,0.24444355070590973,0.3481820821762085,0.27282798290252686,0.24234087765216827,0.3324260413646698
ripped,0.22090724110603333,0.11340867727994919,0.2705639898777008,0.28992441296577454,0.11340867727994919,0.3237532675266266,0.4405852258205414,0.30836373567581177,0.2726086378097534,0.25111129879951477,0.13495305180549622,0.16890528798103333,0.21724893152713776,0.20312219858169556
up,0.28591108322143555,0.2853454053401947,0.2847338318824768,0.35427621006965637,0.2853454053401947,0.2718086838722229,0.30141323804855347,1.0000001192092896,0.4032393991947174,0.1890118271112442,0.3120773434638977,0.22980748116970062,0.25145915150642395,0.1819818764925003
and,0.31309178471565247,0.3859752118587494,0.25568434596061707,0.4731321930885315,0.3859752118587494,0.42465832829475403,0.23394551873207092,0.4032393991947174,1.0,0.3643590211868286,0.4954058527946472,0.30291467905044556,0.2808155119419098,0.20544172823429108
included,0.2288810908794403,0.23363345861434937,0.10243368148803711,0.2736181616783142,0.23363345861434937,0.24283355474472046,0.22267471253871918,0.1890118271112442,0.3643590211868286,1.0,0.32433560490608215,0.16044263541698456,0.18197186291217804,0.14385655522346497
in,0.30808621644973755,0.5394441485404968,0.2275991588830948,0.435920387506485,0.5394441485404968,0.3380797803401947,0.24918708205223083,0.3120773434638977,0.4954058527946472,0.32433560490608215,1.0,0.23285479843616486,0.19663549959659576,0.20430970191955566
a,0.3320399522781372,0.658733606338501,0.4335615932941437,0.47537946701049805,0.658733606338501,0.3930865228176117,0.2563896179199219,0.32523053884506226,0.3739250600337982,0.23032639920711517,0.539380669593811,0.22127015888690948,0.25165656208992004,0.23916715383529663
newer,0.2718621790409088,0.24449662864208221,0.20871053636074066,0.31023940443992615,0.24449662864208221,0.35138773918151855,0.1755204051733017,0.22549046576023102,0.3164091408252716,0.26223379373550415,0.23164013028144836,0.14056265354156494,0.16057239472866058,0.15615598857402802
layer,0.20606225728988647,0.27099713683128357,0.25519201159477234,0.23779913783073425,0.27099713683128357,0.3032875955104828,0.20405472815036774,0.24335111677646637,0.2740338444709778,0.07576988637447357,0.17848193645477295,0.40921443700790405,0.23244650661945343,0.11266916990280151
.,0.3567904531955719,0.4569662809371948,0.28171658515930176,0.4460422694683075,0.4569662809371948,0.30710849165916443,0.2621116638183594,0.351434588432312,0.588965117931366,0.25865867733955383,0.5591574311256409,0.22532618045806885,0.24835698306560516,0.4130953550338745
