,what,is,the,goal,of,individual,civil,disobedience,?
wrong,0.5828129053115845,0.22142094373703003,0.25067222118377686,0.19577549397945404,0.16435322165489197,0.20702733099460602,0.21003279089927673,0.3196309208869934,0.4657740890979767
'',0.08143015950918198,0.0793738141655922,0.041273195296525955,0.045381300151348114,0.13035868108272552,0.025925420224666595,-0.062313709408044815,0.003403886454179883,0.018684765323996544
by,0.2455483376979828,0.3899846076965332,0.4408751428127289,0.14687420427799225,0.3646814823150635,0.25471803545951843,0.15479567646980286,0.2563513219356537,0.17966607213020325
an,0.2821882665157318,0.4654068350791931,0.4207492768764496,0.16866573691368103,0.32280945777893066,0.2758936285972595,0.15803322196006775,0.24747906625270844,0.19793890416622162
individual,0.34021541476249695,0.21069909632205963,0.3706541955471039,0.21981696784496307,0.3372420072555542,1.0000001192092896,0.21166187524795532,0.2996596693992615,0.2058374285697937
conscience,0.33264052867889404,0.21721133589744568,0.19696292281150818,0.262058287858963,0.22477462887763977,0.1898777186870575,0.2559303343296051,0.47909438610076904,0.23370258510112762
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.2145523726940155,0.4946078956127167,0.20963770151138306,0.24795588850975037,0.2878543734550476,0.31091248989105225
or,0.33867141604423523,0.41870999336242676,0.4174870550632477,0.19945909082889557,0.3792596757411957,0.44471120834350586,0.12588919699192047,0.2553665041923523,0.32389625906944275
as,0.31749409437179565,0.43216490745544434,0.48381632566452026,0.17705819010734558,0.3886612355709076,0.3071732819080353,0.18100082874298096,0.25773370265960693,0.27043893933296204
part,0.3476244807243347,0.4582172930240631,0.527681291103363,0.21107912063598633,0.452393114566803,0.21581603586673737,0.12337565422058105,0.20186325907707214,0.08557961881160736
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.1838325709104538,1.0,0.3372420072555542,0.24698495864868164,0.31932318210601807,0.1826142966747284
an,0.2821882665157318,0.4654068350791931,0.4207492768764496,0.16866573691368103,0.32280945777893066,0.2758936285972595,0.15803322196006775,0.24747906625270844,0.19793890416622162
effort,0.2810528576374054,0.17625613510608673,0.25344645977020264,0.37972941994667053,0.21940191090106964,0.26502543687820435,0.24252553284168243,0.3645721971988678,0.27546563744544983
to,0.455847829580307,0.42745086550712585,0.535392165184021,0.37094977498054504,0.41548454761505127,0.3278317153453827,0.2019355595111847,0.30665844678878784,0.29463258385658264
render,0.18214485049247742,0.21666109561920166,0.23124311864376068,0.1127619817852974,0.1649666726589203,0.2727370262145996,0.15559130907058716,0.21895316243171692,0.17435836791992188
certain,0.4561643898487091,0.28826433420181274,0.392071396112442,0.17644645273685455,0.40204232931137085,0.4639802575111389,0.15305054187774658,0.31397029757499695,0.2516106069087982
laws,0.29636016488075256,0.17527072131633759,0.2587076723575592,0.24221040308475494,0.2539142072200775,0.19241805374622345,0.2589532434940338,0.4583999514579773,0.17911791801452637
ineffective,0.31523796916007996,0.21267010271549225,0.29657772183418274,0.2850301265716553,0.2857331335544586,0.3162696361541748,0.3040435314178467,0.44622012972831726,0.2654919922351837
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.2145523726940155,0.4946078956127167,0.20963770151138306,0.24795588850975037,0.2878543734550476,0.31091248989105225
to,0.455847829580307,0.42745086550712585,0.535392165184021,0.37094977498054504,0.41548454761505127,0.3278317153453827,0.2019355595111847,0.30665844678878784,0.29463258385658264
cause,0.24883218109607697,0.218277707695961,0.2551237642765045,0.1479339897632599,0.25979894399642944,0.1855357587337494,0.17105881869792938,0.23438714444637299,0.240532785654068
their,0.35142919421195984,0.2101074606180191,0.516537070274353,0.2400694042444229,0.4329940676689148,0.434457927942276,0.18000862002372742,0.31147265434265137,0.1898253709077835
repeal,0.2908228039741516,0.14658638834953308,0.2765573561191559,0.1831921488046646,0.25051257014274597,0.3039635121822357,0.3874458372592926,0.4997501075267792,0.17696918547153473
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.2145523726940155,0.4946078956127167,0.20963770151138306,0.24795588850975037,0.2878543734550476,0.31091248989105225
or,0.33867141604423523,0.41870999336242676,0.4174870550632477,0.19945909082889557,0.3792596757411957,0.44471120834350586,0.12588919699192047,0.2553665041923523,0.32389625906944275
to,0.455847829580307,0.42745086550712585,0.535392165184021,0.37094977498054504,0.41548454761505127,0.3278317153453827,0.2019355595111847,0.30665844678878784,0.29463258385658264
exert,0.3460860252380371,0.18991988897323608,0.1836007833480835,0.18941335380077362,0.23436139523983002,0.27643343806266785,0.12465325742959976,0.26868152618408203,0.27298665046691895
pressure,0.2625555694103241,0.19239991903305054,0.28285476565361023,0.11914527416229248,0.22627468407154083,0.1436433047056198,0.08069354295730591,0.1877918839454651,0.142023503780365
to,0.455847829580307,0.42745086550712585,0.535392165184021,0.37094977498054504,0.41548454761505127,0.3278317153453827,0.2019355595111847,0.30665844678878784,0.29463258385658264
get,0.3490515947341919,0.29207053780555725,0.29667025804519653,0.24047285318374634,0.26628199219703674,0.2649853825569153,0.1898677498102188,0.21511830389499664,0.3499825894832611
one,0.376489520072937,0.4544198513031006,0.5514441132545471,0.2164333313703537,0.4999135136604309,0.3675733208656311,0.15266822278499603,0.20541732013225555,0.2673267424106598
's,0.02692362666130066,0.02396530658006668,-0.01540423184633255,0.0441170372068882,-0.03817026689648628,0.007690947037190199,-0.06354409456253052,0.027719656005501747,-0.023395681753754616
political,0.21846716105937958,0.15203817188739777,0.20477235317230225,0.1911076456308365,0.27319738268852234,0.2694909870624542,0.33490484952926636,0.3612893521785736,0.17130474746227264
wishes,0.36962834000587463,0.23820608854293823,0.24734549224376678,0.19231189787387848,0.20500239729881287,0.2783742845058441,0.18018674850463867,0.32393571734428406,0.30480876564979553
on,0.34226128458976746,0.3635730445384979,0.5107308030128479,0.2157920002937317,0.3966929316520691,0.2442283034324646,0.17390455305576324,0.2194652408361435,0.2714994251728058
some,0.4491020441055298,0.3038453459739685,0.4566698372364044,0.12235437333583832,0.4300730526447296,0.38896942138671875,0.1851816177368164,0.28606411814689636,0.2562315762042999
other,0.341873437166214,0.25895947217941284,0.44152235984802246,0.17916418612003326,0.38583824038505554,0.4389464259147644,0.17309200763702393,0.24770691990852356,0.24682199954986572
issue,0.32369524240493774,0.16218405961990356,0.22164808213710785,0.12195804715156555,0.2598971724510193,0.18618299067020416,0.12044859677553177,0.19916902482509613,0.32172858715057373
.,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.19919876754283905,0.5352458953857422,0.26377516984939575,0.2541380822658539,0.2603943943977356,0.4130953550338745
