,what,day,of,the,week,are,general,elections,held,?
the,0.42745697498321533,0.3062323033809662,0.733189046382904,1.0,0.28402599692344666,0.40399202704429626,0.28634732961654663,0.23646192252635956,0.32185450196266174,0.22068053483963013
first,0.28086137771606445,0.28378555178642273,0.3536086082458496,0.49448907375335693,0.24834974110126495,0.20306691527366638,0.23021191358566284,0.2656244933605194,0.2648550271987915,0.18701928853988647
thursday,0.1903308480978012,0.3781280815601349,0.08406465500593185,0.2160235196352005,0.4235855042934418,0.1427752524614334,0.0782262310385704,0.27748560905456543,0.3023136854171753,0.2132832556962967
in,0.30808621644973755,0.2671984136104584,0.5696388483047485,0.6662389636039734,0.2674444317817688,0.3841303884983063,0.259066641330719,0.2604275643825531,0.3127288818359375,0.20430970191955566
may,0.25739946961402893,0.21664288640022278,0.26447007060050964,0.2694292366504669,0.24928276240825653,0.3162533640861511,0.22961640357971191,0.22840633988380432,0.16321872174739838,0.2768254578113556
every,0.30284011363983154,0.38384753465652466,0.3414052724838257,0.4023689329624176,0.3678114414215088,0.3086106479167938,0.1451876312494278,0.2575068473815918,0.36404818296432495,0.24066033959388733
four,0.18057085573673248,0.2321026623249054,0.36293646693229675,0.40344667434692383,0.20511072874069214,0.3568944036960602,0.16116668283939362,0.1744595170021057,0.24638524651527405,0.14532537758350372
years,0.1981470286846161,0.27979952096939087,0.2904134690761566,0.2912273406982422,0.3407997488975525,0.17491404712200165,0.17239786684513092,0.2703917622566223,0.21447817981243134,0.1914375126361847
(,0.2411840260028839,0.22952881455421448,0.35032153129577637,0.33289089798927307,0.21499474346637726,0.23263892531394958,0.23743551969528198,0.1655852049589157,0.18327336013317108,0.40561532974243164
1999,0.09112130105495453,0.06269194930791855,0.06211002916097641,0.06755080074071884,0.041587989777326584,-0.1512039303779602,0.20054306089878082,0.20175917446613312,0.13943584263324738,0.05416720360517502
",",0.3087472915649414,0.30821847915649414,0.4946078956127167,0.4933079481124878,0.3187089264392853,0.4062570035457611,0.3022127151489258,0.2606843113899231,0.2880980372428894,0.31091248989105225
2003,-0.17906495928764343,-0.1068512350320816,-0.16871118545532227,-0.14761915802955627,-0.04675545543432236,-0.09746265411376953,-0.14050264656543732,-0.1589035838842392,-0.18755774199962616,-0.17560148239135742
",",0.3087472915649414,0.30821847915649414,0.4946078956127167,0.4933079481124878,0.3187089264392853,0.4062570035457611,0.3022127151489258,0.2606843113899231,0.2880980372428894,0.31091248989105225
2007,-0.15549811720848083,-0.15212088823318481,-0.21244128048419952,-0.23657195270061493,-0.1585938036441803,-0.08320420235395432,-0.17089565098285675,-0.26696276664733887,-0.2594138979911804,-0.1664225310087204
and,0.31309178471565247,0.26673999428749084,0.5116966962814331,0.5171257257461548,0.23252390325069427,0.48576638102531433,0.25860127806663513,0.21463163197040558,0.22757986187934875,0.20544172823429108
so,0.539469838142395,0.24032177031040192,0.3184450566768646,0.4296516180038452,0.2921655774116516,0.420413613319397,0.1690410077571869,0.2043931931257248,0.19573847949504852,0.43163934350013733
on,0.34226128458976746,0.3332281708717346,0.3966929316520691,0.5107308030128479,0.3680826723575592,0.268924742937088,0.18019753694534302,0.24783289432525635,0.2410694807767868,0.2714994251728058
),0.26259949803352356,0.2379259318113327,0.3680361211299896,0.3456730246543884,0.20822544395923615,0.2373749315738678,0.22449038922786713,0.15428538620471954,0.1961527168750763,0.42300865054130554
.,0.3567904531955719,0.24232520163059235,0.5352458953857422,0.5934505462646484,0.2804736793041229,0.3452940285205841,0.2929490804672241,0.27339601516723633,0.2628571093082428,0.4130953550338745
