,what,is,the,most,important,type,of,norman,art,preserved,in,churches,?
were,0.22298263013362885,0.29386836290359497,0.3906462490558624,0.3543298542499542,0.20263507962226868,0.09534358233213425,0.34038281440734863,0.1889636218547821,0.15372702479362488,0.22029632329940796,0.3815755248069763,0.28445062041282654,0.17890112102031708
common,0.19989867508411407,0.2952355444431305,0.2705984115600586,0.42714235186576843,0.38180869817733765,0.3472718596458435,0.2949881851673126,0.14029215276241302,0.01889403723180294,0.1791127771139145,0.23149342834949493,0.2441476732492447,0.20434872806072235
in,0.30808621644973755,0.5394441485404968,0.6662389636039734,0.41416558623313904,0.3796374499797821,0.20604541897773743,0.5696388483047485,0.17613162100315094,0.2282189577817917,0.2204703688621521,1.0,0.2825169265270233,0.20430970191955566
norman,0.12319435924291611,0.15238438546657562,0.23459704220294952,0.1615052968263626,0.1417335569858551,0.10488475859165192,0.15827171504497528,1.0000001192092896,0.20486220717430115,0.13289928436279297,0.17613162100315094,0.26657789945602417,0.12243545055389404
italy,0.16949890553951263,0.16406619548797607,0.2633645832538605,0.2041080892086029,0.19344133138656616,0.14209036529064178,0.2844046950340271,0.20724600553512573,0.1863543689250946,0.13080741465091705,0.3334544897079468,0.25993746519088745,0.11567100137472153
and,0.31309178471565247,0.3859752118587494,0.5171257257461548,0.4309377074241638,0.37549954652786255,0.16898801922798157,0.5116966962814331,0.21611377596855164,0.2631918787956238,0.19508928060531616,0.4954058527946472,0.27674582600593567,0.20544172823429108
drew,0.13638709485530853,0.20079194009304047,0.18736809492111206,0.18575797975063324,0.09960994869470596,0.03542052209377289,0.1782671958208084,0.21032044291496277,0.21526269614696503,0.07971136271953583,0.18420524895191193,0.05548199266195297,0.10364298522472382
heavily,0.22760839760303497,0.24793004989624023,0.2549211382865906,0.3200661838054657,0.22399023175239563,0.16023977100849152,0.15830223262310028,0.14787466824054718,0.10199905186891556,0.17642667889595032,0.20618461072444916,0.16816894710063934,0.1724066138267517
on,0.34226128458976746,0.3635730445384979,0.5107308030128479,0.28303956985473633,0.23164092004299164,0.2118636518716812,0.3966929316520691,0.1426471471786499,0.1585155427455902,0.20993784070014954,0.46853652596473694,0.171710804104805,0.2714994251728058
the,0.42745697498321533,0.5823672413825989,1.0,0.47635307908058167,0.39348116517066956,0.21819381415843964,0.733189046382904,0.23459704220294952,0.20297785103321075,0.2642197906970978,0.6662389636039734,0.2626241147518158,0.22068053483963013
greek,0.14808377623558044,0.22842112183570862,0.23564283549785614,0.20006445050239563,0.18401485681533813,0.13474015891551971,0.2256247103214264,0.18586283922195435,0.13827133178710938,0.17930050194263458,0.17752651870250702,0.1914803683757782,0.11180876195430756
heritage,0.1899084597826004,0.22056351602077484,0.25149020552635193,0.18745571374893188,0.2685130536556244,0.13788537681102753,0.2737451195716858,0.1933571845293045,0.23740486800670624,0.31854069232940674,0.2754135727882385,0.33196455240249634,0.17516329884529114
.,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.35404038429260254,0.33938494324684143,0.23195341229438782,0.5352458953857422,0.24800069630146027,0.21795564889907837,0.21653123199939728,0.5591574311256409,0.28599661588668823,0.4130953550338745
