,what,was,the,goal,of,the,system
message,0.35757336020469666,0.16742418706417084,0.2559654116630554,0.17647892236709595,0.12355463951826096,0.2559654116630554,0.17040884494781494
block,0.33229514956474304,0.1182115375995636,0.20056472718715668,0.10254856944084167,0.1477721929550171,0.20056472718715668,0.14049135148525238
switching,0.24737738072872162,0.18965338170528412,0.2702193558216095,0.14802560210227966,0.17750859260559082,0.2702193558216095,0.2895001173019409
with,0.2464839518070221,0.27411898970603943,0.4223487675189972,0.1991085708141327,0.41827285289764404,0.4223487675189972,0.14296101033687592
the,0.42745697498321533,0.48711544275283813,1.0,0.2443244755268097,0.733189046382904,1.0,0.3233085572719574
goal,0.2571476101875305,0.18331198394298553,0.2443244755268097,1.0000001192092896,0.1838325709104538,0.2443244755268097,0.14557784795761108
to,0.455847829580307,0.3636345863342285,0.535392165184021,0.37094977498054504,0.41548454761505127,0.535392165184021,0.26662686467170715
provide,0.27049049735069275,0.13897012174129486,0.26373472809791565,0.17217722535133362,0.27198103070259094,0.26373472809791565,0.24529114365577698
a,0.3320399522781372,0.4508470594882965,0.5829201340675354,0.20853768289089203,0.5052502155303955,0.5829201340675354,0.2589043080806732
fault-tolerant,0.40556225180625916,0.19508610665798187,0.32161715626716614,0.15344056487083435,0.27660495042800903,0.32161715626716614,0.24299576878547668
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.2145523726940155,0.4946078956127167,0.4933079481124878,0.18439900875091553
efficient,0.22662539780139923,0.13253547251224518,0.22032952308654785,0.23904742300510406,0.22586165368556976,0.22032952308654785,0.27801910042762756
routing,0.29352641105651855,0.14866870641708374,0.2927027940750122,0.19963760673999786,0.21372486650943756,0.2927027940750122,0.28269967436790466
method,0.25476205348968506,0.18816342949867249,0.21624743938446045,0.2596530020236969,0.22896558046340942,0.21624743938446045,0.32435140013694763
for,0.3017193675041199,0.3863949179649353,0.4739971458911896,0.2554558217525482,0.4185989499092102,0.4739971458911896,0.2630598843097687
telecommunication,0.2281339168548584,0.23480471968650818,0.27452901005744934,0.12413961440324783,0.24748386442661285,0.27452901005744934,0.33001837134361267
messages,0.31826624274253845,0.16050300002098083,0.2442925125360489,0.14409828186035156,0.12989914417266846,0.2442925125360489,0.2542336583137512
as,0.31749409437179565,0.3677520453929901,0.48381632566452026,0.17705819010734558,0.3886612355709076,0.48381632566452026,0.1973835676908493
part,0.3476244807243347,0.3407018780708313,0.527681291103363,0.21107912063598633,0.452393114566803,0.527681291103363,0.2814725935459137
of,0.33290785551071167,0.4069072902202606,0.733189046382904,0.1838325709104538,1.0,0.733189046382904,0.25597915053367615
a,0.3320399522781372,0.4508470594882965,0.5829201340675354,0.20853768289089203,0.5052502155303955,0.5829201340675354,0.2589043080806732
research,0.237140491604805,0.21417704224586487,0.24391183257102966,0.18845300376415253,0.22573977708816528,0.24391183257102966,0.2391265481710434
program,0.25047802925109863,0.1849333792924881,0.22986935079097748,0.19543969631195068,0.17376001179218292,0.22986935079097748,0.27135223150253296
at,0.2838611304759979,0.36707764863967896,0.457212895154953,0.20931877195835114,0.42558613419532776,0.457212895154953,0.1684759259223938
the,0.42745697498321533,0.48711544275283813,1.0,0.2443244755268097,0.733189046382904,1.0,0.3233085572719574
rand,0.23037707805633545,0.22434252500534058,0.16493244469165802,0.22543445229530334,0.18197889626026154,0.16493244469165802,0.1488356590270996
corporation,0.1715448498725891,0.2535845935344696,0.26837587356567383,0.06797870993614197,0.22095033526420593,0.26837587356567383,0.27621710300445557
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.2145523726940155,0.4946078956127167,0.4933079481124878,0.18439900875091553
funded,0.12889151275157928,0.264974981546402,0.21102139353752136,0.181581050157547,0.21279014647006989,0.21102139353752136,0.24476708471775055
by,0.2455483376979828,0.4752357602119446,0.4408751428127289,0.14687420427799225,0.3646814823150635,0.4408751428127289,0.23017624020576477
the,0.42745697498321533,0.48711544275283813,1.0,0.2443244755268097,0.733189046382904,1.0,0.3233085572719574
us,0.32081687450408936,0.19898231327533722,0.25727739930152893,0.17150484025478363,0.23568789660930634,0.25727739930152893,0.2142505645751953
department,0.20655807852745056,0.22511546313762665,0.32582083344459534,0.11508330702781677,0.3181971311569214,0.32582083344459534,0.2034052312374115
of,0.33290785551071167,0.4069072902202606,0.733189046382904,0.1838325709104538,1.0,0.733189046382904,0.25597915053367615
defense,0.193815678358078,0.2295428365468979,0.2604767382144928,0.2372472584247589,0.27720823884010315,0.2604767382144928,0.15304578840732574
.,0.3567904531955719,0.40146201848983765,0.5934505462646484,0.19919876754283905,0.5352458953857422,0.5934505462646484,0.2277725487947464
