,what,monastery,did,the,saint-evroul,monks,establish,in,italy,?
patronised,0.22358611226081848,0.25897714495658875,0.273841917514801,0.22887137532234192,0.4134482741355896,0.29418981075286865,0.2128770351409912,0.20276597142219543,0.22105568647384644,0.14390429854393005
by,0.2455483376979828,0.1775018274784088,0.18574509024620056,0.4408751428127289,0.31647396087646484,0.2316741645336151,0.12370724976062775,0.370934396982193,0.19219915568828583,0.17966607213020325
robert,0.1948658525943756,0.13084611296653748,0.16245460510253906,0.2257954627275467,0.22203993797302246,0.15098412334918976,0.053762003779411316,0.22155319154262543,0.16670899093151093,0.11293095350265503
guiscard,0.19880060851573944,0.3046848475933075,0.13030850887298584,0.2827313542366028,0.4484723210334778,0.3077109754085541,0.16466858983039856,0.23520630598068237,0.4292069375514984,0.14692836999893188
and,0.31309178471565247,0.19517186284065247,0.34479495882987976,0.5171257257461548,0.32280707359313965,0.24540609121322632,0.2462419867515564,0.4954058527946472,0.25207585096359253,0.20544172823429108
established,0.14869536459445953,0.1774904578924179,0.18989217281341553,0.33092597126960754,0.2374609410762787,0.14279629290103912,0.7768300175666809,0.3118882477283478,0.120309978723526,0.15917523205280304
a,0.3320399522781372,0.18998850882053375,0.2552328109741211,0.5829201340675354,0.31534332036972046,0.18119055032730103,0.22806213796138763,0.539380669593811,0.1983879655599594,0.23916715383529663
latin,0.1759578436613083,0.21687382459640503,0.11352607607841492,0.24914836883544922,0.21189837157726288,0.20806539058685303,0.11602295190095901,0.18954341113567352,0.1984284669160843,0.1303461492061615
monastery,0.1663646548986435,1.0,0.14108262956142426,0.22441139817237854,0.42909127473831177,0.6571652293205261,0.1348600834608078,0.22446364164352417,0.18339182436466217,0.11713293194770813
at,0.2838611304759979,0.19356974959373474,0.28390252590179443,0.457212895154953,0.20257827639579773,0.2148832082748413,0.18247999250888824,0.4374977946281433,0.20430169999599457,0.21978627145290375
sant'eufemia,0.2528318464756012,0.2956801950931549,0.16602252423763275,0.2763131856918335,0.4586324989795685,0.2975830137729645,0.09576061367988586,0.27862653136253357,0.3337157070636749,0.2667573094367981
.,0.3567904531955719,0.1667601764202118,0.35288307070732117,0.5934505462646484,0.3555908799171448,0.17902152240276337,0.2126183956861496,0.5591574311256409,0.26594269275665283,0.4130953550338745
