,where,was,the,disease,spreading,between,1348,and,1350,?
by,0.2641284465789795,0.4752357602119446,0.4408751428127289,0.15786179900169373,0.20913609862327576,0.28115302324295044,0.05541399493813515,0.4289871156215668,0.07090941816568375,0.17966607213020325
june,0.18621568381786346,0.42821118235588074,0.24568822979927063,0.16916579008102417,0.07173450291156769,0.15171368420124054,0.137995645403862,0.2692793905735016,-0.07981984317302704,0.31416764855384827
1348,0.206198051571846,-0.017984887585043907,0.17177245020866394,0.1461547166109085,0.15380412340164185,0.1421222984790802,1.0000001192092896,0.1306249499320984,-0.19161303341388702,0.4185435175895691
",",0.3149496018886566,0.45456063747406006,0.4933079481124878,0.29627472162246704,0.259539395570755,0.27714940905570984,0.17199116945266724,0.6633074283599854,-0.10464861989021301,0.31091248989105225
then,0.5403340458869934,0.27044644951820374,0.4297412931919098,0.11536049097776413,0.20667339861392975,0.24181056022644043,0.2213946431875229,0.4372139573097229,-0.08576519042253494,0.2884598970413208
turned,0.24925827980041504,0.3994938135147095,0.3414173722267151,0.16071246564388275,0.2605878710746765,0.09847766906023026,0.09869958460330963,0.372392475605011,0.004625425674021244,0.130948007106781
and,0.43859338760375977,0.3740963041782379,0.5171257257461548,0.19961869716644287,0.328510582447052,0.40645647048950195,0.1306249499320984,1.0,-0.0005520491977222264,0.20544172823429108
spread,0.2061590999364853,0.16506560146808624,0.28994160890579224,0.36523008346557617,0.835309624671936,0.12057363241910934,0.13986876606941223,0.2815358638763428,0.009671805426478386,0.16482828557491302
east,0.28155818581581116,0.2747166156768799,0.3383176326751709,0.15896333754062653,0.23178140819072723,0.3162674903869629,0.07032401114702225,0.27633291482925415,0.13813811540603638,0.10070597380399704
through,0.331196665763855,0.21752823889255524,0.44071322679519653,0.18707700073719025,0.3305489122867584,0.3930896520614624,0.2091761976480484,0.3666759729385376,0.05170435830950737,0.16913433372974396
germany,0.20900733768939972,0.2618768811225891,0.3181285262107849,0.22694632411003113,0.1780957579612732,0.22155004739761353,0.043783754110336304,0.29381805658340454,0.041000060737133026,0.1388660967350006
and,0.43859338760375977,0.3740963041782379,0.5171257257461548,0.19961869716644287,0.328510582447052,0.40645647048950195,0.1306249499320984,1.0,-0.0005520491977222264,0.20544172823429108
scandinavia,0.207406684756279,0.18894384801387787,0.24652571976184845,0.19850891828536987,0.26926130056381226,0.18868568539619446,0.016240764409303665,0.2822973132133484,0.11032314598560333,0.13888707756996155
from,0.3713873624801636,0.31171464920043945,0.40150508284568787,0.28593382239341736,0.24486413598060608,0.3269653618335724,0.10902312397956848,0.3601827025413513,0.005837444216012955,0.19969791173934937
1348,0.206198051571846,-0.017984887585043907,0.17177245020866394,0.1461547166109085,0.15380412340164185,0.1421222984790802,1.0000001192092896,0.1306249499320984,-0.19161303341388702,0.4185435175895691
to,0.47735077142715454,0.3636345863342285,0.535392165184021,0.261801153421402,0.3075626790523529,0.3639189600944519,0.2175499051809311,0.48971283435821533,-0.03047868236899376,0.29463258385658264
1350,0.04119173809885979,0.08298641443252563,0.15980932116508484,-0.09117557853460312,0.019983511418104172,0.13159389793872833,-0.19161303341388702,-0.0005520491977222264,0.9999999403953552,-0.13355082273483276
.,0.41390106081962585,0.40146201848983765,0.5934505462646484,0.25074082612991333,0.2843473553657532,0.30295518040657043,0.22811974585056305,0.588965117931366,-0.07154563069343567,0.4130953550338745
