,which,car,shows,the,dot,'s,revision,of,categories,?
safety,0.25007596611976624,0.2614220380783081,0.06776532530784607,0.25972458720207214,0.13840927183628082,-0.06913796067237854,0.13534146547317505,0.18446403741836548,0.1236087754368782,0.1443338692188263
bumpers,0.20948655903339386,0.2839559316635132,0.1249895766377449,0.2960894703865051,0.1658746898174286,0.03834910690784454,0.12969598174095154,0.26456841826438904,0.13167895376682281,0.16582812368869781
),0.2758678197860718,0.18427881598472595,0.2047332376241684,0.3456730246543884,0.13897304236888885,0.021107977256178856,0.23935529589653015,0.3680361211299896,0.22527344524860382,0.42300865054130554
",",0.3658004403114319,0.21104301512241364,0.26986414194107056,0.4933079481124878,0.1715073585510254,-0.0016132977325469255,0.1997217833995819,0.4946078956127167,0.2938539683818817,0.31091248989105225
and,0.506277859210968,0.19568514823913574,0.34104886651039124,0.5171257257461548,0.15783262252807617,0.06895173341035843,0.1777893453836441,0.5116966962814331,0.2893967628479004,0.20544172823429108
compacts,0.3711737394332886,0.28531283140182495,0.21893231570720673,0.265345960855484,0.13111180067062378,-0.03057357668876648,0.18458420038223267,0.2642667591571808,0.17206883430480957,0.1550748199224472
like,0.48410770297050476,0.18523545563220978,0.31591033935546875,0.32912567257881165,0.13251857459545135,0.06462705135345459,0.17727826535701752,0.3244853615760803,0.28466153144836426,0.3268813192844391
the,0.6521818041801453,0.19754165410995483,0.36348509788513184,1.0,0.15523183345794678,-0.01540423184633255,0.21652790904045105,0.733189046382904,0.2485581487417221,0.22068053483963013
1974,-0.053969547152519226,0.02114998735487461,-0.10876147449016571,0.07901259511709213,-0.0368334986269474,-0.010420195758342743,-0.1518351435661316,0.05920899659395218,-0.14970934391021729,-0.17742674052715302
mustang,0.16343127191066742,0.4624690115451813,0.12343359738588333,0.23036184906959534,0.09887276589870453,0.04164727032184601,0.20808662474155426,0.20474468171596527,0.1336287409067154,0.18120039999485016
i,0.25654318928718567,0.1785968691110611,0.16663195192813873,0.26687872409820557,0.12980353832244873,0.09143294394016266,0.30621138215065,0.25849398970603943,0.2924956977367401,0.4695145785808563
were,0.2807837128639221,0.16830089688301086,0.1903110295534134,0.3906462490558624,0.11452531069517136,0.007088581565767527,0.14965470135211945,0.34038281440734863,0.23414845764636993,0.17890112102031708
a,0.56894451379776,0.2654946446418762,0.3360818326473236,0.5829201340675354,0.15435791015625,0.04866964742541313,0.23733708262443542,0.5052502155303955,0.24910736083984375,0.23916715383529663
prelude,0.31433796882629395,0.17609713971614838,0.15460751950740814,0.26449835300445557,0.11681857705116272,0.0226700771600008,0.19458357989788055,0.1866336464881897,0.1253182590007782,0.22002296149730682
to,0.5345056653022766,0.22916598618030548,0.23382455110549927,0.535392165184021,0.16016843914985657,0.03782717138528824,0.2258356362581253,0.41548454761505127,0.23065701127052307,0.29463258385658264
the,0.6521818041801453,0.19754165410995483,0.36348509788513184,1.0,0.15523183345794678,-0.01540423184633255,0.21652790904045105,0.733189046382904,0.2485581487417221,0.22068053483963013
dot,0.15479029715061188,0.07157547026872635,0.2386874109506607,0.15523183345794678,0.9999999403953552,-0.0041047497652471066,0.14305178821086884,0.13900567591190338,0.13530705869197845,0.15106257796287537
``,0.05178012326359749,-0.0092466427013278,0.002409401349723339,0.029072100296616554,0.17428305745124817,-0.03416389226913452,0.051609739661216736,0.06780257821083069,0.1513179987668991,0.0685480609536171
downsize,0.33982786536216736,0.2639619708061218,0.2676340341567993,0.2776108384132385,0.29516223073005676,-0.02090109884738922,0.3335288166999817,0.2694827616214752,0.2810337245464325,0.3258555829524994
'',-0.03332270681858063,-0.002264308510348201,0.06392832845449448,0.041273195296525955,0.03330323100090027,-0.04859459400177002,0.10368234664201736,0.13035868108272552,-0.0020606545731425285,0.018684765323996544
revision,0.2882480025291443,0.17411617934703827,0.20255599915981293,0.21652790904045105,0.14305178821086884,-0.030884362757205963,0.9999998807907104,0.20164088904857635,0.29239606857299805,0.3194141685962677
of,0.5011631846427917,0.1781313419342041,0.3410852253437042,0.733189046382904,0.13900567591190338,-0.03817026689648628,0.20164088904857635,1.0,0.18317048251628876,0.1826142966747284
vehicle,0.26802441477775574,0.5756374001502991,0.11672379076480865,0.20434843003749847,0.09852423518896103,0.04947027564048767,0.19431409239768982,0.19269394874572754,0.17404696345329285,0.16397647559642792
categories,0.30217254161834717,0.1519884318113327,0.17749343812465668,0.2485581487417221,0.13530705869197845,0.04079790413379669,0.29239606857299805,0.18317048251628876,1.0000001192092896,0.3382010757923126
.,0.45942068099975586,0.2388465255498886,0.2639692425727844,0.5934505462646484,0.1825215071439743,-0.003708066651597619,0.2603952884674072,0.5352458953857422,0.2311275452375412,0.4130953550338745
