,when,was,a,vote,help,to,ratify,the,change,to,the,constitution,?
and,0.4716290831565857,0.3740963041782379,0.3739250600337982,0.1828758865594864,0.34926167130470276,0.48971283435821533,0.20072218775749207,0.5171257257461548,0.2438346892595291,0.48971283435821533,0.5171257257461548,0.23295778036117554,0.20544172823429108
the,0.5091903209686279,0.48711544275283813,0.5829201340675354,0.22779929637908936,0.30064165592193604,0.535392165184021,0.2820034325122833,1.0,0.3641999065876007,0.535392165184021,1.0,0.3381718397140503,0.22068053483963013
new,0.257220059633255,0.2748313844203949,0.3214259147644043,0.1991528421640396,0.2355843484401703,0.33159172534942627,0.2721593379974365,0.3845241069793701,0.24499863386154175,0.33159172534942627,0.3845241069793701,0.2695517838001251,0.14782847464084625
constitution,0.21416595578193665,0.2620309591293335,0.21537603437900543,0.4153718650341034,0.13314850628376007,0.25991612672805786,0.6604081392288208,0.3381718397140503,0.25646474957466125,0.25991612672805786,0.3381718397140503,1.0000001192092896,0.23706454038619995
passed,0.2869023084640503,0.2673497200012207,0.24766449630260468,0.30205070972442627,0.12728457152843475,0.26747700572013855,0.41448014974594116,0.3173406720161438,0.24006271362304688,0.26747700572013855,0.3173406720161438,0.3827124238014221,0.12064517289400101
by,0.4376842677593231,0.4752357602119446,0.32094135880470276,0.17365115880966187,0.2285822480916977,0.33534231781959534,0.13744288682937622,0.4408751428127289,0.2329561412334442,0.33534231781959534,0.4408751428127289,0.1736798882484436,0.17966607213020325
a,0.44397395849227905,0.4508470594882965,1.0,0.21813347935676575,0.23381464183330536,0.45503583550453186,0.2277015596628189,0.5829201340675354,0.3047741651535034,0.45503583550453186,0.5829201340675354,0.21537603437900543,0.23916715383529663
wide,0.1817283183336258,0.15524455904960632,0.301088809967041,0.06068537384271622,0.14909222722053528,0.27017152309417725,0.1218729093670845,0.28078147768974304,0.16889649629592896,0.27017152309417725,0.28078147768974304,0.10086867958307266,0.12719376385211945
margin,0.19970069825649261,0.09077071398496628,0.21099887788295746,0.31846359372138977,0.07205371558666229,0.19185036420822144,0.23983041942119598,0.24286416172981262,0.20893147587776184,0.19185036420822144,0.24286416172981262,0.15900260210037231,0.20245680212974548
.,0.475719153881073,0.40146201848983765,0.50484299659729,0.27672019600868225,0.32205137610435486,0.4645031690597534,0.2021837681531906,0.5934505462646484,0.3244723975658417,0.4645031690597534,0.5934505462646484,0.2279142290353775,0.4130953550338745
