,what,is,the,name,of,the,river,that,is,completely,contained,inside,jacksonville,?
major,0.21026742458343506,0.19079607725143433,0.31775903701782227,0.1646600365638733,0.2641255557537079,0.31775903701782227,0.18837159872055054,0.2570328712463379,0.19079607725143433,0.1561489850282669,0.13320067524909973,0.11236011236906052,0.19896230101585388,0.19788557291030884
tributary,0.1573023945093155,0.21056076884269714,0.2506791055202484,0.22208039462566376,0.22086340188980103,0.2506791055202484,0.7422162294387817,0.14646613597869873,0.21056076884269714,0.09324568510055542,0.0983697772026062,0.08881103992462158,0.15226887166500092,0.15467847883701324
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.24075818061828613,1.0,0.733189046382904,0.19903257489204407,0.41498205065727234,0.4854315221309662,0.25305259227752686,0.37918418645858765,0.2544495463371277,0.23084138333797455,0.1826142966747284
the,0.42745697498321533,0.5823672413825989,1.0,0.3171212375164032,0.733189046382904,1.0,0.2894456386566162,0.5473989248275757,0.5823672413825989,0.342624306678772,0.31440216302871704,0.35313180088996887,0.2176690250635147,0.22068053483963013
st.,0.10219959169626236,0.16120703518390656,0.18141359090805054,0.17727084457874298,0.19887582957744598,0.18141359090805054,0.13863743841648102,0.13783733546733856,0.16120703518390656,0.0782654881477356,0.1063551977276802,0.20571953058242798,0.1262202113866806,0.13592876493930817
johns,0.14186497032642365,0.18497872352600098,0.22800521552562714,0.18224303424358368,0.22625818848609924,0.22800521552562714,0.28212618827819824,0.1658979058265686,0.18497872352600098,0.06193124130368233,0.1683465987443924,0.1659899204969406,0.325653076171875,0.20295952260494232
river,0.13815869390964508,0.20670881867408752,0.2894456386566162,0.17863500118255615,0.19903257489204407,0.2894456386566162,0.9999999403953552,0.1889113336801529,0.20670881867408752,0.10315471142530441,0.1015157401561737,0.06808000802993774,0.1921202689409256,0.15390869975090027
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.28145334124565125,0.4946078956127167,0.4933079481124878,0.26637205481529236,0.4137537479400635,0.4691906273365021,0.2928008437156677,0.2537172734737396,0.2100258767604828,0.2837527096271515,0.31091248989105225
is,0.28837618231773376,1.0,0.5823672413825989,0.3359788954257965,0.4854315221309662,0.5823672413825989,0.20670881867408752,0.3995479643344879,1.0,0.3029288351535797,0.3143906593322754,0.2848464548587799,0.1726600080728531,0.22961433231830597
located,0.2034616470336914,0.35717159509658813,0.407527357339859,0.22759057581424713,0.32520920038223267,0.407527357339859,0.29117700457572937,0.1796129047870636,0.35717159509658813,0.13487625122070312,0.26154574751853943,0.28888770937919617,0.18067680299282074,0.08983194828033447
entirely,0.38249561190605164,0.36407458782196045,0.33318132162094116,0.16249853372573853,0.2849496901035309,0.33318132162094116,0.12375982105731964,0.4321839511394501,0.36407458782196045,0.6419655084609985,0.35485824942588806,0.2989829182624817,0.12414857745170593,0.19651781022548676
within,0.2498195916414261,0.30135563015937805,0.39827480912208557,0.12412691861391068,0.39594778418540955,0.39827480912208557,0.10621292889118195,0.33798906207084656,0.30135563015937805,0.30400046706199646,0.3890313506126404,0.43388691544532776,0.16631029546260834,0.1870293766260147
jacksonville,0.14578714966773987,0.1726600080728531,0.2176690250635147,0.1122477576136589,0.23084138333797455,0.2176690250635147,0.1921202689409256,0.20063675940036774,0.1726600080728531,0.1074889749288559,0.17706750333309174,0.21980519592761993,1.0000001192092896,0.1359667330980301
.,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.24737101793289185,0.5352458953857422,0.5934505462646484,0.21443960070610046,0.4460422694683075,0.4569662809371948,0.2971263825893402,0.27544063329696655,0.3128161132335663,0.2843366861343384,0.4130953550338745
