,who,was,boleslaw,ii,of,masovia,?
fishing,0.17010459303855896,0.15803994238376617,0.17888979613780975,0.07039040327072144,0.20283712446689606,0.1810808628797531,0.12288600206375122
village,0.17100095748901367,0.21511445939540863,0.29052168130874634,0.12067849934101105,0.1866021603345871,0.3245404064655304,0.040922991931438446
called,0.3151143789291382,0.33927658200263977,0.1719549000263214,0.214289128780365,0.4222904443740845,0.23614758253097534,0.18963319063186646
warszowa,0.2038021832704544,0.28783297538757324,0.5947619080543518,0.30387985706329346,0.2153903990983963,0.5247512459754944,0.15968017280101776
.,0.3541337847709656,0.40146201848983765,0.3046051859855652,0.27393630146980286,0.5352458953857422,0.28048062324523926,0.4130953550338745
,who,was,boleslaw,ii,of,masovia,?
the,0.3733934462070465,0.48711544275283813,0.1966986507177353,0.2631464898586273,0.733189046382904,0.2862490713596344,0.22068053483963013
prince,0.19059205055236816,0.21743454039096832,0.3541211187839508,0.31294265389442444,0.23588454723358154,0.2711448669433594,0.15431542694568634
of,0.2827862501144409,0.4069072902202606,0.2332138568162918,0.2844806909561157,1.0,0.33703452348709106,0.1826142966747284
płock,0.19001759588718414,0.38092687726020813,0.5112120509147644,0.28469279408454895,0.39230355620384216,0.5549634695053101,0.2226855754852295
",",0.3365725874900818,0.45456063747406006,0.3090040981769562,0.27159881591796875,0.4946078956127167,0.32082808017730713,0.31091248989105225
bolesław,0.23928004503250122,0.24895334243774414,0.8741481900215149,0.3082360327243805,0.21148376166820526,0.5513241291046143,0.22558791935443878
ii,0.20800143480300903,0.25630512833595276,0.3554711639881134,0.9999999403953552,0.2844806909561157,0.26248934864997864,0.11928234249353409
of,0.2827862501144409,0.4069072902202606,0.2332138568162918,0.2844806909561157,1.0,0.33703452348709106,0.1826142966747284
masovia,0.18536058068275452,0.2602479159832001,0.5594760179519653,0.26248934864997864,0.33703452348709106,1.0,0.12488449364900589
",",0.3365725874900818,0.45456063747406006,0.3090040981769562,0.27159881591796875,0.4946078956127167,0.32082808017730713,0.31091248989105225
established,0.20118318498134613,0.26515325903892517,0.17298421263694763,0.11994921416044235,0.2735237777233124,0.19640956819057465,0.15917523205280304
this,0.3345087468624115,0.3638818562030792,0.2035030871629715,0.2672770619392395,0.45148900151252747,0.20537930727005005,0.3155723512172699
settlement,0.14946594834327698,0.2632548213005066,0.2220720499753952,0.11703728884458542,0.25982165336608887,0.3301641047000885,0.12535437941551208
",",0.3365725874900818,0.45456063747406006,0.3090040981769562,0.27159881591796875,0.4946078956127167,0.32082808017730713,0.31091248989105225
the,0.3733934462070465,0.48711544275283813,0.1966986507177353,0.2631464898586273,0.733189046382904,0.2862490713596344,0.22068053483963013
modern-day,0.2174457609653473,0.3210471272468567,0.2502276301383972,0.19119372963905334,0.27121108770370483,0.23932988941669464,0.2257315069437027
warsaw,0.16496863961219788,0.2614976763725281,0.5340355634689331,0.2033650428056717,0.19253842532634735,0.5123679041862488,0.09769917279481888
",",0.3365725874900818,0.45456063747406006,0.3090040981769562,0.27159881591796875,0.4946078956127167,0.32082808017730713,0.31091248989105225
in,0.2792111933231354,0.45514053106307983,0.23506122827529907,0.21453368663787842,0.5696388483047485,0.30023497343063354,0.20430970191955566
about,0.3477841317653656,0.2577359974384308,0.1753755807876587,0.16188223659992218,0.40939709544181824,0.2612980902194977,0.302409827709198
1300,0.1643884778022766,0.11682294309139252,0.06135334447026253,0.03274526074528694,-0.06875084340572357,-0.08672765642404556,-0.06911228597164154
.,0.3541337847709656,0.40146201848983765,0.3046051859855652,0.27393630146980286,0.5352458953857422,0.28048062324523926,0.4130953550338745
