,what,does,the,film,of,oxide,on,metals,delay,?
of,0.33290785551071167,0.3119818866252899,0.733189046382904,0.22166931629180908,1.0,0.15275245904922485,0.3966929316520691,0.18800947070121765,0.19660267233848572,0.1826142966747284
oxide,0.1961873471736908,0.1987503319978714,0.12591426074504852,0.18047107756137848,0.15275245904922485,0.9999999403953552,0.10933918505907059,0.5195417404174805,0.14677774906158447,0.20583678781986237
that,0.6297725439071655,0.4764937460422516,0.5473989248275757,0.19801650941371918,0.41498205065727234,0.2065478265285492,0.42569106817245483,0.24432112276554108,0.34386560320854187,0.32716336846351624
passivates,0.32294413447380066,0.305429071187973,0.356673002243042,0.22286564111709595,0.27399808168411255,0.2718939483165741,0.23225462436676025,0.2909364104270935,0.2886730134487152,0.20164792239665985
the,0.42745697498321533,0.35928019881248474,1.0,0.2824619710445404,0.733189046382904,0.12591426074504852,0.5107308030128479,0.19963346421718597,0.2607918381690979,0.22068053483963013
metal,0.1684471070766449,0.15395644307136536,0.22397266328334808,0.16215437650680542,0.20934239029884338,0.4005074203014374,0.1844409853219986,0.6859354376792908,0.11000750213861465,0.19767305254936218
and,0.31309178471565247,0.3461615741252899,0.5171257257461548,0.23832054436206818,0.5116966962814331,0.18863432109355927,0.4077630043029785,0.27425065636634827,0.16731663048267365,0.20544172823429108
slows,0.27054694294929504,0.3680371344089508,0.3106330335140228,0.09803639352321625,0.21340961754322052,0.327607125043869,0.26841041445732117,0.23618589341640472,0.35196802020072937,0.1494714915752411
further,0.30867868661880493,0.1860228180885315,0.32531118392944336,0.08246789872646332,0.24797867238521576,0.18463033437728882,0.2951144874095917,0.1863473802804947,0.24301913380622864,0.20960763096809387
corrosion,0.18943355977535248,0.25506463646888733,0.22564229369163513,0.14307746291160583,0.2355555295944214,0.6309778094291687,0.19481995701789856,0.5856004357337952,0.22988121211528778,0.1496727615594864
.,0.3567904531955719,0.3022993505001068,0.5934505462646484,0.22823183238506317,0.5352458953857422,0.20840533077716827,0.49257001280784607,0.22515369951725006,0.1950424760580063,0.4130953550338745
