,how,much,of,the,population,in,the,middle,east,died,of,the,plague,?
syria,0.12421628087759018,0.19128742814064026,0.23301105201244354,0.25272905826568604,0.17802809178829193,0.2404082864522934,0.25272905826568604,0.24147970974445343,0.26709848642349243,0.15834738314151764,0.23301105201244354,0.25272905826568604,0.21903979778289795,0.1554446816444397
",",0.22659391164779663,0.36182254552841187,0.4946078956127167,0.4933079481124878,0.2967977225780487,0.5201468467712402,0.4933079481124878,0.24847112596035004,0.319791704416275,0.36026471853256226,0.4946078956127167,0.4933079481124878,0.2630122900009155,0.31091248989105225
during,0.26830652356147766,0.2644806206226349,0.3869180977344513,0.4838213622570038,0.2194119244813919,0.4627237319946289,0.4838213622570038,0.2737145721912384,0.20910711586475372,0.2561846971511841,0.3869180977344513,0.4838213622570038,0.25791043043136597,0.1325719803571701
this,0.45272302627563477,0.5015546083450317,0.45148900151252747,0.6274310946464539,0.20733799040317535,0.45205554366111755,0.6274310946464539,0.2387426495552063,0.15194007754325867,0.133186936378479,0.45148900151252747,0.6274310946464539,0.2352575808763504,0.3155723512172699
time,0.35346719622612,0.3794040381908417,0.35127586126327515,0.43061500787734985,0.19751183688640594,0.3431483507156372,0.43061500787734985,0.21611443161964417,0.1498870700597763,0.22270911931991577,0.35127586126327515,0.43061500787734985,0.21858999133110046,0.27391523122787476
",",0.22659391164779663,0.36182254552841187,0.4946078956127167,0.4933079481124878,0.2967977225780487,0.5201468467712402,0.4933079481124878,0.24847112596035004,0.319791704416275,0.36026471853256226,0.4946078956127167,0.4933079481124878,0.2630122900009155,0.31091248989105225
is,0.22544461488723755,0.3156087100505829,0.4854315221309662,0.5823672413825989,0.2727566361427307,0.5394441485404968,0.5823672413825989,0.21621397137641907,0.2596127688884735,0.1729084998369217,0.4854315221309662,0.5823672413825989,0.15890252590179443,0.22961433231830597
for,0.3308170735836029,0.2994346022605896,0.4185989499092102,0.4739971458911896,0.13321557641029358,0.4322226941585541,0.4739971458911896,0.17248252034187317,0.20268000662326813,0.15530551970005035,0.4185989499092102,0.4739971458911896,0.1471073478460312,0.264628142118454
a,0.29312583804130554,0.2958075702190399,0.5052502155303955,0.5829201340675354,0.2345738559961319,0.539380669593811,0.5829201340675354,0.23820361495018005,0.18767057359218597,0.19795529544353485,0.5052502155303955,0.5829201340675354,0.22077761590480804,0.23916715383529663
death,0.19782234728336334,0.1532273292541504,0.23778599500656128,0.21438048779964447,0.1300671100616455,0.18743370473384857,0.21438048779964447,0.10992792248725891,0.1293613314628601,0.49539607763290405,0.23778599500656128,0.21438048779964447,0.2767121493816376,0.21149799227714539
rate,0.2722127139568329,0.31914231181144714,0.24132871627807617,0.24881242215633392,0.3664343059062958,0.24951417744159698,0.24881242215633392,0.13349178433418274,0.10968060046434402,0.12437450885772705,0.24132871627807617,0.24881242215633392,0.19315223395824432,0.1308269053697586
of,0.2480744868516922,0.2671096920967102,1.0,0.733189046382904,0.3060894012451172,0.5696388483047485,0.733189046382904,0.2799445688724518,0.314786434173584,0.25637882947921753,1.0,0.733189046382904,0.27455615997314453,0.1826142966747284
about,0.44264400005340576,0.42681634426116943,0.40939709544181824,0.37995871901512146,0.3066638112068176,0.39797019958496094,0.37995871901512146,0.2368152141571045,0.24112336337566376,0.15872496366500854,0.40939709544181824,0.37995871901512146,0.2741866707801819,0.302409827709198
a,0.29312583804130554,0.2958075702190399,0.5052502155303955,0.5829201340675354,0.2345738559961319,0.539380669593811,0.5829201340675354,0.23820361495018005,0.18767057359218597,0.19795529544353485,0.5052502155303955,0.5829201340675354,0.22077761590480804,0.23916715383529663
third,0.14508451521396637,0.18641111254692078,0.30602210760116577,0.4229298532009125,0.18395879864692688,0.3309578001499176,0.4229298532009125,0.21146249771118164,0.14344559609889984,0.14952589571475983,0.30602210760116577,0.4229298532009125,0.1646808236837387,0.15394791960716248
.,0.3287222981452942,0.3374604284763336,0.5352458953857422,0.5934505462646484,0.26950228214263916,0.5591574311256409,0.5934505462646484,0.2989427447319031,0.28351864218711853,0.24093139171600342,0.5352458953857422,0.5934505462646484,0.2547653317451477,0.4130953550338745
