,what,forced,the,cancellations,of,three,future,landings,?
geological,0.2686845362186432,0.13898329436779022,0.2813860774040222,0.23301684856414795,0.3277883529663086,0.19216500222682953,0.19931039214134216,0.24136650562286377,0.16050557792186737
and,0.31309178471565247,0.28385210037231445,0.5171257257461548,0.223203644156456,0.5116966962814331,0.3826501965522766,0.28619977831840515,0.22284801304340363,0.20544172823429108
astrophysical,0.2797122895717621,0.12360775470733643,0.27595338225364685,0.26760566234588623,0.3493864834308624,0.15385760366916656,0.28047803044319153,0.21818555891513824,0.13093014061450958
exploration,0.24038591980934143,0.17342491447925568,0.3181801736354828,0.24766764044761658,0.2918226718902588,0.18739032745361328,0.29315948486328125,0.30801329016685486,0.13539034128189087
.,0.3567904531955719,0.23676170408725739,0.5934505462646484,0.26893147826194763,0.5352458953857422,0.34968629479408264,0.24031390249729156,0.2522715926170349,0.4130953550338745
,what,forced,the,cancellations,of,three,future,landings,?
five,0.18688078224658966,0.1412920355796814,0.41977158188819885,0.25429993867874146,0.3980514109134674,0.8168607354164124,0.1450904905796051,0.1614489108324051,0.18342848122119904
of,0.33290785551071167,0.27082350850105286,0.733189046382904,0.20085562765598297,1.0,0.3844621181488037,0.25455814599990845,0.2141752690076828,0.1826142966747284
the,0.42745697498321533,0.2571122944355011,1.0,0.28884801268577576,0.733189046382904,0.43452659249305725,0.2337762415409088,0.26410871744155884,0.22068053483963013
remaining,0.21802754700183868,0.35384923219680786,0.45105910301208496,0.23856249451637268,0.3693024218082428,0.3728506565093994,0.14543461799621582,0.26706168055534363,0.16961920261383057
six,0.1779850870370865,0.15729302167892456,0.3614266812801361,0.19504888355731964,0.3317931592464447,0.7407562732696533,0.07895278930664062,0.1472211331129074,0.15298804640769958
missions,0.21898438036441803,0.28928616642951965,0.26288601756095886,0.40154021978378296,0.2598918080329895,0.20720647275447845,0.21716131269931793,0.3803475797176361,0.21422071754932404
achieved,0.1794850081205368,0.10300709307193756,0.2821090817451477,0.2763400375843048,0.2701522707939148,0.21469347178936005,0.1907086819410324,0.16609279811382294,0.17008265852928162
successful,0.16902779042720795,0.1220870316028595,0.31354787945747375,0.28288188576698303,0.2304827868938446,0.22171202301979065,0.22234226763248444,0.23300571739673615,0.1132197454571724
landings,0.16291393339633942,0.209560364484787,0.26410871744155884,0.34595227241516113,0.2141752690076828,0.18228575587272644,0.16147960722446442,1.0,0.09511345624923706
",",0.3087472915649414,0.2527396082878113,0.4933079481124878,0.2275068461894989,0.4946078956127167,0.3347506821155548,0.2609160840511322,0.2337561845779419,0.31091248989105225
but,0.5029441118240356,0.33071041107177734,0.4859698414802551,0.3076413571834564,0.39942997694015503,0.3208388388156891,0.2904810309410095,0.2233515977859497,0.27921953797340393
the,0.42745697498321533,0.2571122944355011,1.0,0.28884801268577576,0.733189046382904,0.43452659249305725,0.2337762415409088,0.26410871744155884,0.22068053483963013
apollo,0.13561789691448212,0.18863262236118317,0.2169172167778015,0.23610500991344452,0.1786269098520279,0.10625588893890381,0.18601560592651367,0.3129429221153259,0.191528782248497
13,-0.0796622633934021,0.06154152750968933,-0.007407139986753464,0.05940161645412445,0.019282439723610878,0.017150243744254112,0.07240879535675049,0.027428146451711655,-0.11384815722703934
landing,0.17083740234375,0.20686382055282593,0.24055521190166473,0.30140048265457153,0.22376328706741333,0.1625450998544693,0.10382170230150223,0.8382740020751953,0.11133739352226257
was,0.22111038863658905,0.21640066802501678,0.48711544275283813,0.27393442392349243,0.4069072902202606,0.2748996615409851,0.21697655320167542,0.1934853494167328,0.18412111699581146
prevented,0.237372025847435,0.3575086295604706,0.3256615996360779,0.2898649573326111,0.296178936958313,0.19874164462089539,0.21981759369373322,0.1745881289243698,0.21836411952972412
by,0.2455483376979828,0.24928836524486542,0.4408751428127289,0.23867277801036835,0.3646814823150635,0.28754812479019165,0.17252910137176514,0.21084412932395935,0.17966607213020325
an,0.2821882665157318,0.11244519799947739,0.4207492768764496,0.15906135737895966,0.32280945777893066,0.1749064028263092,0.16225744783878326,0.21001853048801422,0.19793890416622162
oxygen,0.16781960427761078,0.15285854041576385,0.20428593456745148,0.19018572568893433,0.16848602890968323,0.20057295262813568,0.19487743079662323,0.2368011623620987,0.16786395013332367
tank,0.125138059258461,0.15573135018348694,0.28027960658073425,0.17294514179229736,0.2132720649242401,0.14915503561496735,0.05872190371155739,0.27889594435691833,0.09334904700517654
explosion,0.1955919712781906,0.17950481176376343,0.2702338993549347,0.22540895640850067,0.2521720826625824,0.10678756237030029,0.20174525678157806,0.2730710506439209,0.14159642159938812
in,0.30808621644973755,0.2043643444776535,0.6662389636039734,0.2565721869468689,0.5696388483047485,0.34828072786331177,0.15554536879062653,0.23684507608413696,0.20430970191955566
transit,0.2244526743888855,0.08181271702051163,0.23945073783397675,0.26447218656539917,0.2233203798532486,0.19448991119861603,0.2044699490070343,0.1972941905260086,0.186569482088089
to,0.455847829580307,0.3537954092025757,0.535392165184021,0.2703562080860138,0.41548454761505127,0.3043823838233948,0.3191963732242584,0.28488174080848694,0.29463258385658264
the,0.42745697498321533,0.2571122944355011,1.0,0.28884801268577576,0.733189046382904,0.43452659249305725,0.2337762415409088,0.26410871744155884,0.22068053483963013
moon,0.15898863971233368,0.1630256026983261,0.23613092303276062,0.2647636830806732,0.18815091252326965,0.15777833759784698,0.25215572118759155,0.29246118664741516,0.1442703753709793
",",0.3087472915649414,0.2527396082878113,0.4933079481124878,0.2275068461894989,0.4946078956127167,0.3347506821155548,0.2609160840511322,0.2337561845779419,0.31091248989105225
which,0.5261979103088379,0.22839660942554474,0.6521818041801453,0.28010502457618713,0.5011631846427917,0.40919098258018494,0.2278342843055725,0.2285911589860916,0.25814583897590637
disabled,0.16043168306350708,0.28720924258232117,0.1687239110469818,0.20836175978183746,0.1733492761850357,0.17448945343494415,0.20409461855888367,0.10233084857463837,0.20987746119499207
the,0.42745697498321533,0.2571122944355011,1.0,0.28884801268577576,0.733189046382904,0.43452659249305725,0.2337762415409088,0.26410871744155884,0.22068053483963013
command,0.22732043266296387,0.3106730580329895,0.27488255500793457,0.24583767354488373,0.23060646653175354,0.1695283204317093,0.19803015887737274,0.3618980050086975,0.13402260839939117
spacecraft,0.19567668437957764,0.17306862771511078,0.21476294100284576,0.28146347403526306,0.16566437482833862,0.1435060203075409,0.23647503554821014,0.45416104793548584,0.17708687484264374
's,0.02692362666130066,0.02559546008706093,-0.01540423184633255,-0.005010777618736029,-0.03817026689648628,0.03946888819336891,-0.04464564472436905,0.059233009815216064,-0.023395681753754616
propulsion,0.18541935086250305,0.1696740686893463,0.2493213713169098,0.22172871232032776,0.22784428298473358,0.13107430934906006,0.15355351567268372,0.30636128783226013,0.14722804725170135
and,0.31309178471565247,0.28385210037231445,0.5171257257461548,0.223203644156456,0.5116966962814331,0.3826501965522766,0.28619977831840515,0.22284801304340363,0.20544172823429108
life,0.24693015217781067,0.19470137357711792,0.23528170585632324,0.16744394600391388,0.2788603901863098,0.20328527688980103,0.24020206928253174,0.1645684838294983,0.21677987277507782
support,0.2797985076904297,0.24000485241413116,0.22984638810157776,0.23027610778808594,0.2307697981595993,0.14144375920295715,0.24722258746623993,0.2422190010547638,0.22626608610153198
.,0.3567904531955719,0.23676170408725739,0.5934505462646484,0.26893147826194763,0.5352458953857422,0.34968629479408264,0.24031390249729156,0.2522715926170349,0.4130953550338745
