,is,the,output,of,a,functional,problem,typically,characterized,by,a,simple,or,complex,answer,?
input,0.2170686423778534,0.19928309321403503,0.6574379205703735,0.13291659951210022,0.20009170472621918,0.33577919006347656,0.2680823802947998,0.3125982880592346,0.13211584091186523,0.18977947533130646,0.20009170472621918,0.34772735834121704,0.2964729070663452,0.22564440965652466,0.32805678248405457,0.24861721694469452
",",0.4691906273365021,0.4933079481124878,0.20966894924640656,0.4946078956127167,0.427140474319458,0.21087999641895294,0.23938199877738953,0.18964512646198273,0.23185861110687256,0.3680937886238098,0.427140474319458,0.2595684230327606,0.3769497275352478,0.2636418044567108,0.2860236167907715,0.31091248989105225
but,0.4106791317462921,0.4859698414802551,0.2831413745880127,0.39942997694015503,0.44750767946243286,0.27348604798316956,0.4038695693016052,0.3647053837776184,0.2991344630718231,0.3159136474132538,0.44750767946243286,0.4074248969554901,0.4733969271183014,0.24136945605278015,0.40116235613822937,0.27921953797340393
the,0.5823672413825989,1.0,0.22049929201602936,0.733189046382904,0.5829201340675354,0.24815106391906738,0.24928659200668335,0.33345210552215576,0.30089181661605835,0.4408751428127289,0.5829201340675354,0.24738673865795135,0.4174870550632477,0.25326284766197205,0.24840699136257172,0.22068053483963013
output,0.2423316091299057,0.22049929201602936,0.9999999403953552,0.15243679285049438,0.17850732803344727,0.34041911363601685,0.24181972444057465,0.37929031252861023,0.15203037858009338,0.1993098258972168,0.17850732803344727,0.3190861940383911,0.2887789011001587,0.27202993631362915,0.2856975793838501,0.16760045289993286
is,1.0,0.5823672413825989,0.2423316091299057,0.4854315221309662,0.658733606338501,0.2310919463634491,0.23238427937030792,0.3483496606349945,0.26732131838798523,0.3899846076965332,0.658733606338501,0.29377081990242004,0.41870999336242676,0.2723233699798584,0.21693027019500732,0.22961433231830597
more,0.2946030795574188,0.39758381247520447,0.2945699989795685,0.30478984117507935,0.3452818691730499,0.2711560130119324,0.3073251247406006,0.3908897936344147,0.2722818851470947,0.2627272307872772,0.3452818691730499,0.3958303928375244,0.41612157225608826,0.3233707845211029,0.26737549901008606,0.27894994616508484
complex,0.2723233699798584,0.25326284766197205,0.27202993631362915,0.24271073937416077,0.26552852988243103,0.3873279392719269,0.33565452694892883,0.23545296490192413,0.1823686957359314,0.14267762005329132,0.26552852988243103,0.4443042278289795,0.2604424059391022,0.9999998807907104,0.20431987941265106,0.17752902209758759
than,0.2839990258216858,0.3227543234825134,0.26737070083618164,0.33036211133003235,0.3126874566078186,0.27357327938079834,0.28667381405830383,0.4123818576335907,0.1930021494626999,0.2015816867351532,0.3126874566078186,0.27824971079826355,0.5002588033676147,0.25296974182128906,0.2504047155380249,0.24917294085025787
that,0.3995479643344879,0.5473989248275757,0.24302947521209717,0.41498205065727234,0.47537946701049805,0.30261409282684326,0.4416671693325043,0.34845292568206787,0.295734703540802,0.37496164441108704,0.47537946701049805,0.4371768534183502,0.4729836881160736,0.2922951579093933,0.39350852370262146,0.32716336846351624
of,0.4854315221309662,0.733189046382904,0.15243679285049438,1.0,0.5052502155303955,0.2812688946723938,0.20464475452899933,0.28964799642562866,0.30984818935394287,0.3646814823150635,0.5052502155303955,0.23205730319023132,0.3792596757411957,0.24271073937416077,0.17047110199928284,0.1826142966747284
a,0.658733606338501,0.5829201340675354,0.17850732803344727,0.5052502155303955,1.0,0.27382412552833557,0.2605542540550232,0.37909039855003357,0.3205097019672394,0.32094135880470276,1.0,0.34160614013671875,0.48853766918182373,0.26552852988243103,0.2724393308162689,0.23916715383529663
decision,0.2514069080352783,0.2905151844024658,0.2298634648323059,0.2331373691558838,0.24091263115406036,0.16432800889015198,0.31341657042503357,0.22086159884929657,0.11921875923871994,0.28215938806533813,0.24091263115406036,0.2364644706249237,0.2005528211593628,0.15696848928928375,0.41143798828125,0.2796577215194702
problem,0.23238427937030792,0.24928659200668335,0.24181972444057465,0.20464475452899933,0.2605542540550232,0.28200405836105347,1.0,0.2080833911895752,0.21800804138183594,0.2011435180902481,0.2605542540550232,0.42500850558280945,0.29821720719337463,0.33565452694892883,0.4718674123287201,0.3762950301170349
",",0.4691906273365021,0.4933079481124878,0.20966894924640656,0.4946078956127167,0.427140474319458,0.21087999641895294,0.23938199877738953,0.18964512646198273,0.23185861110687256,0.3680937886238098,0.427140474319458,0.2595684230327606,0.3769497275352478,0.2636418044567108,0.2860236167907715,0.31091248989105225
that,0.3995479643344879,0.5473989248275757,0.24302947521209717,0.41498205065727234,0.47537946701049805,0.30261409282684326,0.4416671693325043,0.34845292568206787,0.295734703540802,0.37496164441108704,0.47537946701049805,0.4371768534183502,0.4729836881160736,0.2922951579093933,0.39350852370262146,0.32716336846351624
is,1.0,0.5823672413825989,0.2423316091299057,0.4854315221309662,0.658733606338501,0.2310919463634491,0.23238427937030792,0.3483496606349945,0.26732131838798523,0.3899846076965332,0.658733606338501,0.29377081990242004,0.41870999336242676,0.2723233699798584,0.21693027019500732,0.22961433231830597
",",0.4691906273365021,0.4933079481124878,0.20966894924640656,0.4946078956127167,0.427140474319458,0.21087999641895294,0.23938199877738953,0.18964512646198273,0.23185861110687256,0.3680937886238098,0.427140474319458,0.2595684230327606,0.3769497275352478,0.2636418044567108,0.2860236167907715,0.31091248989105225
it,0.6328473687171936,0.6251175999641418,0.22094415128231049,0.38761502504348755,0.5452592968940735,0.19344893097877502,0.296018123626709,0.28889989852905273,0.23098841309547424,0.40926623344421387,0.5452592968940735,0.33236920833587646,0.36389440298080444,0.30943289399147034,0.25213345885276794,0.25732165575027466
is,1.0,0.5823672413825989,0.2423316091299057,0.4854315221309662,0.658733606338501,0.2310919463634491,0.23238427937030792,0.3483496606349945,0.26732131838798523,0.3899846076965332,0.658733606338501,0.29377081990242004,0.41870999336242676,0.2723233699798584,0.21693027019500732,0.22961433231830597
n't,0.028099019080400467,-0.11449059844017029,-0.06587403267621994,-0.021397603675723076,0.013574101030826569,0.022680798545479774,-0.08322153985500336,-0.11214666068553925,0.09612056612968445,-0.025093624368309975,0.013574101030826569,0.021380679681897163,-0.056045327335596085,-0.01251938659697771,-0.07721901684999466,0.07068326324224472
just,0.369599312543869,0.40061673521995544,0.24097523093223572,0.35124439001083374,0.47693389654159546,0.2219138741493225,0.35045257210731506,0.29575905203819275,0.1567407101392746,0.2508312165737152,0.47693389654159546,0.47476789355278015,0.4843778610229492,0.2710934281349182,0.38764771819114685,0.4144178032875061
yes,0.16542133688926697,0.17053739726543427,0.2520117461681366,0.09911797195672989,0.21635428071022034,0.15771061182022095,0.31176358461380005,0.09768258780241013,0.01779448613524437,0.07964278757572174,0.21635428071022034,0.3169136047363281,0.21601545810699463,0.09790563583374023,0.3896866738796234,0.3918913006782532
or,0.41870999336242676,0.4174870550632477,0.2887789011001587,0.3792596757411957,0.48853766918182373,0.3360610902309418,0.29821720719337463,0.558444619178772,0.28754836320877075,0.30274316668510437,0.48853766918182373,0.31794559955596924,1.0000001192092896,0.2604424059391022,0.26877230405807495,0.32389625906944275
no,0.19581134617328644,0.3461136817932129,0.19820328056812286,0.24809792637825012,0.26280897855758667,0.21166706085205078,0.34181922674179077,0.2231692522764206,0.1408253014087677,0.15267254412174225,0.26280897855758667,0.2613399624824524,0.36535751819610596,0.18396523594856262,0.24931378662586212,0.32165053486824036
.,0.4569662809371948,0.5934505462646484,0.22474192082881927,0.5352458953857422,0.50484299659729,0.25234878063201904,0.22562150657176971,0.25537845492362976,0.20198658108711243,0.3936232924461365,0.50484299659729,0.29104891419410706,0.36683785915374756,0.2245299518108368,0.311292439699173,0.4130953550338745
