,who,wrote,the,poem,the,mark,of,anarchy,?
political,0.24357503652572632,0.27998045086860657,0.20477235317230225,0.12168172001838684,0.20477235317230225,0.15127083659172058,0.27319738268852234,0.3983848989009857,0.17130474746227264
poem,0.24826540052890778,0.47295135259628296,0.22930538654327393,1.0,0.22930538654327393,0.09323740750551224,0.2282063513994217,0.22461247444152832,0.17328360676765442
the,0.3733934462070465,0.2426944375038147,1.0,0.22930538654327393,1.0,0.2235521525144577,0.733189046382904,0.18858380615711212,0.22068053483963013
mask,0.27423468232154846,0.1204914003610611,0.21132248640060425,0.11410526931285858,0.21132248640060425,0.11109957098960876,0.16784228384494781,0.1929657906293869,0.1506187915802002
of,0.2827862501144409,0.30241408944129944,0.733189046382904,0.2282063513994217,0.733189046382904,0.16461719572544098,1.0,0.19957754015922546,0.1826142966747284
anarchy,0.23965713381767273,0.2298762947320938,0.18858380615711212,0.22461247444152832,0.18858380615711212,0.12057072669267654,0.19957754015922546,0.9999999403953552,0.2034674733877182
later,0.35185644030570984,0.36647099256515503,0.4060266613960266,0.22372251749038696,0.4060266613960266,0.20860441029071808,0.3458743393421173,0.19324877858161926,0.1417175978422165
that,0.45444270968437195,0.27484676241874695,0.5473989248275757,0.17737552523612976,0.5473989248275757,0.18479634821414948,0.41498205065727234,0.20145976543426514,0.32716336846351624
year,0.2851492762565613,0.1648433953523636,0.3609684407711029,0.1905151605606079,0.3609684407711029,0.1976548433303833,0.2578314542770386,0.07013481110334396,0.18315006792545319
",",0.3365725874900818,0.27225261926651,0.4933079481124878,0.15003186464309692,0.4933079481124878,0.2642361521720886,0.4946078956127167,0.20300085842609406,0.31091248989105225
that,0.45444270968437195,0.27484676241874695,0.5473989248275757,0.17737552523612976,0.5473989248275757,0.18479634821414948,0.41498205065727234,0.20145976543426514,0.32716336846351624
begins,0.0697854533791542,0.163938969373703,0.3446018099784851,0.12304383516311646,0.3446018099784851,0.06558569520711899,0.27105480432510376,0.1404736489057541,0.09518900513648987
with,0.3282766342163086,0.18946580588817596,0.4223487675189972,0.1578224003314972,0.4223487675189972,0.14849503338336945,0.41827285289764404,0.15379458665847778,0.2433311939239502
the,0.3733934462070465,0.2426944375038147,1.0,0.22930538654327393,1.0,0.2235521525144577,0.733189046382904,0.18858380615711212,0.22068053483963013
images,0.15972021222114563,0.12171408534049988,0.22232814133167267,0.19144873321056366,0.22232814133167267,0.11822211742401123,0.2139289528131485,0.11416144669055939,0.22502069175243378
of,0.2827862501144409,0.30241408944129944,0.733189046382904,0.2282063513994217,0.733189046382904,0.16461719572544098,1.0,0.19957754015922546,0.1826142966747284
what,0.40942975878715515,0.2664989233016968,0.42745697498321533,0.19967712461948395,0.42745697498321533,0.16941310465335846,0.33290785551071167,0.24923689663410187,0.5051238536834717
he,0.5500732064247131,0.378974586725235,0.4571082592010498,0.24372246861457825,0.4571082592010498,0.12111186981201172,0.38706058263778687,0.158168762922287,0.2089974731206894
thought,0.38083821535110474,0.38084959983825684,0.3509289622306824,0.17864713072776794,0.3509289622306824,0.0725269690155983,0.34673458337783813,0.27599629759788513,0.2600135803222656
to,0.42656609416007996,0.18888387084007263,0.535392165184021,0.1599099487066269,0.535392165184021,0.2008102536201477,0.41548454761505127,0.17269267141819,0.29463258385658264
be,0.3371641933917999,0.18142859637737274,0.4248143136501312,0.14197486639022827,0.4248143136501312,0.17473942041397095,0.33904364705085754,0.10905048251152039,0.3324260413646698
the,0.3733934462070465,0.2426944375038147,1.0,0.22930538654327393,1.0,0.2235521525144577,0.733189046382904,0.18858380615711212,0.22068053483963013
unjust,0.35126355290412903,0.2802850008010864,0.19062539935112,0.22614142298698425,0.19062539935112,0.15395182371139526,0.16003967821598053,0.4161534011363983,0.26097434759140015
forms,0.1086287721991539,0.1904965192079544,0.2950737178325653,0.16157937049865723,0.2950737178325653,0.0570632666349411,0.33835989236831665,0.11299891769886017,0.1196754202246666
of,0.2827862501144409,0.30241408944129944,0.733189046382904,0.2282063513994217,0.733189046382904,0.16461719572544098,1.0,0.19957754015922546,0.1826142966747284
authority,0.17199470102787018,0.1331491470336914,0.2645063102245331,0.13518019020557404,0.2645063102245331,0.16855312883853912,0.28063252568244934,0.216409370303154,0.18404170870780945
of,0.2827862501144409,0.30241408944129944,0.733189046382904,0.2282063513994217,0.733189046382904,0.16461719572544098,1.0,0.19957754015922546,0.1826142966747284
his,0.44966956973075867,0.37588781118392944,0.4394008219242096,0.2791810929775238,0.4394008219242096,0.18292218446731567,0.38364991545677185,0.2159770280122757,0.18075084686279297
time—and,0.28889524936676025,0.2301146388053894,0.3399730920791626,0.2938910722732544,0.3399730920791626,0.19739674031734467,0.2744106650352478,0.15276652574539185,0.3334274888038635
then,0.29952746629714966,0.14571650326251984,0.4297412931919098,0.11600793153047562,0.4297412931919098,0.1777711659669876,0.2937326431274414,0.14212633669376373,0.2884598970413208
imagines,0.2819138169288635,0.36357903480529785,0.25050967931747437,0.2265920788049698,0.25050967931747437,0.11158793419599533,0.24750719964504242,0.1939806193113327,0.2819980978965759
the,0.3733934462070465,0.2426944375038147,1.0,0.22930538654327393,1.0,0.2235521525144577,0.733189046382904,0.18858380615711212,0.22068053483963013
stirrings,0.2664080858230591,0.22678160667419434,0.2558434307575226,0.2310647964477539,0.2558434307575226,0.12115683406591415,0.24182774126529694,0.13493572175502777,0.16938374936580658
of,0.2827862501144409,0.30241408944129944,0.733189046382904,0.2282063513994217,0.733189046382904,0.16461719572544098,1.0,0.19957754015922546,0.1826142966747284
a,0.36608949303627014,0.232523575425148,0.5829201340675354,0.2251199632883072,0.5829201340675354,0.2278195023536682,0.5052502155303955,0.1843627244234085,0.23916715383529663
new,0.2378052920103073,0.16065242886543274,0.3845241069793701,0.12486039847135544,0.3845241069793701,0.20591235160827637,0.343457967042923,0.18133574724197388,0.14782847464084625
form,0.137381911277771,0.15332511067390442,0.29286009073257446,0.19700995087623596,0.29286009073257446,0.1298505961894989,0.29600051045417786,0.14763396978378296,0.1463010311126709
of,0.2827862501144409,0.30241408944129944,0.733189046382904,0.2282063513994217,0.733189046382904,0.16461719572544098,1.0,0.19957754015922546,0.1826142966747284
social,0.26409217715263367,0.20878705382347107,0.21797899901866913,0.12183711677789688,0.21797899901866913,0.0803537592291832,0.2605111300945282,0.34941503405570984,0.1615191102027893
action,0.22252362966537476,0.1790689378976822,0.28415048122406006,0.09194517880678177,0.28415048122406006,0.13358697295188904,0.23570318520069122,0.2026205062866211,0.250188946723938
.,0.3541337847709656,0.2480330765247345,0.5934505462646484,0.16596515476703644,0.5934505462646484,0.21911589801311493,0.5352458953857422,0.207096129655838,0.4130953550338745
