,what,may,a,force,on,one,part,of,an,object,affect,?
part,0.3476244807243347,0.18155068159103394,0.3994528353214264,0.15120939910411835,0.3598494827747345,0.38682618737220764,1.0,0.452393114566803,0.3128427565097809,0.15820854902267456,0.2912527024745941,0.08557961881160736
of,0.33290785551071167,0.26447007060050964,0.5052502155303955,0.27094775438308716,0.3966929316520691,0.4999135136604309,0.452393114566803,1.0,0.32280945777893066,0.1993778944015503,0.3070525825023651,0.1826142966747284
an,0.2821882665157318,0.30457955598831177,0.44552403688430786,0.21655116975307465,0.3192969560623169,0.2829729914665222,0.3128427565097809,0.32280945777893066,1.0,0.2576858103275299,0.1799934059381485,0.19793890416622162
object,0.25733083486557007,0.17916733026504517,0.3271922171115875,0.32587239146232605,0.18476571142673492,0.3014896810054779,0.15820854902267456,0.1993778944015503,0.2576858103275299,1.0,0.2874676585197449,0.19573666155338287
might,0.4838182032108307,0.5044193863868713,0.4210625886917114,0.17640027403831482,0.23525792360305786,0.3444346785545349,0.18432648479938507,0.2900311052799225,0.2780051529407501,0.3230155408382416,0.35286274552345276,0.41058459877967834
affect,0.34042587876319885,0.24729785323143005,0.20271271467208862,0.2706642150878906,0.31676557660102844,0.28924205899238586,0.2912527024745941,0.3070525825023651,0.1799934059381485,0.2874676585197449,1.0,0.26275068521499634
other,0.341873437166214,0.40045788884162903,0.2806335389614105,0.1906614750623703,0.3410046398639679,0.45956575870513916,0.25873222947120667,0.38583824038505554,0.1556563824415207,0.22065003216266632,0.3423229455947876,0.24682199954986572
parts,0.3415631353855133,0.20232272148132324,0.2777566909790039,0.18001626431941986,0.26594671607017517,0.3156193196773529,0.6307799220085144,0.3379773199558258,0.2022421658039093,0.1499471366405487,0.2822280824184418,0.12310896813869476
of,0.33290785551071167,0.26447007060050964,0.5052502155303955,0.27094775438308716,0.3966929316520691,0.4999135136604309,0.452393114566803,1.0,0.32280945777893066,0.1993778944015503,0.3070525825023651,0.1826142966747284
an,0.2821882665157318,0.30457955598831177,0.44552403688430786,0.21655116975307465,0.3192969560623169,0.2829729914665222,0.3128427565097809,0.32280945777893066,1.0,0.2576858103275299,0.1799934059381485,0.19793890416622162
object,0.25733083486557007,0.17916733026504517,0.3271922171115875,0.32587239146232605,0.18476571142673492,0.3014896810054779,0.15820854902267456,0.1993778944015503,0.2576858103275299,1.0,0.2874676585197449,0.19573666155338287
.,0.3567904531955719,0.35826805233955383,0.50484299659729,0.2783275842666626,0.49257001280784607,0.4123194217681885,0.32817673683166504,0.5352458953857422,0.3581749200820923,0.22102774679660797,0.2787342071533203,0.4130953550338745
