,which,provinces,in,canada,limit,the,rights,of,pharmacists,in,prescribing,?
their,0.4582767188549042,0.15972384810447693,0.34976133704185486,0.17331740260124207,0.20696158707141876,0.516537070274353,0.223011314868927,0.4329940676689148,0.3280321955680847,0.34976133704185486,0.26966699957847595,0.1898253709077835
provincial,0.2362038791179657,0.6298516392707825,0.22605130076408386,0.3675636053085327,0.22332829236984253,0.2845842242240906,0.17790010571479797,0.31268540024757385,0.07609691470861435,0.22605130076408386,0.08283236622810364,0.11250471323728561
government,0.27266770601272583,0.33598074316978455,0.3066793978214264,0.25311022996902466,0.19601118564605713,0.31798112392425537,0.32665008306503296,0.3475167155265808,0.2533871531486511,0.3066793978214264,0.23956698179244995,0.18851417303085327
for,0.44095608592033386,0.14237400889396667,0.4322226941585541,0.20546558499336243,0.21607312560081482,0.4739971458911896,0.24823954701423645,0.4185989499092102,0.21977780759334564,0.4322226941585541,0.2731809616088867,0.264628142118454
expanded,0.2827520966529846,0.21764366328716278,0.27289336919784546,0.1162320002913475,0.21467027068138123,0.3258892893791199,0.13380402326583862,0.2764764726161957,0.2507152855396271,0.27289336919784546,0.1717604547739029,0.2124357968568802
services,0.28976115584373474,0.15132935345172882,0.22287973761558533,0.20344200730323792,0.19464890658855438,0.2381475418806076,0.22710400819778442,0.23787347972393036,0.23296315968036652,0.22287973761558533,0.28316032886505127,0.1328447163105011
such,0.406057745218277,0.14765173196792603,0.2704046070575714,0.16957327723503113,0.24732908606529236,0.3575236201286316,0.1659644991159439,0.3209529519081116,0.2130642980337143,0.2704046070575714,0.3143659830093384,0.17851735651493073
as,0.41006597876548767,0.15771014988422394,0.3887844979763031,0.17753809690475464,0.2326194792985916,0.48381632566452026,0.23479478061199188,0.3886612355709076,0.21945327520370483,0.3887844979763031,0.2060590535402298,0.27043893933296204
medications,0.322510302066803,0.1988450586795807,0.20176923274993896,0.15695546567440033,0.24871954321861267,0.23477277159690857,0.2454529106616974,0.25834259390830994,0.47439247369766235,0.20176923274993896,0.6616386771202087,0.22114922106266022
reviews,0.22087949514389038,0.06187545880675316,0.21180737018585205,0.1697234809398651,0.19176003336906433,0.2074589878320694,0.20888347923755646,0.1464875042438507,0.18531891703605652,0.21180737018585205,0.24103084206581116,0.18590256571769714
(,0.2589828372001648,0.2196645438671112,0.3087427020072937,0.1885313093662262,0.25329461693763733,0.33289089798927307,0.17563141882419586,0.35032153129577637,0.14513295888900757,0.3087427020072937,0.11530140042304993,0.40561532974243164
medschecks,0.3324466645717621,0.16184890270233154,0.337350994348526,0.20594783127307892,0.31081148982048035,0.3616187274456024,0.27486303448677063,0.3280777931213379,0.36069920659065247,0.337350994348526,0.36527660489082336,0.2833925187587738
in,0.4840516746044159,0.21957094967365265,1.0,0.3175714612007141,0.18465836346149445,0.6662389636039734,0.17772755026817322,0.5696388483047485,0.22358480095863342,1.0,0.20819683372974396,0.20430970191955566
ontario,0.21397267282009125,0.2561423182487488,0.2492024004459381,0.6510149836540222,0.19486530125141144,0.23064923286437988,0.1466454565525055,0.22826141119003296,0.1148630678653717,0.2492024004459381,0.10698826611042023,0.1380562037229538
),0.2758678197860718,0.2101515829563141,0.3326910734176636,0.20059916377067566,0.24518834054470062,0.3456730246543884,0.18886376917362213,0.3680361211299896,0.1354888379573822,0.3326910734176636,0.11341045796871185,0.42300865054130554
.,0.45942068099975586,0.21029427647590637,0.5591574311256409,0.2708069980144501,0.2149888575077057,0.5934505462646484,0.24957291781902313,0.5352458953857422,0.27446362376213074,0.5591574311256409,0.18601149320602417,0.4130953550338745
