,what,type,of,combustible,materials,were,considered,to,have,little,philogiston,?
",",0.3087472915649414,0.1804078221321106,0.4946078956127167,0.21899035573005676,0.20380693674087524,0.36755475401878357,0.32932984828948975,0.44245919585227966,0.3541618287563324,0.32780832052230835,0.3312477171421051,0.31091248989105225
were,0.22298263013362885,0.09534358233213425,0.34038281440734863,0.24117963016033173,0.2721776068210602,1.0000001192092896,0.2681999206542969,0.31913647055625916,0.5193349123001099,0.19139611721038818,0.23556098341941833,0.17890112102031708
thought,0.4469435214996338,0.22924752533435822,0.34673458337783813,0.22283495962619781,0.22362130880355835,0.40236467123031616,0.582937479019165,0.3858291208744049,0.45581644773483276,0.2353854924440384,0.27226096391677856,0.2600135803222656
to,0.455847829580307,0.19930607080459595,0.41548454761505127,0.22712315618991852,0.2771066129207611,0.31913647055625916,0.2954166829586029,1.0,0.4544740617275238,0.2547711431980133,0.20575971901416779,0.29463258385658264
be,0.3929833769798279,0.25716274976730347,0.33904364705085754,0.36021140217781067,0.3439505696296692,0.4064064621925354,0.41927069425582886,0.4972836375236511,0.5760743618011475,0.27196499705314636,0.16916365921497345,0.3324260413646698
made,0.23419176042079926,0.2166324257850647,0.33167365193367004,0.30878981947898865,0.3184864819049835,0.32412371039390564,0.3068905770778656,0.3377571105957031,0.2891587018966675,0.19106435775756836,0.16710534691810608,0.17218779027462006
mostly,0.32312366366386414,0.24901118874549866,0.2964755594730377,0.1759408712387085,0.23275186121463776,0.33211323618888855,0.29613548517227173,0.25999927520751953,0.3616330325603485,0.22883833944797516,0.13244618475437164,0.09124795347452164
of,0.33290785551071167,0.18112817406654358,1.0,0.22582003474235535,0.23909913003444672,0.34038281440734863,0.4190242290496826,0.41548454761505127,0.3802283704280853,0.20116642117500305,0.1738901138305664,0.1826142966747284
phlogiston,0.23945403099060059,0.13984984159469604,0.18006449937820435,0.347412109375,0.2223179042339325,0.2234601378440857,0.12172441929578781,0.22483126819133759,0.24312332272529602,0.2220257967710495,0.8745367527008057,0.230838805437088
;,0.10986888408660889,-0.004756918177008629,0.054534342139959335,0.005807269364595413,0.05979154258966446,0.14040996134281158,0.11059124767780304,0.0979827418923378,0.10650043189525604,-0.01625622622668743,0.030697084963321686,0.10349778085947037
whereas,0.32338035106658936,0.21191877126693726,0.34012725949287415,0.24663518369197845,0.22443009912967682,0.175188347697258,0.2958444654941559,0.33097705245018005,0.3499935269355774,0.2497638314962387,0.15295211970806122,0.1950923502445221
non-combustible,0.2598993480205536,0.3521865904331207,0.2593037784099579,0.9662726521492004,0.4604588449001312,0.25430548191070557,0.30198338627815247,0.2319587767124176,0.28878286480903625,0.22398647665977478,0.29259395599365234,0.27454185485839844
substances,0.2663726210594177,0.24996384978294373,0.2613070607185364,0.4932001829147339,0.49508532881736755,0.2505269944667816,0.27085086703300476,0.2833317220211029,0.35933226346969604,0.15490345656871796,0.21533334255218506,0.19339443743228912
that,0.6297725439071655,0.25817251205444336,0.41498205065727234,0.338132381439209,0.28520384430885315,0.35517072677612305,0.37593913078308105,0.5436353087425232,0.6182622313499451,0.3069852590560913,0.2462189793586731,0.32716336846351624
corrode,0.2389552742242813,0.21393506228923798,0.208628848195076,0.5557847023010254,0.4409864544868469,0.1872282326221466,0.22774721682071686,0.3283371031284332,0.3074065148830414,0.1967482715845108,0.18593351542949677,0.20853817462921143
",",0.3087472915649414,0.1804078221321106,0.4946078956127167,0.21899035573005676,0.20380693674087524,0.36755475401878357,0.32932984828948975,0.44245919585227966,0.3541618287563324,0.32780832052230835,0.3312477171421051,0.31091248989105225
such,0.23989605903625488,0.2636772096157074,0.3209529519081116,0.2758628726005554,0.35968461632728577,0.2970055043697357,0.32339993119239807,0.2871878743171692,0.42997312545776367,0.2562221586704254,0.1669827699661255,0.17851735651493073
as,0.31749409437179565,0.19307732582092285,0.3886612355709076,0.22722461819648743,0.2538547217845917,0.3025437891483307,0.4031961262226105,0.42092081904411316,0.37788212299346924,0.27529188990592957,0.24596372246742249,0.27043893933296204
iron,0.1444280743598938,0.10976240038871765,0.263920396566391,0.3490149676799774,0.3630043566226959,0.18622921407222748,0.15380971133708954,0.18131506443023682,0.19015184044837952,0.20459768176078796,0.21144342422485352,0.1309053897857666
",",0.3087472915649414,0.1804078221321106,0.4946078956127167,0.21899035573005676,0.20380693674087524,0.36755475401878357,0.32932984828948975,0.44245919585227966,0.3541618287563324,0.32780832052230835,0.3312477171421051,0.31091248989105225
contained,0.18997789919376373,0.18427978456020355,0.37918418645858765,0.3347291648387909,0.30032747983932495,0.3573267161846161,0.30022069811820984,0.21074968576431274,0.3616316318511963,0.18074651062488556,0.17750470340251923,0.171995609998703
very,0.37053924798965454,0.21407891809940338,0.34437474608421326,0.33405911922454834,0.3362843990325928,0.3175065517425537,0.4312191307544708,0.3902553617954254,0.43513578176498413,0.348614901304245,0.1571856588125229,0.20864155888557434
little,0.2614184617996216,0.12676630914211273,0.20116642117500305,0.2127322256565094,0.189433291554451,0.19139611721038818,0.17185567319393158,0.2547711431980133,0.31236013770103455,1.0,0.21046413481235504,0.20336517691612244
.,0.3567904531955719,0.23195341229438782,0.5352458953857422,0.2584845721721649,0.22580863535404205,0.3378238379955292,0.29356086254119873,0.4645031690597534,0.41614407300949097,0.24199113249778748,0.2857017517089844,0.4130953550338745
,what,type,of,combustible,materials,were,considered,to,have,little,philogiston,?
the,0.42745697498321533,0.21819381415843964,0.733189046382904,0.21786433458328247,0.22837378084659576,0.3906462490558624,0.4028765559196472,0.535392165184021,0.40389683842658997,0.2412613034248352,0.2491910308599472,0.22068053483963013
fact,0.4454877972602844,0.1534295231103897,0.3007645010948181,0.25567033886909485,0.24763430655002594,0.2446317970752716,0.3113575577735901,0.35271596908569336,0.4392837882041931,0.2461070865392685,0.18202939629554749,0.2798655927181244
that,0.6297725439071655,0.25817251205444336,0.41498205065727234,0.338132381439209,0.28520384430885315,0.35517072677612305,0.37593913078308105,0.5436353087425232,0.6182622313499451,0.3069852590560913,0.2462189793586731,0.32716336846351624
a,0.3320399522781372,0.3813284635543823,0.5052502155303955,0.30475491285324097,0.21448606252670288,0.17203083634376526,0.36109375953674316,0.45503583550453186,0.338716596364975,0.3029581904411316,0.23614028096199036,0.23916715383529663
substance,0.2803279459476471,0.2569679021835327,0.23127788305282593,0.46254196763038635,0.4438411593437195,0.1753302663564682,0.24727635085582733,0.26625680923461914,0.3037594258785248,0.15609164535999298,0.21612204611301422,0.2033585160970688
like,0.4320242702960968,0.2712353765964508,0.3244853615760803,0.35318782925605774,0.24675701558589935,0.3280778229236603,0.28127408027648926,0.35482415556907654,0.5579352974891663,0.30691108107566833,0.20266029238700867,0.3268813192844391
wood,0.09460487961769104,0.13901375234127045,0.22215111553668976,0.3301227390766144,0.39049431681632996,0.2097655087709427,0.19676069915294647,0.19757768511772156,0.17596864700317383,0.18311342597007751,0.18655480444431305,0.1346656233072281
gains,0.1997934877872467,0.11524368822574615,0.3051764965057373,0.24215348064899445,0.17895148694515228,0.14855580031871796,0.19182588160037994,0.2970750033855438,0.2351958155632019,0.21660597622394562,0.10619094967842102,0.13120409846305847
overall,0.23488298058509827,0.15150301158428192,0.2889781594276428,0.22186703979969025,0.16086524724960327,0.17033763229846954,0.2545686662197113,0.2557717263698578,0.26381897926330566,0.1736399531364441,0.13842186331748962,0.18573027849197388
weight,0.20223349332809448,0.309140682220459,0.1631830334663391,0.3065943121910095,0.30025798082351685,0.1475503295660019,0.15659889578819275,0.2257474809885025,0.28145483136177063,0.19280850887298584,0.17512784898281097,0.18111222982406616
in,0.30808621644973755,0.20604541897773743,0.5696388483047485,0.2111574411392212,0.2393922507762909,0.3815755248069763,0.28591203689575195,0.45010748505592346,0.36843645572662354,0.22515349090099335,0.29531651735305786,0.20430970191955566
burning,0.21885274350643158,0.14359867572784424,0.26340749859809875,0.45628291368484497,0.2826172411441803,0.21602368354797363,0.1629471629858017,0.24785497784614563,0.17810001969337463,0.1673504114151001,0.15177251398563385,0.18033187091350555
was,0.22111038863658905,0.14348182082176208,0.4069072902202606,0.22681353986263275,0.17750675976276398,0.590133786201477,0.384328156709671,0.3636345863342285,0.2863433063030243,0.15730731189250946,0.32749640941619873,0.18412111699581146
hidden,0.2690216898918152,0.18088100850582123,0.16790804266929626,0.23156848549842834,0.18927544355392456,0.18372690677642822,0.15030904114246368,0.21207500994205475,0.313252717256546,0.2194664180278778,0.08278442919254303,0.22134476900100708
by,0.2455483376979828,0.15232881903648376,0.3646814823150635,0.24782872200012207,0.1976538747549057,0.4406847059726715,0.23957760632038116,0.33534231781959534,0.3359639644622803,0.16509714722633362,0.262964129447937,0.17966607213020325
the,0.42745697498321533,0.21819381415843964,0.733189046382904,0.21786433458328247,0.22837378084659576,0.3906462490558624,0.4028765559196472,0.535392165184021,0.40389683842658997,0.2412613034248352,0.2491910308599472,0.22068053483963013
buoyancy,0.32871153950691223,0.2468586415052414,0.3012014925479889,0.5239893794059753,0.36468806862831116,0.1635047197341919,0.21419371664524078,0.30291926860809326,0.28547054529190063,0.2946934401988983,0.2465549260377884,0.15274441242218018
of,0.33290785551071167,0.18112817406654358,1.0,0.22582003474235535,0.23909913003444672,0.34038281440734863,0.4190242290496826,0.41548454761505127,0.3802283704280853,0.20116642117500305,0.1738901138305664,0.1826142966747284
the,0.42745697498321533,0.21819381415843964,0.733189046382904,0.21786433458328247,0.22837378084659576,0.3906462490558624,0.4028765559196472,0.535392165184021,0.40389683842658997,0.2412613034248352,0.2491910308599472,0.22068053483963013
gaseous,0.28648024797439575,0.2451140582561493,0.31292828917503357,0.599618136882782,0.46685007214546204,0.2028127908706665,0.21796391904354095,0.25169700384140015,0.2901603877544403,0.1826866716146469,0.23768621683120728,0.1947249323129654
combustion,0.2678600549697876,0.34383919835090637,0.25126782059669495,0.8735705614089966,0.37767860293388367,0.2208511084318161,0.21555079519748688,0.21775685250759125,0.2532806694507599,0.1808619648218155,0.336137592792511,0.2177530825138092
products,0.2088814079761505,0.23243467509746552,0.21450084447860718,0.3887862265110016,0.4518473744392395,0.2293141782283783,0.1923120617866516,0.2591564655303955,0.25600454211235046,0.13558900356292725,0.15763631463050842,0.20429900288581848
.,0.3567904531955719,0.23195341229438782,0.5352458953857422,0.2584845721721649,0.22580863535404205,0.3378238379955292,0.29356086254119873,0.4645031690597534,0.41614407300949097,0.24199113249778748,0.2857017517089844,0.4130953550338745
