,what,does,the,acronym,csm,stand,for,?
lift,0.21210287511348724,0.23951095342636108,0.2480313628911972,0.18273812532424927,0.21133244037628174,0.28399860858917236,0.22116398811340332,0.1929398477077484
off,0.2350364625453949,0.18683460354804993,0.2773582935333252,0.11514798551797867,0.11823471635580063,0.20082949101924896,0.20644043385982513,0.12937544286251068
from,0.2737620174884796,0.1777622550725937,0.40150508284568787,0.15673024952411652,0.14368535578250885,0.1447637528181076,0.314039945602417,0.19969791173934937
the,0.42745697498321533,0.35928019881248474,1.0,0.22906145453453064,0.15609420835971832,0.2531624138355255,0.4739971458911896,0.22068053483963013
lunar,0.18274477124214172,0.12795574963092804,0.23309995234012604,0.11795273423194885,0.5040956735610962,0.08175360411405563,0.16840216517448425,0.1628302037715912
surface,0.23580394685268402,0.22910720109939575,0.2555135488510132,0.16232416033744812,0.24297504127025604,0.17804431915283203,0.17463307082653046,0.14613434672355652
for,0.3017193675041199,0.35159170627593994,0.4739971458911896,0.2647229731082916,0.235806405544281,0.29936376214027405,0.9999999403953552,0.264628142118454
the,0.42745697498321533,0.35928019881248474,1.0,0.22906145453453064,0.15609420835971832,0.2531624138355255,0.4739971458911896,0.22068053483963013
return,0.18344242870807648,0.1668936312198639,0.2543797492980957,0.017062606289982796,0.25004297494888306,0.09424775838851929,0.23464316129684448,0.14655634760856628
trip,0.24576207995414734,0.10556120425462723,0.2299763560295105,0.03389337286353111,0.2130800038576126,0.09909665584564209,0.2293619066476822,0.09162633121013641
",",0.3087472915649414,0.28617382049560547,0.4933079481124878,0.21347589790821075,0.20636554062366486,0.27589988708496094,0.4464869201183319,0.31091248989105225
after,0.21973377466201782,0.18596531450748444,0.4565047025680542,0.13275036215782166,0.18178017437458038,0.1408999115228653,0.3650246858596802,0.16608688235282898
being,0.3760843276977539,0.25347548723220825,0.419739305973053,0.17317570745944977,0.13457895815372467,0.2548230290412903,0.41687241196632385,0.26743772625923157
soft-landed,0.2588725686073303,0.17731541395187378,0.38475343585014343,0.1341358721256256,0.2970404028892517,0.21637104451656342,0.29134464263916016,0.23825979232788086
by,0.2455483376979828,0.143477201461792,0.4408751428127289,0.17779923975467682,0.08329558372497559,0.1934388428926468,0.3248702883720398,0.17966607213020325
a,0.3320399522781372,0.38201746344566345,0.5829201340675354,0.20950040221214294,0.19198624789714813,0.26977941393852234,0.44038116931915283,0.23916715383529663
larger,0.23663538694381714,0.22250615060329437,0.378620445728302,0.18947389721870422,0.08489605039358139,0.18032923340797424,0.18703162670135498,0.1602165699005127
landing,0.17083740234375,0.14571607112884521,0.24055521190166473,0.11056734621524811,0.2964303493499756,0.13074196875095367,0.23171500861644745,0.11133739352226257
propulsion,0.18541935086250305,0.15928734838962555,0.2493213713169098,0.2875576615333557,0.3966555893421173,0.11119431257247925,0.258436918258667,0.14722804725170135
module,0.2071267068386078,0.18762138485908508,0.15147453546524048,0.15073177218437195,0.4761714041233063,0.08759357035160065,0.20810315012931824,0.2131270468235016
.,0.3567904531955719,0.3022993505001068,0.5934505462646484,0.1759447604417801,0.23357412219047546,0.2296130359172821,0.4726039469242096,0.4130953550338745
