,who,created,an,index,of,health,and,social,problems,?
problems,0.25277501344680786,0.18162955343723297,0.1804785281419754,0.22013337910175323,0.2450421154499054,0.40322181582450867,0.285793662071228,0.24665296077728271,1.0,0.2638136148452759
``,0.02397952415049076,3.665990152512677e-05,0.03770720958709717,0.04732042923569679,0.06780257821083069,0.003065527183935046,0.036644238978624344,0.0685405433177948,0.07921574264764786,0.0685480609536171
more,0.31567877531051636,0.23486116528511047,0.316240519285202,0.15652234852313995,0.30478984117507935,0.2228650152683258,0.39880692958831787,0.21873395144939423,0.3108620345592499,0.27894994616508484
common,0.12067393958568573,0.10768742114305496,0.13647881150245667,0.09295901656150818,0.2949881851673126,0.1459171622991562,0.229714497923851,0.1517033725976944,0.23478636145591736,0.20434872806072235
in,0.2792111933231354,0.2843434810638428,0.2605783939361572,0.17663216590881348,0.5696388483047485,0.2500189542770386,0.4954058527946472,0.23382627964019775,0.21061907708644867,0.20430970191955566
countries,0.3002627491950989,0.19596901535987854,0.20055769383907318,0.2062481939792633,0.2800094783306122,0.25483372807502747,0.37200918793678284,0.24800002574920654,0.2361592799425125,0.15128466486930847
with,0.3282766342163086,0.2505694031715393,0.2730048894882202,0.15008816123008728,0.41827285289764404,0.21318627893924713,0.5477725267410278,0.20528239011764526,0.3139011859893799,0.2433311939239502
bigger,0.16086602210998535,0.22598570585250854,0.22362378239631653,0.1908801645040512,0.3085831105709076,0.1478417068719864,0.3198147416114807,0.13503839075565338,0.263405978679657,0.16528849303722382
income,0.1852571815252304,0.12245751172304153,0.12479376047849655,0.25553080439567566,0.2581324577331543,0.33056288957595825,0.2518245577812195,0.23773884773254395,0.21276745200157166,0.14935168623924255
inequalities,0.1693936288356781,0.1726554036140442,0.20499087870121002,0.2882096767425537,0.27897384762763977,0.30945318937301636,0.2735365331172943,0.3978012204170227,0.43437227606773376,0.19635117053985596
'',0.024401003494858742,-0.004385723266750574,0.09471100568771362,0.03639587014913559,0.13035868108272552,-0.002438992029055953,0.021612688899040222,0.01732291281223297,0.003717846004292369,0.018684765323996544
",",0.3365725874900818,0.2755771577358246,0.3581022024154663,0.15702199935913086,0.4946078956127167,0.2331448197364807,0.6633074283599854,0.2674078345298767,0.2596952021121979,0.31091248989105225
and,0.41279885172843933,0.2873832881450653,0.2838519215583801,0.14331957697868347,0.5116966962814331,0.3215619623661041,1.0,0.38231831789016724,0.285793662071228,0.20544172823429108
more,0.31567877531051636,0.23486116528511047,0.316240519285202,0.15652234852313995,0.30478984117507935,0.2228650152683258,0.39880692958831787,0.21873395144939423,0.3108620345592499,0.27894994616508484
common,0.12067393958568573,0.10768742114305496,0.13647881150245667,0.09295901656150818,0.2949881851673126,0.1459171622991562,0.229714497923851,0.1517033725976944,0.23478636145591736,0.20434872806072235
among,0.32480236887931824,0.12923099100589752,0.08896297216415405,0.1067294180393219,0.3679063022136688,0.1879897564649582,0.39211368560791016,0.3091006875038147,0.2574266791343689,0.14343059062957764
states,0.21313154697418213,0.1785258948802948,0.2041347622871399,0.1153753399848938,0.30884552001953125,0.24974636733531952,0.2974761426448822,0.1574816107749939,0.178767591714859,0.16272737085819244
in,0.2792111933231354,0.2843434810638428,0.2605783939361572,0.17663216590881348,0.5696388483047485,0.2500189542770386,0.4954058527946472,0.23382627964019775,0.21061907708644867,0.20430970191955566
the,0.3733934462070465,0.3539263904094696,0.4207492768764496,0.21882164478302002,0.733189046382904,0.2340974360704422,0.5171257257461548,0.21797899901866913,0.2659202516078949,0.22068053483963013
us,0.19343413412570953,0.1459280401468277,0.1722210943698883,0.13981284201145172,0.23568789660930634,0.17097721993923187,0.25715014338493347,0.12494571506977081,0.14903272688388824,0.2742428481578827
with,0.3282766342163086,0.2505694031715393,0.2730048894882202,0.15008816123008728,0.41827285289764404,0.21318627893924713,0.5477725267410278,0.20528239011764526,0.3139011859893799,0.2433311939239502
larger,0.16680826246738434,0.16180847585201263,0.22288915514945984,0.16380952298641205,0.32469573616981506,0.054273370653390884,0.34781917929649353,0.17217935621738434,0.16658766567707062,0.1602165699005127
income,0.1852571815252304,0.12245751172304153,0.12479376047849655,0.25553080439567566,0.2581324577331543,0.33056288957595825,0.2518245577812195,0.23773884773254395,0.21276745200157166,0.14935168623924255
inequalities,0.1693936288356781,0.1726554036140442,0.20499087870121002,0.2882096767425537,0.27897384762763977,0.30945318937301636,0.2735365331172943,0.3978012204170227,0.43437227606773376,0.19635117053985596
.,0.3541337847709656,0.3230568766593933,0.3581749200820923,0.17970989644527435,0.5352458953857422,0.25832483172416687,0.588965117931366,0.2614770531654358,0.2602308988571167,0.4130953550338745
