,what,insight,of,galileo,was,associated,with,constant,velocity,?
net,0.14762049913406372,0.20912279188632965,0.15895754098892212,0.15620307624340057,0.10464823991060257,0.13317231833934784,0.17359885573387146,0.2154531031847,0.1940966248512268,0.20179778337478638
force,0.16915984451770782,0.18878088891506195,0.27094775438308716,0.23843693733215332,0.20879842340946198,0.12178391963243484,0.15703244507312775,0.26580461859703064,0.33556628227233887,0.1650998443365097
(,0.2411840260028839,0.17499622702598572,0.35032153129577637,0.15692465007305145,0.2980341613292694,0.22233878076076508,0.29503780603408813,0.1794145703315735,0.2329597771167755,0.40561532974243164
see,0.44941186904907227,0.3081871569156647,0.33962661027908325,0.22523492574691772,0.17335832118988037,0.19808004796504974,0.27642667293548584,0.20503124594688416,0.23990069329738617,0.42005208134651184
a,0.3320399522781372,0.13960503041744232,0.5052502155303955,0.1346738189458847,0.4508470594882965,0.22056666016578674,0.3783375024795532,0.26609575748443604,0.2071385234594345,0.23916715383529663
more,0.3484537899494171,0.26849105954170227,0.30478984117507935,0.1624753773212433,0.21525104343891144,0.27462291717529297,0.3535402715206146,0.1877884566783905,0.22892753779888153,0.27894994616508484
detailed,0.34171777963638306,0.3621402680873871,0.34139877557754517,0.2982025146484375,0.14771351218223572,0.21872186660766602,0.2438114881515503,0.13087326288223267,0.1466985046863556,0.22426927089691162
description,0.33273714780807495,0.28849801421165466,0.3067724406719208,0.25469130277633667,0.1866779327392578,0.17683012783527374,0.2534279227256775,0.22747838497161865,0.1785721778869629,0.23225292563438416
of,0.33290785551071167,0.12511052191257477,1.0,0.20429757237434387,0.4069072902202606,0.3077163100242615,0.41827285289764404,0.25393494963645935,0.15038157999515533,0.1826142966747284
this,0.5489566326141357,0.2835654616355896,0.45148900151252747,0.23764172196388245,0.3638818562030792,0.27648818492889404,0.36358317732810974,0.2505357265472412,0.2540037930011749,0.3155723512172699
below,0.23541416227817535,0.1177501380443573,0.23283669352531433,0.1643337607383728,0.11549114435911179,0.17193444073200226,0.2136729657649994,0.15440504252910614,0.16499203443527222,0.17692236602306366
),0.26259949803352356,0.1841147094964981,0.3680361211299896,0.17296919226646423,0.3267642855644226,0.22068600356578827,0.3069596290588379,0.17642728984355927,0.20584090054035187,0.42300865054130554
.,0.3567904531955719,0.2433774471282959,0.5352458953857422,0.21233849227428436,0.40146201848983765,0.2184346318244934,0.4446153938770294,0.24043156206607819,0.19446231424808502,0.4130953550338745
