,what,can,be,the,result,of,a,change,in,an,organization,?
teachers,0.2526462972164154,0.1946156919002533,0.20256873965263367,0.22025763988494873,0.0774323046207428,0.27737662196159363,0.2509842813014984,0.14727000892162323,0.2128150761127472,0.12090782821178436,0.2131412923336029,0.19522249698638916
',0.3245812654495239,0.23672404885292053,0.2717236876487732,0.474788099527359,0.23247525095939636,0.39136970043182373,0.48837921023368835,0.3266923129558563,0.4158826768398285,0.36139753460884094,0.24523258209228516,0.330942302942276
mental,0.3228646218776703,0.2611877918243408,0.2541329860687256,0.22819195687770844,0.23572513461112976,0.2973325848579407,0.24876734614372253,0.24180585145950317,0.25946304202079773,0.1996455043554306,0.291421502828598,0.20703209936618805
and,0.31309178471565247,0.3675691485404968,0.41766801476478577,0.5171257257461548,0.27436327934265137,0.5116966962814331,0.3739250600337982,0.2438346892595291,0.4954058527946472,0.2838519215583801,0.21951423585414886,0.20544172823429108
physical,0.27895045280456543,0.3102372884750366,0.27982616424560547,0.20230218768119812,0.2802232801914215,0.3124530017375946,0.2210949957370758,0.27061089873313904,0.20687337219715118,0.199143648147583,0.22945870459079742,0.11781801283359528
health,0.21460163593292236,0.22913023829460144,0.2504793405532837,0.2340974360704422,0.21566659212112427,0.28076469898223877,0.21166443824768066,0.2115449160337448,0.2500189542770386,0.1369510293006897,0.3953329026699066,0.16094304621219635
",",0.3087472915649414,0.3139454126358032,0.39254459738731384,0.4933079481124878,0.23341737687587738,0.4946078956127167,0.427140474319458,0.2752361297607422,0.5201468467712402,0.3581022024154663,0.1819751113653183,0.31091248989105225
productivity,0.2654266059398651,0.2976532280445099,0.24603885412216187,0.22987580299377441,0.23914460837841034,0.2269303798675537,0.21406765282154083,0.25632113218307495,0.18360760807991028,0.21727177500724792,0.2631237506866455,0.23359106481075287
",",0.3087472915649414,0.3139454126358032,0.39254459738731384,0.4933079481124878,0.23341737687587738,0.4946078956127167,0.427140474319458,0.2752361297607422,0.5201468467712402,0.3581022024154663,0.1819751113653183,0.31091248989105225
and,0.31309178471565247,0.3675691485404968,0.41766801476478577,0.5171257257461548,0.27436327934265137,0.5116966962814331,0.3739250600337982,0.2438346892595291,0.4954058527946472,0.2838519215583801,0.21951423585414886,0.20544172823429108
students,0.2380729615688324,0.16829217970371246,0.22850628197193146,0.25268980860710144,0.07385293394327164,0.25513339042663574,0.2676560878753662,0.1581023633480072,0.2676171064376831,0.15776841342449188,0.2633920907974243,0.18017297983169556
',0.3245812654495239,0.23672404885292053,0.2717236876487732,0.474788099527359,0.23247525095939636,0.39136970043182373,0.48837921023368835,0.3266923129558563,0.4158826768398285,0.36139753460884094,0.24523258209228516,0.330942302942276
performance,0.1804763227701187,0.1239795982837677,0.18223507702350616,0.260756254196167,0.14367437362670898,0.18957610428333282,0.25398191809654236,0.13450409471988678,0.252952516078949,0.2163344770669937,0.2017199993133545,0.1587955504655838
.,0.3567904531955719,0.35783761739730835,0.4383580684661865,0.5934505462646484,0.31092435121536255,0.5352458953857422,0.50484299659729,0.3244723975658417,0.5591574311256409,0.3581749200820923,0.20656518638134003,0.4130953550338745
