,when,did,watt,finish,the,development,of,his,improvements,to,newcomen,'s,engine,?
of,0.3757161796092987,0.2513895630836487,0.21599632501602173,0.13930197060108185,0.733189046382904,0.28700894117355347,1.0,0.38364991545677185,0.22111958265304565,0.41548454761505127,0.20999403297901154,-0.03817026689648628,0.17095594108104706,0.1826142966747284
newcomen,0.16854435205459595,0.26893195509910583,0.25657278299331665,0.20496904850006104,0.2645798325538635,0.1764119416475296,0.20999403297901154,0.17368364334106445,0.2555592954158783,0.28331831097602844,1.0,0.02899864688515663,0.3742743134498596,0.2543369233608246
's,-0.03368149697780609,0.05069678649306297,-0.022533712908625603,0.04701191186904907,-0.01540423184633255,0.004789014346897602,-0.03817026689648628,0.047556519508361816,0.023069076240062714,0.03782717138528824,0.02899864688515663,0.9999999403953552,0.044662050902843475,-0.023395681753754616
engine,0.2008768618106842,0.1357124000787735,0.31998884677886963,0.14460425078868866,0.21651263535022736,0.19329482316970825,0.17095594108104706,0.16806639730930328,0.3646746575832367,0.20794793963432312,0.3742743134498596,0.044662050902843475,1.0,0.17739196121692657
",",0.36674630641937256,0.3015086054801941,0.18948227167129517,0.23325271904468536,0.4933079481124878,0.23776917159557343,0.4946078956127167,0.3378419280052185,0.32688429951667786,0.44245919585227966,0.29110631346702576,-0.0016132977325469255,0.19789794087409973,0.31091248989105225
with,0.5075214505195618,0.25472134351730347,0.15606039762496948,0.22121065855026245,0.4223487675189972,0.20933356881141663,0.41827285289764404,0.33836179971694946,0.2247544378042221,0.4239959120750427,0.1710459291934967,-0.04624466598033905,0.1990211457014084,0.2433311939239502
a,0.44397395849227905,0.2552328109741211,0.21096299588680267,0.27042049169540405,0.5829201340675354,0.2762584090232849,0.5052502155303955,0.3497250974178314,0.2632787227630615,0.45503583550453186,0.24331505596637726,0.04866964742541313,0.24768835306167603,0.23916715383529663
separate,0.2902664840221405,0.2542422115802765,0.16115888953208923,0.18064062297344208,0.3612915575504303,0.20652399957180023,0.33388569951057434,0.15543241798877716,0.22420728206634521,0.3234710395336151,0.07636792957782745,0.03854526951909065,0.17311933636665344,0.16835719347000122
condenser,0.29056546092033386,0.14588014781475067,0.2455337643623352,0.17384561896324158,0.26016345620155334,0.1266774982213974,0.2694534957408905,0.13143888115882874,0.2025958001613617,0.2080451101064682,0.20926903188228607,-0.0266112107783556,0.33374881744384766,0.1732601672410965
.,0.475719153881073,0.35288307070732117,0.25756895542144775,0.20195505023002625,0.5934505462646484,0.2822875380516052,0.5352458953857422,0.3119256794452667,0.27572768926620483,0.4645031690597534,0.2567371726036072,-0.003708066651597619,0.21814921498298645,0.4130953550338745
