,where,did,jochi,remain,after,genghis,khan,sent,for,his,sons,in,the,spring,of,1223,?
sons,0.1440933495759964,0.19547776877880096,0.219376340508461,0.08128887414932251,0.20522862672805786,0.2966407537460327,0.2521197199821472,0.2689269185066223,0.1313200145959854,0.3316914141178131,1.0,0.17819298803806305,0.16342225670814514,0.12606574594974518,0.17722462117671967,0.018517516553401947,0.13006451725959778
in,0.5344807505607605,0.2593238651752472,0.20567668974399567,0.2372020184993744,0.44050168991088867,0.224680557847023,0.1527150720357895,0.25609636306762695,0.4322226941585541,0.3598145842552185,0.17819298803806305,1.0,0.6662389636039734,0.3244975805282593,0.5696388483047485,0.060234032571315765,0.20430970191955566
the,0.5003893971443176,0.34736719727516174,0.19898229837417603,0.33184581995010376,0.4565047025680542,0.3448939025402069,0.21067845821380615,0.3010627329349518,0.4739971458911896,0.4394008219242096,0.16342225670814514,0.6662389636039734,1.0,0.316989928483963,0.733189046382904,0.04458068683743477,0.22068053483963013
spring,0.23827514052391052,0.15532095730304718,0.09338773041963577,0.17679142951965332,0.249582901597023,0.21350441873073578,0.11125382781028748,0.09066452831029892,0.18597541749477386,0.21079818904399872,0.12606574594974518,0.3244975805282593,0.316989928483963,1.0,0.2455621361732483,0.08549322187900543,0.06767474114894867
of,0.38066378235816956,0.2513895630836487,0.15254677832126617,0.29009148478507996,0.3867455720901489,0.2938849925994873,0.17124508321285248,0.28923630714416504,0.4185989499092102,0.38364991545677185,0.17722462117671967,0.5696388483047485,0.733189046382904,0.2455621361732483,1.0,0.006903856061398983,0.1826142966747284
1223,-0.004011179320514202,0.11296894401311874,0.10149413347244263,0.007146571762859821,0.022487619891762733,0.05873110517859459,0.02848144620656967,0.05527964234352112,0.12040726095438004,-0.03868246078491211,0.018517516553401947,0.060234032571315765,0.04458068683743477,0.08549322187900543,0.006903856061398983,0.9999998807907104,0.34379109740257263
",",0.3149496018886566,0.3015086054801941,0.2696787714958191,0.23353272676467896,0.38860568404197693,0.2891939878463745,0.19700400531291962,0.2487054318189621,0.4464869201183319,0.3378419280052185,0.29804715514183044,0.5201468467712402,0.4933079481124878,0.30197975039482117,0.4946078956127167,0.16165000200271606,0.31091248989105225
and,0.43859338760375977,0.34479495882987976,0.17898419499397278,0.28385093808174133,0.3765919506549835,0.26551535725593567,0.22885166108608246,0.32548439502716064,0.5064792633056641,0.4234102666378021,0.22999194264411926,0.4954058527946472,0.5171257257461548,0.2709653973579407,0.5116966962814331,0.037810396403074265,0.20544172823429108
while,0.41293615102767944,0.3330625295639038,0.10792528092861176,0.3700677156448364,0.42262914776802063,0.17087101936340332,0.16199307143688202,0.26037758588790894,0.4232339859008789,0.39785656332969666,0.13062311708927155,0.3399278521537781,0.39804592728614807,0.23965777456760406,0.3366928696632385,-0.013700569979846478,0.21076419949531555
his,0.29880598187446594,0.3546801507472992,0.22831186652183533,0.24470192193984985,0.41949746012687683,0.3744826912879944,0.26570460200309753,0.2945024371147156,0.39312878251075745,0.9999998807907104,0.3316914141178131,0.3598145842552185,0.4394008219242096,0.21079818904399872,0.38364991545677185,-0.03868246078491211,0.18075084686279297
brothers,0.13620823621749878,0.2131693810224533,0.16120342910289764,0.07912156730890274,0.30089375376701355,0.31579047441482544,0.1681869775056839,0.17589183151721954,0.1550751030445099,0.36579272150993347,0.4788680672645569,0.2192208170890808,0.2150324583053589,0.15576224029064178,0.1853860318660736,0.055043596774339676,0.11019307374954224
heeded,0.15600432455539703,0.2884514629840851,0.25284573435783386,0.15401871502399445,0.3592950999736786,0.3244512677192688,0.27924782037734985,0.29671210050582886,0.25166207551956177,0.360985666513443,0.2638058364391327,0.18277260661125183,0.2710423171520233,0.17926351726055145,0.2240903675556183,0.0400812067091465,0.22402629256248474
the,0.5003893971443176,0.34736719727516174,0.19898229837417603,0.33184581995010376,0.4565047025680542,0.3448939025402069,0.21067845821380615,0.3010627329349518,0.4739971458911896,0.4394008219242096,0.16342225670814514,0.6662389636039734,1.0,0.316989928483963,0.733189046382904,0.04458068683743477,0.22068053483963013
order,0.16017383337020874,0.22891858220100403,0.05424194782972336,0.13843441009521484,0.15841332077980042,0.1508774310350418,0.13148660957813263,0.22443638741970062,0.16561681032180786,0.18186849355697632,0.1369607001543045,0.24184700846672058,0.3284194767475128,0.06991489231586456,0.31287699937820435,-0.023411698639392853,0.13725648820400238
",",0.3149496018886566,0.3015086054801941,0.2696787714958191,0.23353272676467896,0.38860568404197693,0.2891939878463745,0.19700400531291962,0.2487054318189621,0.4464869201183319,0.3378419280052185,0.29804715514183044,0.5201468467712402,0.4933079481124878,0.30197975039482117,0.4946078956127167,0.16165000200271606,0.31091248989105225
jochi,0.16525767743587494,0.16607163846492767,1.0,0.020732391625642776,0.23640817403793335,0.4016976058483124,0.30853474140167236,0.16180020570755005,0.17153716087341309,0.22831186652183533,0.219376340508461,0.20567668974399567,0.19898229837417603,0.09338773041963577,0.15254677832126617,0.10149413347244263,0.10597938299179077
remained,0.22419263422489166,0.371289998292923,0.09666605293750763,0.6661738157272339,0.332328736782074,0.13916312158107758,0.14283330738544464,0.2153087556362152,0.17849485576152802,0.3657938539981842,0.20784203708171844,0.30947351455688477,0.3492392301559448,0.16048283874988556,0.35287612676620483,-0.04452354460954666,0.08263323456048965
in,0.5344807505607605,0.2593238651752472,0.20567668974399567,0.2372020184993744,0.44050168991088867,0.224680557847023,0.1527150720357895,0.25609636306762695,0.4322226941585541,0.3598145842552185,0.17819298803806305,1.0,0.6662389636039734,0.3244975805282593,0.5696388483047485,0.060234032571315765,0.20430970191955566
khorasan,0.18779215216636658,0.10653185099363327,0.31418848037719727,0.10231410712003708,0.21643224358558655,0.5974936485290527,0.5355929732322693,0.1537896692752838,0.1544872224330902,0.2001589685678482,0.23261946439743042,0.24043937027454376,0.30242007970809937,0.21290291845798492,0.2964429259300232,0.10496161878108978,0.16610972583293915
.,0.41390106081962585,0.35288307070732117,0.21038752794265747,0.2486068606376648,0.35870397090911865,0.25373268127441406,0.19819748401641846,0.27534595131874084,0.4726039469242096,0.3119256794452667,0.21456153690814972,0.5591574311256409,0.5934505462646484,0.2571665942668915,0.5352458953857422,0.27328431606292725,0.4130953550338745
