,what,range,of,years,was,the,current,warming,compared,to,?
between,0.2462156116962433,0.2154918611049652,0.3737983703613281,0.2583497166633606,0.24048170447349548,0.39067012071609497,0.17580492794513702,0.2273242473602295,0.2929377257823944,0.3639189600944519,0.12887074053287506
1000,0.1520967036485672,-0.03346381336450577,0.24938245117664337,0.1832118034362793,0.26533812284469604,0.17211811244487762,0.037055253982543945,0.06690061092376709,0.09616222977638245,0.15657290816307068,0.13314302265644073
and,0.31309178471565247,0.27470090985298157,0.5116966962814331,0.300204873085022,0.3740963041782379,0.5171257257461548,0.23919939994812012,0.2650649845600128,0.38507750630378723,0.48971283435821533,0.20544172823429108
1900,0.10477770119905472,-0.002581867156550288,0.0774914026260376,0.04975000396370888,0.10391559451818466,0.12699992954730988,0.08226075023412704,0.08201737701892853,0.11201147735118866,0.08356629312038422,0.12663045525550842
",",0.3087472915649414,0.2808356285095215,0.4946078956127167,0.2589467465877533,0.45456063747406006,0.4933079481124878,0.29341426491737366,0.24254320561885834,0.25363782048225403,0.44245919585227966,0.31091248989105225
and,0.31309178471565247,0.27470090985298157,0.5116966962814331,0.300204873085022,0.3740963041782379,0.5171257257461548,0.23919939994812012,0.2650649845600128,0.38507750630378723,0.48971283435821533,0.20544172823429108
the,0.42745697498321533,0.2311336100101471,0.733189046382904,0.2912273406982422,0.48711544275283813,1.0,0.3314409554004669,0.28771063685417175,0.28685078024864197,0.535392165184021,0.22068053483963013
mbh99,0.07808590680360794,0.10203231126070023,0.12495113909244537,0.1280296891927719,0.19554148614406586,0.13540832698345184,0.07406633347272873,0.12456997483968735,0.15850043296813965,0.1467529535293579,0.09168721735477448
based,0.274813175201416,0.16538888216018677,0.3033197224140167,0.14337651431560516,0.2870393395423889,0.29860720038414,0.194755420088768,0.1555337905883789,0.2798195779323578,0.19629007577896118,0.134929820895195
graph,0.2775743007659912,0.1294211745262146,0.24485914409160614,0.105410635471344,0.16430960595607758,0.26083993911743164,0.2283114492893219,0.22356070578098297,0.19448377192020416,0.19438183307647705,0.20263607800006866
featured,0.20330384373664856,0.12841153144836426,0.2342860847711563,0.17437563836574554,0.3064519464969635,0.28660184144973755,0.185666024684906,0.17252345383167267,0.34413060545921326,0.1969822198152542,0.2944096624851227
in,0.30808621644973755,0.2084861844778061,0.5696388483047485,0.33554986119270325,0.45514053106307983,0.6662389636039734,0.1955713927745819,0.23962810635566711,0.2479310929775238,0.45010748505592346,0.20430970191955566
publicity,0.28360068798065186,0.16633841395378113,0.14573577046394348,0.18228019773960114,0.2459893822669983,0.22379745543003082,0.2026052474975586,0.3440088927745819,0.23050031065940857,0.3109956383705139,0.28002357482910156
.,0.3567904531955719,0.25816646218299866,0.5352458953857422,0.31919315457344055,0.40146201848983765,0.5934505462646484,0.29179835319519043,0.3084770143032074,0.27071613073349,0.4645031690597534,0.4130953550338745
