,when,was,the,``,dalekmania,'',period,?
the,0.5091903209686279,0.48711544275283813,1.0,0.029072100296616554,0.3298735022544861,0.041273195296525955,0.3125074505805969,0.22068053483963013
popularity,0.19648975133895874,0.27226099371910095,0.24727706611156464,-0.023051224648952484,0.21078695356845856,-0.03166870400309563,0.23396389186382294,0.16941240429878235
of,0.3757161796092987,0.4069072902202606,0.733189046382904,0.06780257821083069,0.2560809850692749,0.13035868108272552,0.2698146104812622,0.1826142966747284
the,0.5091903209686279,0.48711544275283813,1.0,0.029072100296616554,0.3298735022544861,0.041273195296525955,0.3125074505805969,0.22068053483963013
daleks,0.1899241954088211,0.24493366479873657,0.3154934346675873,-0.004147364292293787,0.6551849246025085,0.03566073253750801,0.16987113654613495,0.13693755865097046
regularly,0.3877439498901367,0.23943869769573212,0.2797985076904297,0.00041783289634622633,0.26770469546318054,-0.06030301749706268,0.19883432984352112,0.24666962027549744
brought,0.2630053460597992,0.35886916518211365,0.32700833678245544,-0.05430138111114502,0.22453075647354126,-0.011080711148679256,0.18324534595012665,0.2339296191930771
doctor,0.16867952048778534,0.19672659039497375,0.2820442318916321,0.03718610852956772,0.34231048822402954,0.06782495975494385,0.11125180125236511,0.1462511420249939
who,0.48282691836357117,0.3318818509578705,0.3733934462070465,0.02397952415049076,0.2894767224788666,0.024401003494858742,0.2116105854511261,0.26220351457595825
ratings,0.23672962188720703,0.2160990834236145,0.23356813192367554,0.04379674792289734,0.18551935255527496,-0.08857711404561996,0.22611050307750702,0.19248855113983154
of,0.3757161796092987,0.4069072902202606,0.733189046382904,0.06780257821083069,0.2560809850692749,0.13035868108272552,0.2698146104812622,0.1826142966747284
between,0.38258615136146545,0.24048170447349548,0.39067012071609497,0.08136986941099167,0.1863236129283905,0.060806289315223694,0.2825007140636444,0.12887074053287506
9,-0.062115494161844254,0.07464917749166489,0.023652536794543266,-0.05724376067519188,0.007445041090250015,0.01447595190256834,0.018645765259861946,-0.026682810857892036
and,0.4716290831565857,0.3740963041782379,0.5171257257461548,0.036644238978624344,0.2552872598171234,0.021612688899040222,0.23878438770771027,0.20544172823429108
14,0.07554066181182861,0.020082935690879822,-0.011880298145115376,0.0768555998802185,0.09672197699546814,0.020941199734807014,-0.07514013350009918,0.11697390675544739
million,0.17012886703014374,0.24203833937644958,0.277012437582016,0.03899171203374863,0.15293142199516296,-0.04049712419509888,0.2544347047805786,0.23092924058437347
",",0.36674630641937256,0.45456063747406006,0.4933079481124878,0.09681109338998795,0.28544214367866516,-0.037358131259679794,0.25030651688575745,0.31091248989105225
even,0.5135882496833801,0.27441510558128357,0.37996912002563477,0.11795219779014587,0.3242172300815582,-0.015414192341268063,0.2688204050064087,0.30082517862319946
for,0.43402108550071716,0.3863949179649353,0.4739971458911896,0.01270448137074709,0.2873448133468628,-0.04479556903243065,0.27999383211135864,0.264628142118454
stories,0.17480595409870148,0.20611076056957245,0.2397296130657196,-0.03808494657278061,0.2893337309360504,0.10266916453838348,0.17991450428962708,0.20536305010318756
which,0.572554349899292,0.2830964922904968,0.6521818041801453,0.05178012326359749,0.2851118743419647,-0.03332270681858063,0.31679004430770874,0.25814583897590637
did,0.3228907287120819,0.41399896144866943,0.34736719727516174,-0.029888948425650597,0.25045812129974365,0.01978493109345436,0.1760309934616089,0.3023456633090973
not,0.4799930453300476,0.2888734042644501,0.4310511648654938,0.09406080842018127,0.3262377381324768,0.04262445494532585,0.23810020089149475,0.41942933201789856
feature,0.1741556078195572,0.2405846118927002,0.3053930699825287,-0.031453344970941544,0.26940709352493286,0.09531467407941818,0.18640241026878357,0.2893312871456146
them,0.4773717522621155,0.23709723353385925,0.4788833558559418,0.08904550224542618,0.32646793127059937,-0.061781175434589386,0.24388203024864197,0.35435691475868225
.,0.475719153881073,0.40146201848983765,0.5934505462646484,0.05720457062125206,0.319683313369751,-0.07181349396705627,0.2575049102306366,0.4130953550338745
