,when,were,the,talks,held,for,braodcast,right,to,the,primier,league,for,a,five,year,period,from,the,1992,season,?
the,0.5091903209686279,0.3906462490558624,1.0,0.25979292392730713,0.32185450196266174,0.4739971458911896,0.2937507629394531,0.33901116251945496,0.535392165184021,1.0,0.25859078764915466,0.2724147439002991,0.4739971458911896,0.5829201340675354,0.41977158188819885,0.3609684407711029,0.3125074505805969,0.40150508284568787,1.0,0.12138951569795609,0.2507155239582062,0.22068053483963013
broadcast,0.2190258502960205,0.12331408262252808,0.2713715434074402,0.2418300211429596,0.3041324317455292,0.2546502649784088,0.6780888438224792,0.11395683139562607,0.2326623648405075,0.2713715434074402,0.023288315162062645,0.19478030502796173,0.2546502649784088,0.2046348601579666,0.21544314920902252,0.23991180956363678,0.16413988173007965,0.1824430525302887,0.2713715434074402,0.07702380418777466,0.2577283978462219,0.15760008990764618
rights,0.18668439984321594,0.22253857553005219,0.2579100430011749,0.2374352514743805,0.20695647597312927,0.24823954701423645,0.16996198892593384,0.44051843881607056,0.2570022940635681,0.2579100430011749,0.1891365796327591,0.22009842097759247,0.24823954701423645,0.18041828274726868,0.11972595751285553,0.1866040676832199,0.11290890723466873,0.159982830286026,0.2579100430011749,0.12721270322799683,0.13745315372943878,0.21814769506454468
for,0.43402108550071716,0.33592689037323,0.4739971458911896,0.2527080476284027,0.2495253086090088,0.9999999403953552,0.2967599332332611,0.25850585103034973,0.4451248347759247,0.4739971458911896,0.1238107904791832,0.26433616876602173,0.9999999403953552,0.44038116931915283,0.30701300501823425,0.29294124245643616,0.27999383211135864,0.314039945602417,0.4739971458911896,0.0788465216755867,0.24490800499916077,0.264628142118454
premier,0.13703127205371857,0.16508811712265015,0.22658593952655792,0.09837951511144638,0.17487825453281403,0.14301124215126038,0.12744878232479095,0.13574928045272827,0.170038640499115,0.22658593952655792,0.5650837421417236,0.5466246604919434,0.14301124215126038,0.14475353062152863,0.13728542625904083,0.15372394025325775,0.10183089971542358,0.16949327290058136,0.22658593952655792,0.21649913489818573,0.33115845918655396,0.1292608082294464
league,0.2000882774591446,0.2012902945280075,0.2724147439002991,0.11703485250473022,0.22544537484645844,0.26433616876602173,0.15997359156608582,0.13854974508285522,0.18720030784606934,0.2724147439002991,0.3089398741722107,1.0000001192092896,0.26433616876602173,0.17562834918498993,0.21095849573612213,0.20387181639671326,0.16575630009174347,0.18873094022274017,0.2724147439002991,0.15632931888103485,0.41418924927711487,0.15941482782363892
for,0.43402108550071716,0.33592689037323,0.4739971458911896,0.2527080476284027,0.2495253086090088,0.9999999403953552,0.2967599332332611,0.25850585103034973,0.4451248347759247,0.4739971458911896,0.1238107904791832,0.26433616876602173,0.9999999403953552,0.44038116931915283,0.30701300501823425,0.29294124245643616,0.27999383211135864,0.314039945602417,0.4739971458911896,0.0788465216755867,0.24490800499916077,0.264628142118454
a,0.44397395849227905,0.17203083634376526,0.5829201340675354,0.26174911856651306,0.22326228022575378,0.44038116931915283,0.22747531533241272,0.2849915027618408,0.45503583550453186,0.5829201340675354,0.24025818705558777,0.17562834918498993,0.44038116931915283,1.0,0.2874281108379364,0.29350247979164124,0.25205814838409424,0.322764128446579,0.5829201340675354,0.04525519907474518,0.1855505406856537,0.23916715383529663
five-year,0.22315070033073425,0.24432067573070526,0.3389248549938202,0.12665610015392303,0.22391360998153687,0.2880544364452362,0.3105142414569855,0.16209664940834045,0.25500690937042236,0.3389248549938202,0.2845506966114044,0.403972327709198,0.2880544364452362,0.2326931208372116,0.49260053038597107,0.6127236485481262,0.30996987223625183,0.24836862087249756,0.3389248549938202,0.009351154789328575,0.4242458939552307,0.3214563727378845
period,0.3356073200702667,0.2902187407016754,0.3125074505805969,0.13618679344654083,0.13813401758670807,0.27999383211135864,0.13116493821144104,0.1386687159538269,0.24346192181110382,0.3125074505805969,0.1578398048877716,0.16575630009174347,0.27999383211135864,0.25205814838409424,0.251377135515213,0.3050437867641449,1.0,0.2558770775794983,0.3125074505805969,0.12442784756422043,0.23081696033477783,0.18706195056438446
",",0.36674630641937256,0.36755475401878357,0.4933079481124878,0.2362176775932312,0.2880980372428894,0.4464869201183319,0.30361998081207275,0.24165019392967224,0.44245919585227966,0.4933079481124878,0.33242368698120117,0.20757631957530975,0.4464869201183319,0.427140474319458,0.3101605772972107,0.28560417890548706,0.25030651688575745,0.39760664105415344,0.4933079481124878,0.14831048250198364,0.2232367992401123,0.31091248989105225
from,0.405669629573822,0.29991888999938965,0.40150508284568787,0.19369548559188843,0.2241152971982956,0.314039945602417,0.1641443818807602,0.2076886147260666,0.4069952368736267,0.40150508284568787,0.17602740228176117,0.18873094022274017,0.314039945602417,0.322764128446579,0.24532808363437653,0.2101740688085556,0.2558770775794983,1.0,0.40150508284568787,0.09224555641412735,0.16452011466026306,0.19969791173934937
the,0.5091903209686279,0.3906462490558624,1.0,0.25979292392730713,0.32185450196266174,0.4739971458911896,0.2937507629394531,0.33901116251945496,0.535392165184021,1.0,0.25859078764915466,0.2724147439002991,0.4739971458911896,0.5829201340675354,0.41977158188819885,0.3609684407711029,0.3125074505805969,0.40150508284568787,1.0,0.12138951569795609,0.2507155239582062,0.22068053483963013
1992,0.050327301025390625,0.05307856947183609,0.12138951569795609,0.16396690905094147,0.19235707819461823,0.0788465216755867,-0.015146991237998009,0.0809536799788475,0.1306968331336975,0.12138951569795609,0.006039463449269533,0.15632931888103485,0.0788465216755867,0.04525519907474518,0.05823437497019768,0.11173026263713837,0.12442784756422043,0.09224555641412735,0.12138951569795609,1.0,-0.0065977247431874275,0.11522171646356583
season,0.1977832019329071,0.20231115818023682,0.2507155239582062,0.11447631567716599,0.18285582959651947,0.24490800499916077,0.29112085700035095,0.12209580838680267,0.22382742166519165,0.2507155239582062,0.17762607336044312,0.41418924927711487,0.24490800499916077,0.1855505406856537,0.23151139914989471,0.3561827838420868,0.23081696033477783,0.16452011466026306,0.2507155239582062,-0.0065977247431874275,1.0,0.16793298721313477
.,0.475719153881073,0.3378238379955292,0.5934505462646484,0.22152812778949738,0.2628571093082428,0.4726039469242096,0.3022352457046509,0.2597152590751648,0.4645031690597534,0.5934505462646484,0.29985514283180237,0.29573896527290344,0.4726039469242096,0.50484299659729,0.34172043204307556,0.32538118958473206,0.2575049102306366,0.41536515951156616,0.5934505462646484,0.0746634230017662,0.24674734473228455,0.4130953550338745
