,whose,tune,did,luther,adapt,for,the,hymn,of,psalm,67,?
four-part,0.25523731112480164,0.2655850350856781,0.19014354050159454,0.11855820566415787,0.2061632126569748,0.23566535115242004,0.4538850486278534,0.2527545392513275,0.4101087152957916,0.29773736000061035,-0.008223151788115501,0.16754309833049774
setting,0.17865529656410217,0.27718910574913025,0.15320318937301636,0.12176704406738281,0.2355077564716339,0.3253006041049957,0.2991926074028015,0.19826002418994904,0.22114701569080353,0.25206586718559265,0.06330076605081558,0.16943378746509552
of,0.37058958411216736,0.16878852248191833,0.2513895630836487,0.1719115972518921,0.1036267951130867,0.4185989499092102,0.733189046382904,0.27317509055137634,1.0,0.23457597196102142,-0.13137926161289215,0.1826142966747284
the,0.38253846764564514,0.22937244176864624,0.34736719727516174,0.1759674996137619,0.21179930865764618,0.4739971458911896,1.0,0.22713270783424377,0.733189046382904,0.2587265372276306,-0.03669794648885727,0.22068053483963013
hymn,0.2163229137659073,0.46293649077415466,0.13866516947746277,0.24335725605487823,0.018737850710749626,0.1612643152475357,0.22713270783424377,0.9999999403953552,0.27317509055137634,0.5732090473175049,0.00818116869777441,0.15131041407585144
was,0.2162860482931137,0.18018974363803864,0.41399896144866943,0.19185513257980347,0.07943258434534073,0.3863949179649353,0.48711544275283813,0.21226729452610016,0.4069072902202606,0.18437723815441132,0.022691888734698296,0.18412111699581146
used,0.1992245465517044,0.2264809012413025,0.30443844199180603,0.08111961930990219,0.2356574982404709,0.4236139953136444,0.3718377649784088,0.14374560117721558,0.3075267970561981,0.21873241662979126,-0.019328707829117775,0.22430120408535004
to,0.320825457572937,0.19438153505325317,0.4452643394470215,0.18029534816741943,0.2819032669067383,0.4451248347759247,0.535392165184021,0.1294938325881958,0.41548454761505127,0.14810869097709656,0.05395767092704773,0.29463258385658264
introduce,0.15303774178028107,0.25234463810920715,0.24205434322357178,0.12416218221187592,0.27706292271614075,0.27405846118927,0.22310380637645721,0.15156979858875275,0.2043139487504959,0.17732203006744385,0.06347551941871643,0.22698114812374115
the,0.38253846764564514,0.22937244176864624,0.34736719727516174,0.1759674996137619,0.21179930865764618,0.4739971458911896,1.0,0.22713270783424377,0.733189046382904,0.2587265372276306,-0.03669794648885727,0.22068053483963013
lutheran,0.1841191202402115,0.20161135494709015,0.22012826800346375,0.7014965415000916,0.10047709196805954,0.1215796172618866,0.20315466821193695,0.3037897050380707,0.2628459632396698,0.40366625785827637,0.010001780465245247,0.1752520203590393
reformation,0.18797719478607178,0.1699989289045334,0.20929229259490967,0.43711021542549133,0.16777701675891876,0.18465812504291534,0.3290504217147827,0.2844923436641693,0.311197429895401,0.3286132216453552,0.023590197786688805,0.14843040704727173
in,0.23496666550636292,0.15517957508563995,0.2593238651752472,0.20523880422115326,0.1784910410642624,0.4322226941585541,0.6662389636039734,0.15935353934764862,0.5696388483047485,0.19841966032981873,-0.074662946164608,0.20430970191955566
halle,0.1455729901790619,0.19478414952754974,0.11528709530830383,0.25370004773139954,0.0038844740483909845,0.18003298342227936,0.2611607611179352,0.14646530151367188,0.2625468969345093,0.2793254256248474,0.07650461047887802,0.09610161185264587
in,0.23496666550636292,0.15517957508563995,0.2593238651752472,0.20523880422115326,0.1784910410642624,0.4322226941585541,0.6662389636039734,0.15935353934764862,0.5696388483047485,0.19841966032981873,-0.074662946164608,0.20430970191955566
1541,0.01537028793245554,-0.040671393275260925,0.09549997001886368,-0.0013423612108454108,0.08398138731718063,0.08183825016021729,0.08452732115983963,-0.09090710431337357,0.06722988933324814,-0.1369830071926117,-0.0772479772567749,0.057804372161626816
.,0.2718997597694397,0.21978920698165894,0.35288307070732117,0.24907569587230682,0.21871718764305115,0.4726039469242096,0.5934505462646484,0.18054819107055664,0.5352458953857422,0.20130901038646698,-0.03130171820521355,0.4130953550338745
