,what,method,is,used,for,tallying,votes,in,the,second,vote,of,the,ballot,?
to,0.455847829580307,0.2593044936656952,0.42745086550712585,0.40058770775794983,0.4451248347759247,0.3805968463420868,0.24744294583797455,0.45010748505592346,0.535392165184021,0.3098561465740204,0.2892617881298065,0.41548454761505127,0.535392165184021,0.2527129054069519,0.29463258385658264
parties,0.21181418001651764,0.13180778920650482,0.18434752523899078,0.1922696977853775,0.24038323760032654,0.22508995234966278,0.3421555161476135,0.21453756093978882,0.2535073459148407,0.17288446426391602,0.3459550440311432,0.2394237220287323,0.2535073459148407,0.35461512207984924,0.16949701309204102
proportionally,0.23772494494915009,0.2769485414028168,0.34094664454460144,0.3142585754394531,0.2486158162355423,0.33709993958473206,0.2958388328552246,0.26845109462738037,0.32802751660346985,0.23949116468429565,0.28124478459358215,0.3156268000602722,0.32802751660346985,0.29238179326057434,0.14331315457820892
to,0.455847829580307,0.2593044936656952,0.42745086550712585,0.40058770775794983,0.4451248347759247,0.3805968463420868,0.24744294583797455,0.45010748505592346,0.535392165184021,0.3098561465740204,0.2892617881298065,0.41548454761505127,0.535392165184021,0.2527129054069519,0.29463258385658264
the,0.42745697498321533,0.21624743938446045,0.5823672413825989,0.3718377649784088,0.4739971458911896,0.3798575699329376,0.2303277552127838,0.6662389636039734,1.0,0.4620301127433777,0.22779929637908936,0.733189046382904,1.0,0.26649942994117737,0.22068053483963013
number,0.23046229779720306,0.21155084669589996,0.22390379011631012,0.23600076138973236,0.2861633002758026,0.30519184470176697,0.26704689860343933,0.3024539053440094,0.35145696997642517,0.22454188764095306,0.20210234820842743,0.2778518795967102,0.35145696997642517,0.2676742374897003,0.19256845116615295
of,0.33290785551071167,0.22896558046340942,0.4854315221309662,0.3075267970561981,0.4185989499092102,0.3222009837627411,0.20024310052394867,0.5696388483047485,0.733189046382904,0.353416383266449,0.19845709204673767,1.0,0.733189046382904,0.21522194147109985,0.1826142966747284
votes,0.2574002146720886,0.1616523116827011,0.2069811075925827,0.032952241599559784,0.2052048295736313,0.2975654602050781,1.0000001192092896,0.21167227625846863,0.2303277552127838,0.22585655748844147,0.8366243839263916,0.20024310052394867,0.2303277552127838,0.573903501033783,0.23052719235420227
received,0.1010502278804779,0.09164822101593018,0.17726187407970428,0.18846465647220612,0.30396392941474915,0.15932098031044006,0.2054264098405838,0.2772020101547241,0.24890556931495667,0.23166072368621826,0.14552737772464752,0.2628524899482727,0.24890556931495667,0.19905434548854828,0.11905962228775024
in,0.30808621644973755,0.13883966207504272,0.5394441485404968,0.3090210556983948,0.4322226941585541,0.30815115571022034,0.21167227625846863,1.0,0.6662389636039734,0.34510284662246704,0.21458156406879425,0.5696388483047485,0.6662389636039734,0.2662581205368042,0.20430970191955566
the,0.42745697498321533,0.21624743938446045,0.5823672413825989,0.3718377649784088,0.4739971458911896,0.3798575699329376,0.2303277552127838,0.6662389636039734,1.0,0.4620301127433777,0.22779929637908936,0.733189046382904,1.0,0.26649942994117737,0.22068053483963013
second,0.19948028028011322,0.15998312830924988,0.3161451518535614,0.16882206499576569,0.25438159704208374,0.3065826892852783,0.22585655748844147,0.34510284662246704,0.4620301127433777,1.0,0.15506739914417267,0.353416383266449,0.4620301127433777,0.17381036281585693,0.17239587008953094
vote,0.30723845958709717,0.19573882222175598,0.2031867355108261,0.0776573121547699,0.2269713580608368,0.3321225345134735,0.8366243839263916,0.21458156406879425,0.22779929637908936,0.15506739914417267,1.0,0.19845709204673767,0.22779929637908936,0.5480577349662781,0.2888886630535126
of,0.33290785551071167,0.22896558046340942,0.4854315221309662,0.3075267970561981,0.4185989499092102,0.3222009837627411,0.20024310052394867,0.5696388483047485,0.733189046382904,0.353416383266449,0.19845709204673767,1.0,0.733189046382904,0.21522194147109985,0.1826142966747284
the,0.42745697498321533,0.21624743938446045,0.5823672413825989,0.3718377649784088,0.4739971458911896,0.3798575699329376,0.2303277552127838,0.6662389636039734,1.0,0.4620301127433777,0.22779929637908936,0.733189046382904,1.0,0.26649942994117737,0.22068053483963013
ballot,0.14773842692375183,0.2572709023952484,0.1836814135313034,0.17925798892974854,0.23682405054569244,0.2194661945104599,0.573903501033783,0.2662581205368042,0.26649942994117737,0.17381036281585693,0.5480577349662781,0.21522194147109985,0.26649942994117737,1.0000001192092896,0.19360579550266266
using,0.27984681725502014,0.5243812203407288,0.26543745398521423,0.6102309226989746,0.3806014060974121,0.383212149143219,0.13926224410533905,0.2717311978340149,0.28364112973213196,0.17423513531684875,0.16173778474330902,0.24298200011253357,0.28364112973213196,0.19315320253372192,0.2804589569568634
the,0.42745697498321533,0.21624743938446045,0.5823672413825989,0.3718377649784088,0.4739971458911896,0.3798575699329376,0.2303277552127838,0.6662389636039734,1.0,0.4620301127433777,0.22779929637908936,0.733189046382904,1.0,0.26649942994117737,0.22068053483963013
d'hondt,0.1312115490436554,0.24243998527526855,0.19393958151340485,0.10439936816692352,0.15368515253067017,0.0764504075050354,0.25351977348327637,0.20722723007202148,0.12552154064178467,0.18055924773216248,0.2567443549633026,0.21615272760391235,0.12552154064178467,0.2857384979724884,0.14649474620819092
method,0.25476205348968506,1.0000001192092896,0.21948537230491638,0.40983709692955017,0.2842181324958801,0.2495155781507492,0.1616523116827011,0.13883966207504272,0.21624743938446045,0.15998312830924988,0.19573882222175598,0.22896558046340942,0.21624743938446045,0.2572709023952484,0.2194802314043045
.,0.3567904531955719,0.18224337697029114,0.4569662809371948,0.33111312985420227,0.4726039469242096,0.35796964168548584,0.26459193229675293,0.5591574311256409,0.5934505462646484,0.346034437417984,0.27672019600868225,0.5352458953857422,0.5934505462646484,0.19735826551914215,0.4130953550338745
