,what,is,the,upper,range,of,annual,fees,for,non-boarding,students,in,british,public,schools,?
pupils,0.180222749710083,0.1490861177444458,0.161826953291893,0.1473543643951416,0.16173040866851807,0.17450828850269318,0.12679433822631836,0.2776806354522705,0.148450568318367,0.32930612564086914,0.48713982105255127,0.15253189206123352,0.11087968945503235,0.21364088356494904,0.413528710603714,0.06499303877353668
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.22235287725925446,0.2808356285095215,0.4946078956127167,0.1683935970067978,0.17478685081005096,0.4464869201183319,0.3013862371444702,0.26501646637916565,0.5201468467712402,0.25734075903892517,0.2588968276977539,0.2760516405105591,0.31091248989105225
rising,0.18883290886878967,0.17822740972042084,0.34945452213287354,0.23647551238536835,0.17110390961170197,0.27970030903816223,0.2693101465702057,0.23486226797103882,0.20961570739746094,0.15679971873760223,0.13460278511047363,0.26222285628318787,0.26260843873023987,0.13983362913131714,0.08503635227680206,0.07955946773290634
to,0.455847829580307,0.42745086550712585,0.535392165184021,0.21445727348327637,0.2767433524131775,0.41548454761505127,0.2023409903049469,0.27193203568458557,0.4451248347759247,0.288992702960968,0.2905822694301605,0.45010748505592346,0.22690963745117188,0.2672370672225952,0.2362271547317505,0.29463258385658264
"£27,000+",0.2531203329563141,0.1063421368598938,0.12535591423511505,0.14814580976963043,0.06916473060846329,0.1422457993030548,0.04391126334667206,0.10842430591583252,0.08020158857107162,0.10009970515966415,0.09155917167663574,0.1337680071592331,0.06209142133593559,0.17475739121437073,0.1071591004729271,0.29647624492645264
per,0.21384303271770477,0.22395510971546173,0.21691934764385223,0.1207168772816658,0.17611050605773926,0.17468707263469696,0.25775980949401855,0.27540794014930725,0.22882020473480225,0.21058566868305206,0.13741245865821838,0.1975519210100174,0.06905875355005264,0.1564653515815735,0.13300858438014984,0.22323818504810333
year,0.15184831619262695,0.2402215600013733,0.3609684407711029,0.09775688499212265,0.1844051629304886,0.2578314542770386,0.37299844622612,0.2849954664707184,0.29294124245643616,0.22972583770751953,0.22642718255519867,0.3359307050704956,0.16501371562480927,0.1742739975452423,0.1730971336364746,0.18315006792545319
for,0.3017193675041199,0.43268078565597534,0.4739971458911896,0.12166716158390045,0.2565288841724396,0.4185989499092102,0.28860941529273987,0.2745085060596466,0.9999999403953552,0.32375746965408325,0.2460945099592209,0.4322226941585541,0.1970057189464569,0.3092794418334961,0.2320515662431717,0.264628142118454
boarders,0.19107180833816528,0.19438554346561432,0.23216836154460907,0.21016764640808105,0.13949112594127655,0.19568417966365814,0.23309418559074402,0.44784483313560486,0.2406655251979828,0.5450423955917358,0.43611082434654236,0.20814533531665802,0.23440922796726227,0.2882777750492096,0.44410449266433716,0.21690775454044342
.,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.23727275431156158,0.25816646218299866,0.5352458953857422,0.17968490719795227,0.202260822057724,0.4726039469242096,0.27610188722610474,0.2607303857803345,0.5591574311256409,0.23159366846084595,0.21888655424118042,0.2752705216407776,0.4130953550338745
